model,fit_protocol,split,n,rmse,mae,bias_pred_minus_actual,actual_std,pred_std,std_ratio,spearman,slope_pred_on_actual,intercept_pred_on_actual,slope_actual_on_pred,intercept_actual_on_pred,low_tail_rmse
mct_lrq69_drop_Dfam,seed7,seed7_train,570,0.02846696678291743,0.012714960135356439,-0.0023380709395892604,0.0692912858640251,0.06869864735639128,0.9914471423030482,0.9313575009198406,0.9076621915353027,0.09560848930639722,0.923389888933165,0.08342248746297627,0.009199252902227492
mct_lrq69_drop_Dfam,seed7,seed7_holdout,61,0.010135594020099305,0.007820431117724338,0.0012063848384751875,0.06891815131081871,0.07213714712198994,1.0467075182654517,0.9706504494976202,1.037137151076177,-0.03434187156796703,0.9466414224169113,0.049933643331239945,0.005344260651145686
mct_lrq69_drop_Dfam,seed7,fixed340_holdout,27,0.006137834872766682,0.005013080770509383,0.000265457679750626,0.017544144667071045,0.017926849282930625,1.0218138087163569,0.9236874236874236,0.9609683734940192,0.03513486092079182,0.9203765820155257,0.07088827880231115,0.005482632790329364
mct_lrq69_drop_Dfam,seed7,random_supplement,34,0.012425513100510021,0.010049797569924449,0.0019535916998152806,0.049681088878676775,0.05567405908075909,1.120628801367808,0.8686019862490449,1.0974012121576286,-0.09621923703111199,0.8738600299945151,0.12543209054761184,0.011700043110423717
mct_lrq75_drop_Nfam_Dfam,seed7,seed7_train,570,0.028096198087559074,0.012853534551927634,-0.0020462383920255,0.0692912858640251,0.06829814911649083,0.9856672201251516,0.9287238727099787,0.9039991483102857,0.09978586440568832,0.9304807525805927,0.07564594735941105,0.010434406188115709
mct_lrq75_drop_Nfam_Dfam,seed7,seed7_holdout,61,0.011689944823567583,0.009345358264224333,0.001131829893980451,0.06891815131081871,0.0707271427313847,1.0262484031588062,0.9575356953992593,1.0123421565497583,-0.01068227358259775,0.9612189710319873,0.0360338654283797,0.011481734300806515
mct_lrq75_drop_Nfam_Dfam,seed7,fixed340_holdout,27,0.011978302292791796,0.009708106393310689,0.0007054733649081816,0.017544144667071045,0.01824075522712331,1.0397061568558397,0.7655677655677656,0.8082276803353428,0.17202773030011884,0.7476743617489369,0.22489087497966187,0.010737418938172365
mct_lrq75_drop_Nfam_Dfam,seed7,random_supplement,34,0.011455785606856414,0.009057293573479286,0.0014704071376554888,0.049681088878676775,0.05313949840639635,1.0696121926024034,0.8719633307868601,1.0458880560498218,-0.04478117605705617,0.9141816797071138,0.08515395743391388,0.01080844937533385
mct_lrq69_balanced_Dfam,seed7,seed7_train,570,0.02832881415462987,0.012695773754221752,-0.0023211700178394214,0.0692912858640251,0.06860806117216278,0.9901398179678315,0.9312170848109249,0.9071758266893468,0.09614129768228812,0.925333781846576,0.08134942523253075,0.009165975482149613
mct_lrq69_balanced_Dfam,seed7,seed7_holdout,61,0.010125030544859512,0.007809194338377486,0.0010501202673106394,0.06891815131081871,0.07225370095819755,1.0483987104113635,0.971020624008461,1.0388941754532144,-0.03617998709585077,0.9451883395815793,0.0514740091626795,0.005317384947613697
mct_lrq69_balanced_Dfam,seed7,fixed340_holdout,27,0.006134410809479782,0.005001711204287964,-8.534364679612805e-05,0.017544144667071045,0.017729046316864183,1.010539222817752,0.927960927960928,0.9494770254218707,0.045050002512342625,0.9297755274933438,0.06281528199599438,0.005384575560168134
mct_lrq69_balanced_Dfam,seed7,random_supplement,34,0.012411396523012439,0.010038666238977988,0.0019518121991013077,0.049681088878676775,0.05567247534996168,1.1205969234272644,0.8686019862490449,1.0974351070682238,-0.09625517995935394,0.8739367406288917,0.1253561775181001,0.01165380898388957
mct_lrq75_balanced_Nfam_Dfam,seed7,seed7_train,570,0.0280133092414912,0.012852457029766463,-0.0020349444948404936,0.0692912858640251,0.06823287854799974,0.9847252464313863,0.9286138466126371,0.9035506537550623,0.10027289516195152,0.9317992561525145,0.07423953001924252,0.01029665195768102
mct_lrq75_balanced_Nfam_Dfam,seed7,seed7_holdout,61,0.011660749490942368,0.00924013211800497,0.0009515138840182005,0.06891815131081871,0.07093282009915669,1.0292327746757437,0.9573770491803278,1.015441536251794,-0.013829363864578637,0.9585785561607708,0.03873714701418558,0.011312320872841876
mct_lrq75_balanced_Nfam_Dfam,seed7,fixed340_holdout,27,0.011987537077731992,0.00966746190924509,0.00046465521469404755,0.017544144667071045,0.018068122383303457,1.029866244617549,0.7637362637362637,0.7972282032381364,0.1816134358353655,0.7516592506738614,0.22150912539942885,0.010749890197138432
mct_lrq75_balanced_Nfam_Dfam,seed7,random_supplement,34,0.011394567307159627,0.008900781989667228,0.0013381369449520868,0.049681088878676775,0.05357210894718885,1.0783199433896085,0.8719633307868601,1.0554480059587996,-0.05454913049126031,0.9076983974922467,0.09181819499448958,0.010481369237673782
mct_lrq69_drop_Dfam,leave900out,non900_train,627,0.02459679583352999,0.011748994405091384,-0.0023383189592878478,0.07353016995653855,0.06986651578010875,0.9501748169683917,0.9474056996253737,0.895972272257539,0.10712425208012684,0.9924017877585012,0.010315726522424748,0.007354084763198234
mct_lrq69_drop_Dfam,leave900out,all900_leave_scale_out,4,0.010521607838946616,0.009736342896382866,-0.0028785972316158204,0.01834397465097202,0.01254367826843982,0.683803728859555,0.7999999999999999,0.581613262275855,0.3376663225171887,1.2438596263078945,-0.19490840925369862,0.01371549132953409
mct_lrq75_drop_Nfam_Dfam,leave900out,non900_train,627,0.024559579796478978,0.011963483880845789,-0.0022865322342736196,0.07353016995653855,0.06976307775919512,0.9487680743894643,0.9452692830442954,0.8947836412302047,0.10842676888540766,0.9940263812885886,0.008558578883077,0.008515136568411559
mct_lrq75_drop_Nfam_Dfam,leave900out,all900_leave_scale_out,4,0.024795290217699287,0.017366854775225204,-0.008334810596570708,0.01834397465097202,0.029094574535497134,1.5860561895159104,0.7999999999999999,0.9474824068140609,0.03441176319348498,0.3766465696544129,0.5105163640700615,0.012430179011000742
mct_lrq69_balanced_Dfam,leave900out,non900_train,627,0.02453575818729163,0.01173918256158816,-0.0023227915372765126,0.07353016995653855,0.0698601269850664,0.9500879302517402,0.9473125685315902,0.8961603611884243,0.10694186401935754,0.9927916790139957,0.009890961912877295,0.0073563332231239
mct_lrq69_balanced_Dfam,leave900out,all900_leave_scale_out,4,0.010590449077454078,0.009837216062074633,-0.003151769945754973,0.01834397465097202,0.01278005644650072,0.6966896046066835,0.7999999999999999,0.5907958834878904,0.3299189764562881,1.2171911885263673,-0.17294596012905877,0.01337089223263932
mct_lrq75_balanced_Nfam_Dfam,leave900out,non900_train,627,0.024525324335299623,0.011942859253766102,-0.0022702531072785557,0.07353016995653855,0.06977884450618307,0.948982499937471,0.9453170413312801,0.8951357393359616,0.10807255482995308,0.9939681987952976,0.008603487102316057,0.008458793660677122
mct_lrq75_balanced_Nfam_Dfam,leave900out,all900_leave_scale_out,4,0.026504057983073717,0.01782739831635241,-0.009641725170801613,0.01834397465097202,0.031021809166237844,1.6911170973840202,0.7999999999999999,1.0242926364627492,-0.029414660564725185,0.35815967721259634,0.5258777268698518,0.010085373623957894
