run_name,target_family,noise_mode,aggregate_mean_theta,accuracy_reference,theta_1,theta_2,theta_3,theta_4,theta_5
run_00221,task_proxy_irt,fixed,0.9077441018579441,0.34913576460116713,2.710796530888473,-0.1161606371018218,-0.630220653325305,1.46568144401012,1.1086238248182545
baseline_proportional,task_proxy_irt,fixed,0.8288463189121664,0.3572241191704489,0.37237221444396257,3.2519021804360286,2.816821059727118,-0.931552131912612,-1.3653117281336649
run_00018,task_proxy_irt,fixed,0.8226144805332283,0.34864941603172805,2.206483153243771,-0.27477517250386074,0.8236826842011947,-0.5693643052326901,1.9270460429577265
run_00021,task_proxy_irt,fixed,0.8142194368331758,0.34422355234743285,1.0043310405232062,0.08816546967897201,0.05189148538839109,1.4622136227357903,1.4644955658395198
run_00028,task_proxy_irt,fixed,0.8031447662687509,0.3491040963602102,1.0980591044993455,-0.8522780925273091,1.3661482257757664,2.139193391169001,0.2646012024269504
baseline_stratified,task_proxy_irt,fixed,0.7348088321037597,0.3465511486441589,0.3433320438209462,1.0685362700434098,0.8658565863684526,0.6843023218587481,0.7120169384272418
run_00230,task_proxy_irt,fixed,0.7086080371525219,0.3542318527987482,0.35303533869213566,1.0460663275403426,3.9207373489332955,-0.41234814245189244,-1.3644506869512718
run_00129,task_proxy_irt,fixed,0.6912987567568498,0.34873894612333745,0.8961505331142342,0.14628942714658955,1.368750116982597,0.9222075568992516,0.12309614964157667
run_00218,task_proxy_irt,fixed,0.6901012797500342,0.3486622901790402,-0.0072083427222867326,0.7091370399274178,2.2004571953470813,0.8997903837625764,-0.3516698775646176
run_00118,task_proxy_irt,fixed,0.6835765761450295,0.3469332676741997,1.4822255143227705,-0.9354929743988147,-0.06947896712397414,1.8522378272441193,1.0883914806810466
run_00162,task_proxy_irt,fixed,0.6634541061525561,0.3525550037874453,0.4600538188536936,-0.17841417628296125,0.04031446545790627,2.054815197426381,0.9405012253077603
run_00223,task_proxy_irt,fixed,0.6603204697696524,0.3536645444052528,0.3486224562213083,1.7343340125886908,-0.4524681769274578,-0.32090350852556976,1.9920175654912906
run_00156,task_proxy_irt,fixed,0.6565303520729484,0.35631091142667765,-0.1667272703705649,0.27526771012831525,1.3407039477834306,0.7403016787329104,1.093105694090651
run_00071,task_proxy_irt,fixed,0.6271083031345206,0.35155141916782906,1.9590376036577033,1.2443830480335085,-1.0684506812728263,0.8803620350523935,0.12020951020182374
run_00207,task_proxy_irt,fixed,0.6064056076211692,0.3491873360579405,-0.38209054187614844,1.9884830897833934,0.2182551537153182,0.7296555150114147,0.47772482147186834
run_00203,task_proxy_irt,fixed,0.6045879172591666,0.3490300318539721,1.52459243944867,0.15345073185269512,1.900916105614873,-0.5113660181601304,-0.04465367246027497
run_00131,task_proxy_irt,fixed,0.6043213390539177,0.3516753089519775,-1.2356289946303365,-0.3728039882442805,1.923463025866526,1.0410885829218401,1.6654880693558394
run_00201,task_proxy_irt,fixed,0.5976774226227849,0.34695695095184503,-0.2344689033146417,0.555619225241057,0.3187901062650557,1.5970261736502775,0.7514205112721756
run_00100,task_proxy_irt,fixed,0.5805313952306153,0.35583100582288435,-0.4000704600274947,-0.18373271227659774,2.405916024313989,0.8165433622227877,0.2640007619203921
run_00062,task_proxy_irt,fixed,0.5616781769442409,0.34928890739307306,0.3349741194894644,-0.2828577079151503,1.552041513298698,-0.23690225056398065,1.4411352104121735
run_00027,task_proxy_irt,fixed,0.557012428434182,0.34086015520960794,1.4046770247695166,-0.6624582011839923,0.007845778511933067,0.3438423132043027,1.6911552268691499
run_00091,task_proxy_irt,fixed,0.5517015906949885,0.34720912048760877,1.5407215238195622,-0.19116439346720326,0.7163549693991133,-0.4345307231704985,1.1271265768939687
run_00233,task_proxy_irt,fixed,0.5405901229888669,0.33967463630013167,-1.423743460061466,3.6373014986397574,-0.5269368860775749,-0.6426351982955613,1.658964660739179
run_00060,task_proxy_irt,fixed,0.5324958178581604,0.3562163123942929,1.9259570181461436,0.0637110977722093,0.6336302067121484,0.6105794404684033,-0.5713986738081029
run_00063,task_proxy_irt,fixed,0.5275208816946065,0.3553460734446175,-0.29160061328008796,1.5639996963658735,-0.40410024039823805,1.7208592134783112,0.04844635230717387
run_00227,task_proxy_irt,fixed,0.5223068722762887,0.3508050867738589,0.8401779114752218,0.6865720779482948,0.9225335117684222,0.19527587767942556,-0.03302501748992083
run_00052,task_proxy_irt,fixed,0.5174448408213992,0.347295772544393,2.1345123054250457,-0.5739611396786581,1.0399161688704566,0.4027495170206706,-0.4159926475305189
run_00064,task_proxy_irt,fixed,0.5136851220656904,0.35397744705427836,0.9999808069487275,0.960125214819238,-0.759245853809226,1.0403375045328758,0.3272279378368372
run_00219,task_proxy_irt,fixed,0.5032618391197404,0.3515055859137947,0.5189163775717908,0.0065391727726503285,-0.10376214835719154,1.5040961177913645,0.5905196758200879
run_00202,task_proxy_irt,fixed,0.5006217132346636,0.3446761357131734,-0.17649295191367656,0.8852513564535466,0.7043681928853007,0.651425867930238,0.4385561008179092
run_00130,task_proxy_irt,fixed,0.4948168841852155,0.34763027500167715,-0.008272556985651054,0.1268882563941096,0.3065332139965265,1.2464410858785395,0.802494421642553
run_00025,task_proxy_irt,fixed,0.49164943505414926,0.33859733165785355,0.2618228704689725,1.0304703982446528,-0.13268554132808177,0.18565617334692355,1.1129832745382793
run_00124,task_proxy_irt,fixed,0.49051015561053457,0.3560121472867683,0.4432981804458964,0.40131612688677964,0.1803830948005381,1.3423670582412333,0.08518631767822572
run_00125,task_proxy_irt,fixed,0.4887834874367128,0.3525841764539547,-0.06865438833869866,0.8269378291901668,0.21657213549910934,0.3721422073553723,1.0969196534776138
run_00160,task_proxy_irt,fixed,0.48726782144690856,0.34339919513476336,1.8901436632551853,0.06855039923799351,0.08140145657121858,-0.6020889454498213,0.9983325336199668
run_00142,task_proxy_irt,fixed,0.47612669243175176,0.34876990829259263,0.3201236576410836,0.7232838677612032,0.441456409912153,2.345536029208761,-1.4497665023644422
run_00192,task_proxy_irt,fixed,0.47273536798116156,0.3508520815991491,1.1951712078366041,-0.4751650152481682,0.7971836237327925,0.009850068871600875,0.8366369547129788
run_00034,task_proxy_irt,fixed,0.46253236867952696,0.3491270932913643,0.4565261669262884,-0.4114615543062403,0.8289527836970526,1.4742758869830208,-0.035631439902486725
run_00112,task_proxy_irt,fixed,0.4484241374641787,0.3389601839792107,-0.42641041752567505,-0.015284168496805061,-0.3454095170045761,2.304969746760376,0.7242550435875734
