arm,final_train_loss,final_paloma_macro_loss,final_nested_paloma_macro_loss,median_tokens_per_second_step_5_plus,mean_tokens_per_second_step_5_plus,mean_overflow,max_overflow,terminal_overflow,runtime,gpu_hours,url
large_control,5.658483982086182,6.142232894897461,,2476015.079411668,2421171.530291784,0.006231472315079716,0.03431206941604614,0.0,343.841946535,7.0112,https://wandb.ai/marin-community/marin_moe/runs/nest-moe-001-full-d768-s2048-e256-cf125-r15
small_control,5.72868537902832,6.213593006134033,,2451915.1742020547,2398435.7457648506,0.0070692519825625135,0.03973191976547241,0.0,335.337671936,6.653988888888889,https://wandb.ai/marin-community/marin_moe/runs/nest-moe-002-full-d768-s2048-e128-cf125-r18
nested25,5.684116840362549,6.151232719421387,6.181225776672363,2483602.236222544,2402422.9239262613,0.00565127280342531,0.03616601228713989,0.0,333.020432087,6.67,https://wandb.ai/marin-community/marin_moe/runs/nest-moe-003-full-d768-s2048-e256-cf125-r17
nested50,5.7381792068481445,6.215213775634766,6.207049369812012,2501848.5854248535,2434032.8740261127,0.0038409547872811436,0.025463104248046875,0.0,365.202002641,7.2816,https://wandb.ai/marin-community/marin_moe/runs/nest-moe-004-full-d768-s2048-e256-cf125-r15
untreated_subset,5.658210277557373,6.139642715454102,6.2743330001831055,2474730.1992273787,2419235.088396591,0.006463528876323776,0.037140488624572754,0.0,316.097238518,,https://wandb.ai/marin-community/marin_moe/runs/nest-moe-001-full-d768-s2048-e256-subset-eval-cf125-r19
cooldown,5.714864730834961,6.134230613708496,,2478806.7808766267,2222961.4629132375,0.0007828250527381897,0.010438621044158936,0.0,245.044170822,5.103644444444445,https://wandb.ai/marin-community/marin_moe/runs/nest-moe-005-cooldown-d768-s2048-e128-cf125-r20
