arm,run_name,final_step,tokens_billions,runtime_seconds,gpu_hours,median_step_seconds,step_ci95_low,step_ci95_high,median_tokens_per_second,steady_step_overhead_vs_e256,final_paloma_macro_loss,final_paloma_micro_loss,mean_overflow,url
large_control,nest-moe-001-full-d768-s2048-e256-cost-r25,8191,4.294967296,2925.668666668,52.01188740743111,0.2145021294709295,0.21422453751438297,0.21473200028412975,2444208.8350971565,0.0,5.480635643005371,5.460010528564453,0.0011888279582991268,https://wandb.ai/marin-community/marin_moe/runs/nest-moe-001-full-d768-s2048-e256-cost-r25
small_control,nest-moe-002-full-d768-s2048-e128-cost-r25,8191,4.294967296,2872.250232067,51.06222634785778,0.21875163150252774,0.21840913346386515,0.21893053702660836,2396727.2673527086,0.019811001606742318,5.455852508544922,5.425876617431641,0.0027629784175327845,https://wandb.ai/marin-community/marin_moe/runs/nest-moe-002-full-d768-s2048-e128-cost-r25
ladder25,nest-moe-006-full-d768-s2048-e256-cost-r25,8191,4.294967296,2975.300412918,52.894229562986666,0.2162862709374167,0.21573454051394947,0.2164570597524289,2424046.601421617,0.008317593260672052,5.332880973815918,5.303070068359375,0.002891089206036085,https://wandb.ai/marin-community/marin_moe/runs/nest-moe-006-full-d768-s2048-e256-cost-r25
ladder50,nest-moe-007-full-d768-s2048-e256-cost-r25,8191,4.294967296,2944.315189188,52.343381141120005,0.21509303053608164,0.21445769374258816,0.21541758978855796,2437494.1330888504,0.0027547561723959557,5.451587677001953,5.4103498458862305,0.00231298749665842,https://wandb.ai/marin-community/marin_moe/runs/nest-moe-007-full-d768-s2048-e256-cost-r25
