bin_start,bin_end,pair_count
0.5,0.55,44368
0.55,0.6000000000000001,58291
0.6,0.65,68770
0.65,0.7000000000000001,71547
0.7,0.75,59661
0.75,0.8,41278
0.8,0.8500000000000001,21807
0.85,0.9,7620
0.9,0.9500000000000001,1475
0.95,1.0,112
