run,job_id,attention_backend,case_id,golden_probability_gap_to_greedy,greedy_token_id,max_probability_error,prompt_tokens,rank,request_id,request_kind,request_seconds,returned_logprob_count,top_probability_l1_error,vllm_batch_invariant,vllm_use_flashinfer_sampler
1,7ff3af48,FLASH_ATTN,long-longbench-07,0.0,426,0.006062467154019424,17578,2,wave-7-long-longbench-07-rank-2,representative,2.6275886381044984,50,0.021984425430199787,1,0
1,7ff3af48,FLASH_ATTN,long-longbench-08,0.0,362,0.017813643355070047,22504,3,wave-7-long-longbench-08-rank-3,representative,3.5545470411889255,50,0.04039118084509857,1,0
1,7ff3af48,FLASH_ATTN,long-longbench-09,0.0,426,0.0181071955085631,29364,4,wave-7-long-longbench-09-rank-4,representative,4.456459288019687,50,0.07109733406376834,1,0
1,7ff3af48,FLASH_ATTN,long-longbench-10,0.0,426,0.016732241407771076,22791,5,wave-7-long-longbench-10-rank-5,representative,3.6475868113338947,50,0.039822348267868714,1,0
1,7ff3af48,FLASH_ATTN,long-longbench-11,0.0,356,0.013916098976586522,27136,6,wave-7-long-longbench-11-rank-6,representative,4.137150960974395,50,0.04123358332288888,1,0
1,7ff3af48,FLASH_ATTN,math-gsm8k-01,0.0,54765,0.016992199844387768,382,2,wave-2-math-gsm8k-01-rank-2,representative,0.19955225987359881,50,0.036770897259541906,1,0
1,7ff3af48,FLASH_ATTN,math-gsm8k-02,0.0,578,0.009355437798490324,345,3,wave-2-math-gsm8k-02-rank-3,representative,0.20069396309554577,50,0.033606730249898194,1,0
1,7ff3af48,FLASH_ATTN,math-gsm8k-03,0.0,578,0.008851612467392522,2186,0,wave-4-math-gsm8k-03-rank-0,representative,0.4872883749194443,50,0.022741726269559982,1,0
1,7ff3af48,FLASH_ATTN,math-gsm8k-04,0.0,1283,0.010231094924770923,2215,1,wave-4-math-gsm8k-04-rank-1,representative,0.4897265201434493,50,0.020846514044963408,1,0
1,7ff3af48,FLASH_ATTN,math-gsm8k-05,0.0,468,0.004558614353895846,2772,2,wave-4-math-gsm8k-05-rank-2,representative,0.5467774188145995,50,0.015966172714848566,1,0
1,7ff3af48,FLASH_ATTN,math-gsm8k-06,0.0,578,0.0190503657878483,2708,3,wave-4-math-gsm8k-06-rank-3,representative,0.545117266010493,50,0.05038141966394147,1,0
1,7ff3af48,FLASH_ATTN,specialized-longbench-01,0.0,426,0.012365810087857865,14725,7,wave-6-specialized-longbench-01-rank-7,representative,2.357729382812977,50,0.05113934053541778,1,0
1,7ff3af48,FLASH_ATTN,specialized-longbench-02,0.05220080716560763,362,0.04137508115622532,23867,7,wave-7-specialized-longbench-02-rank-7,representative,3.7913649771362543,50,0.09572082864888583,1,0
1,7ff3af48,FLASH_ATTN,specialized-mmmlu-01,0.0,426,0.0038066725894425057,1042,4,wave-4-specialized-mmmlu-01-rank-4,representative,0.33891521068289876,50,0.007641283644718864,1,0
1,7ff3af48,FLASH_ATTN,specialized-mmmlu-02,0.0,423,0.005517098193101755,1763,5,wave-4-specialized-mmmlu-02-rank-5,representative,0.42300083907321095,50,0.011036239667828433,1,0
1,7ff3af48,FLASH_ATTN,specialized-mmmlu-03,0.0,426,0.009544577953750744,1080,6,wave-4-specialized-mmmlu-03-rank-6,representative,0.3369341650977731,50,0.019149418179117056,1,0
1,7ff3af48,FLASH_ATTN,specialized-mmmlu-04,0.0,356,0.007861136693737003,1040,7,wave-4-specialized-mmmlu-04-rank-7,representative,0.33515409706160426,50,0.015720384577135336,1,0
1,7ff3af48,FLASH_ATTN,specialized-mmmlu-05,0.0,426,0.013341418629536472,3212,0,wave-5-specialized-mmmlu-05-rank-0,representative,0.7077901340089738,50,0.035221214163231915,1,0
1,7ff3af48,FLASH_ATTN,specialized-mmmlu-06,0.0,356,0.021655855407913482,1025,1,wave-5-specialized-mmmlu-06-rank-1,representative,0.47593884402886033,50,0.04332324395066795,1,0
1,7ff3af48,FLASH_ATTN,structured-structeval-01,0.0128899283709564,578,0.021934417292299002,304,4,wave-2-structured-structeval-01-rank-4,representative,0.1990679749287665,50,0.05596024663952613,1,0
1,7ff3af48,FLASH_ATTN,structured-structeval-02,0.0,220,0.019949102137609198,257,5,wave-2-structured-structeval-02-rank-5,representative,0.20086952112615108,50,0.041853482109129085,1,0
1,7ff3af48,FLASH_ATTN,structured-structeval-03,0.0,578,0.014659060246014766,260,6,wave-2-structured-structeval-03-rank-6,representative,0.19931408297270536,50,0.04940896893603431,1,0
1,7ff3af48,FLASH_ATTN,structured-structeval-04,0.0,578,0.011133852014492462,283,7,wave-2-structured-structeval-04-rank-7,representative,0.19744949834421277,50,0.03702329731381642,1,0
1,7ff3af48,FLASH_ATTN,structured-structeval-05,0.0,220,0.029259702689735656,267,0,wave-3-structured-structeval-05-rank-0,representative,0.10310137132182717,50,0.06123056154550747,1,0
1,7ff3af48,FLASH_ATTN,structured-structeval-06,0.05493712724141256,220,0.03811646768629681,264,1,wave-3-structured-structeval-06-rank-1,representative,0.10136367194354534,50,0.09830235041698429,1,0
1,7ff3af48,FLASH_ATTN,structured-structeval-07,0.0,2612,0.011839687615025435,1130,2,wave-5-structured-structeval-07-rank-2,representative,0.24808875704184175,50,0.025144560746693183,1,0
1,7ff3af48,FLASH_ATTN,structured-structeval-08,0.0,2612,0.023641519193868477,1161,3,wave-5-structured-structeval-08-rank-3,representative,0.24817473534494638,50,0.05483897448275784,1,0
1,7ff3af48,FLASH_ATTN,structured-structeval-09,0.0,2612,0.058086942389799945,1030,4,wave-5-structured-structeval-09-rank-4,representative,0.4718771707266569,50,0.12877560774471658,1,0
