run,job_id,passed_0_075_gate,representative_max_probability_error,representative_worst_case,representative_worst_rank,sentinel_max_probability_error,sentinel_worst_rank,sentinel_min_probability_error,sentinel_median_probability_error
1,7ff3af48,True,0.0670223315392619,knowledge-longbench-02,1,0.0741303815094298,4,0.014111131096591845,0.03365599697284212
2,9af1f63f,False,0.053179897078425076,long-longbench-04,5,0.07604531056313579,7,0.018087375149153956,0.035532768929763536
3,c8ab3bb9,True,0.05606684533816664,knowledge-longbench-02,1,0.055487692149351786,6,0.009418263815410666,0.04394756433235532
4,0373bc39,False,0.0670223315392619,knowledge-longbench-02,1,0.09304992317242533,3,0.025318701747810035,0.04965584025144759
5,b3e2493b,False,0.055501926096163556,structured-structeval-09,4,0.0824646483368438,3,0.034299878482469515,0.06381063817947497
