request_kind,case_id,backend_rank,golden_rank,token_id,run_count,golden_probability,actual_probability_mean,actual_probability_std,actual_probability_min,actual_probability_max,actual_logprob_min,actual_logprob_max,actual_probability_range,actual_logprob_range
representative,code-humaneval-01,0,0,1432,5,0.6480666224488568,0.6766064726724061,0.0039032096110153043,0.6696673886784075,0.6790920296217826,-0.4009741246700287,-0.38699862360954285,0.00942464094337514,0.01397550106048584
representative,code-humaneval-01,0,1,720,5,0.06705000983329779,0.06063338140703275,0.000822374359021996,0.059396374435729614,0.061713573583691624,-2.8235220909118652,-2.7852513790130615,0.0023171991479620097,0.03827071189880371
representative,code-humaneval-01,0,2,220,5,0.03953231520451681,0.034243690947098115,0.00024041074375072953,0.03407517541813157,0.03466892469272365,-3.3791861534118652,-3.3619115352630615,0.0005937492745920828,0.01727461814880371
representative,code-humaneval-01,0,3,1084,5,0.035023690147662816,0.027559322843834694,0.00029387875954736003,0.02716709845686893,0.027770353472768516,-3.6057486534118652,-3.5837862491607666,0.0006032550158995877,0.021962404251098633
representative,code-humaneval-01,0,4,702,5,0.026748902484510007,0.025376165159020254,0.0007352198745079096,0.024929930895003474,0.02668562400755242,-3.6916861534118652,-3.6236302852630615,0.001755693112548945,0.06805586814880371
representative,code-humaneval-01,0,5,2355,5,0.017958367859100065,0.013526940278171182,0.00021964310338189137,0.01313715040746308,0.013640336079929481,-4.332311153411865,-4.294723987579346,0.0005031856724664,0.03758716583251953
representative,code-humaneval-01,0,6,4815,5,0.010557179843140009,0.009819371366491383,0.00015098416729169596,0.009748308584061265,0.010089229869125995,-4.630661487579346,-4.596286773681641,0.00034092128506472974,0.03437471389770508
representative,code-humaneval-01,0,7,1038,5,0.008286425402950739,0.00841130868226897,1.1683025567467663e-05,0.008403567275902914,0.008429867087654952,-4.779098987579346,-4.775974273681641,2.6299811752037577e-05,0.003124713897705078
representative,code-humaneval-01,0,8,5996,5,0.008031478895548888,0.00609683370161092,7.93422138024974e-05,0.005967819546335703,0.006148181157955127,-5.121373653411865,-5.091598987579346,0.00018036161161942392,0.02977466583251953
representative,code-humaneval-01,0,9,1875,5,0.007784376267561344,0.007956956444301925,0.00034351461015344,0.007772029221901345,0.008562618177975835,-4.857223987579346,-4.760349273681641,0.0007905889560744896,0.09687471389770508
representative,code-humaneval-01,0,10,7275,5,0.006869687944675919,0.006656060680166484,0.0001922164419830429,0.006544704775066422,0.006988605278056564,-5.029098987579346,-4.963474273681641,0.00044390050299014227,0.06562471389770508
representative,code-humaneval-01,0,11,4343,5,0.005434370455461999,0.006212392435469975,9.599619987906831e-05,0.006148181157955127,0.0063631975172656965,-5.091598987579346,-5.057224273681641,0.0002150163593105693,0.03437471389770508
representative,code-humaneval-01,0,12,3270,5,0.003677078982746919,0.003607055834064761,7.931122900197563e-05,0.0035582942664503163,0.0037407308444879117,-5.638473987579346,-5.588474273681641,0.00018243657803759545,0.04999971389770508
representative,code-humaneval-01,0,13,674,5,0.003454296029389343,0.002409880285341824,3.347242866919741e-06,0.0024076623352835055,0.002415197357506984,-6.029098987579346,-6.025974273681641,7.53502222347862e-06,0.003124713897705078
representative,code-humaneval-01,0,14,12885,5,0.00309641094874741,0.002907511175643707,6.865059650396465e-05,0.0028591697669211862,0.0030057616756409803,-5.857223987579346,-5.807224273681641,0.00014659190871979403,0.04999971389770508
representative,code-humaneval-01,0,15,27,5,0.0030011443991224177,0.002962782517807642,8.048029703995261e-05,0.0028189983464830424,0.0030057616756409803,-5.871373653411865,-5.807224273681641,0.00018676332915793783,0.06414937973022461
representative,code-humaneval-01,0,16,5456,5,0.0027756048358188283,0.0033995831463431306,9.817455218861556e-05,0.0033427081152377215,0.0035694303074069165,-5.700973987579346,-5.635349273681641,0.000226722192169195,0.06562471389770508
representative,code-humaneval-01,0,17,37945,5,0.0027756048358188283,0.0024255853424657,6.0778820478890144e-05,0.002373834607716315,0.0025311050987616678,-6.043248653411865,-5.979099273681641,0.00015727049104535297,0.06414937973022461
representative,code-humaneval-01,0,18,3089,5,0.0026485006364346405,0.0026337141999304703,0.00015227904452457173,0.0025232084632714666,0.0028236517818012587,-5.982223987579346,-5.869724273681641,0.000300443318529792,0.11249971389770508
representative,code-humaneval-01,0,19,1827,5,0.002567014838364202,0.002167021386392275,1.7964435103855766e-05,0.0021582145688817914,0.0021990622187877877,-6.138473987579346,-6.119724273681641,4.084764990599631e-05,0.018749713897705078
representative,code-humaneval-01,0,20,14963,5,0.0025272169621095714,0.0026805362858519375,5.8939100750135766e-05,0.0026442997657207122,0.002779875118527312,-5.935348987579346,-5.885349273681641,0.00013557535280659967,0.04999971389770508
representative,code-humaneval-01,0,21,19124,5,0.0022302611412209476,0.001853743346842115,3.3698313350677486e-05,0.0018200821284094404,0.0019105783653416046,-6.308873653411865,-6.260349273681641,9.049623693216423e-05,0.04852437973022461
representative,code-humaneval-01,0,22,262,5,0.0020951364495482485,0.00196697298671752,2.07763146841346e-05,0.0019406655966710306,0.0019989691557719285,-6.244724273681641,-6.215123653411865,5.830355910089796e-05,0.02960062026977539
representative,code-humaneval-01,0,23,15425,5,0.0020306758776649325,0.002061951408499449,5.9545875905953345e-05,0.0020274549583619086,0.002164968919149785,-6.200973987579346,-6.135349273681641,0.00013751396078787647,0.06562471389770508
representative,code-humaneval-01,0,24,256,5,0.0019376844588907104,0.0017853149049828169,1.2113532880384196e-05,0.0017640840883308706,0.0017948222739307207,-6.340123653411865,-6.322849273681641,3.073818559985015e-05,0.01727437973022461
