dataset,k,policy,seed,subset_id,selected_indices,success_rate,median_regret@1,median_regret@5,median_true_rank,median_rmse,median_spearman,median_runtime_s,subset_mean_pairwise_distance,subset_min_pairwise_distance,boundary_mass_005,full_pool_mean_coverage_distance,full_pool_max_coverage_distance,high_starcoder_epoch_fraction
three_phase_starcoder,16,oracle_hill_climb,1042,16-21-23-28-41-47-48-52-55-59-65-68-124-128-130-140,"[16, 21, 23, 28, 41, 47, 48, 52, 55, 59, 65, 68, 124, 128, 130, 140]",1.0,0.0020932555198669434,0.0020932555198669434,3.0,1.7992850595153986,0.9451335989687097,12.279798874995322,0.2997153569398637,0.056417476250994435,0.16666666666666666,0.12148374117989413,0.3481861395469003,0.25
three_phase_starcoder,16,oracle_hill_climb,1075,15-19-24-42-43-48-88-94-97-109-116-120-122-147-148-153,"[15, 19, 24, 42, 43, 48, 88, 94, 97, 109, 116, 120, 122, 147, 148, 153]",1.0,0.004587113857269287,0.0,9.0,0.040705663008042604,0.9588802296964726,18.539265375002287,0.4111035387524005,0.0545676542043827,0.2916666666666667,0.11613482989666939,0.29554413081394215,0.25
three_phase_starcoder,16,oracle_hill_climb,1085,13-20-34-36-52-66-77-83-85-86-98-99-110-120-133-148,"[13, 20, 34, 36, 52, 66, 77, 83, 85, 86, 98, 99, 110, 120, 133, 148]",1.0,0.0038446784019470215,0.0020932555198669434,8.0,0.04323430064147699,0.9576467830774639,16.121182750008302,0.4065491637856922,0.06356926736241766,0.20833333333333334,0.11415008138409591,0.2409771711817509,0.25
three_phase_starcoder,16,oracle_hill_climb,1095,1-25-35-36-41-52-56-58-93-94-97-135-136-137-149-156,"[1, 25, 35, 36, 41, 52, 56, 58, 93, 94, 97, 135, 136, 137, 149, 156]",1.0,0.008365631103515625,0.008365631103515625,16.0,0.17749875779009863,0.73254131020743,18.006255041997065,0.3751589093667704,0.05505722444821678,0.22916666666666666,0.11726063407437597,0.3007396807778259,0.25
three_phase_starcoder,16,oracle_hill_climb,3020,0-1-19-70-76-77-80-81-89-105-106-108-109-111-116-139,"[0, 1, 19, 70, 76, 77, 80, 81, 89, 105, 106, 108, 109, 111, 116, 139]",1.0,0.0020932555198669434,0.0020932555198669434,3.0,0.11988030117319778,0.9148892534864643,21.851809999992838,0.5137758059159563,0.03826430590343107,0.7083333333333334,0.14907463493908438,0.3333333333333333,0.25
three_phase_starcoder,16,oracle_hill_climb,1054,17-21-34-41-52-55-57-59-62-99-100-112-118-126-139-156,"[17, 21, 34, 41, 52, 55, 57, 59, 62, 99, 100, 112, 118, 126, 139, 156]",1.0,0.0020932555198669434,0.0020932555198669434,3.0,0.22722895949534397,0.9532139927340911,17.755707582997275,0.3602034707392493,0.056417476250994435,0.14583333333333334,0.11512085977306108,0.2967342290777786,0.25
three_phase_starcoder,16,oracle_hill_climb,1022,3-13-14-35-39-44-48-55-59-74-111-115-137-138-145-157,"[3, 13, 14, 35, 39, 44, 48, 55, 59, 74, 111, 115, 137, 138, 145, 157]",1.0,0.0020932555198669434,0.0,3.0,0.05009656383934328,0.9384858783546233,16.75463141700311,0.37387672941081895,0.05823129520792988,0.25,0.13000725600283158,0.35063621942041223,0.25
three_phase_starcoder,16,oracle_hill_climb,1079,3-7-12-27-45-47-48-49-74-75-107-114-135-147-148-156,"[3, 7, 12, 27, 45, 47, 48, 49, 74, 75, 107, 114, 135, 147, 148, 156]",1.0,0.0020932555198669434,0.0020932555198669434,3.0,0.1435772612423476,0.8734237665533809,17.446629250000115,0.3606815603548913,0.05073317707423348,0.25,0.11842277830218775,0.3096568984212145,0.25
three_phase_starcoder,16,oracle_hill_climb,1034,3-14-71-76-78-93-94-97-103-104-105-116-127-141-143-159,"[3, 14, 71, 76, 78, 93, 94, 97, 103, 104, 105, 116, 127, 141, 143, 159]",1.0,0.0020932555198669434,0.0020932555198669434,3.0,0.0506885435845265,0.9129878120239072,22.08525566699973,0.43502395232421176,0.1086439822247844,0.375,0.12642970526210776,0.3333333333333333,0.25
three_phase_starcoder,16,oracle_hill_climb,3024,0-1-5-6-70-76-77-81-89-106-108-109-111-116-121-139,"[0, 1, 5, 6, 70, 76, 77, 81, 89, 106, 108, 109, 111, 116, 121, 139]",1.0,0.0020932555198669434,0.0010315179824829102,3.0,0.10644474614777254,0.906990507441697,22.326514125001268,0.509815250768083,0.03826430590343107,0.6875,0.15046800487948275,0.3196871208249177,0.25
