model,fit_protocol,split,n,rmse,mae,bias_pred_minus_actual,actual_std,pred_std,std_ratio,spearman,slope_pred_on_actual,intercept_pred_on_actual,slope_actual_on_pred,intercept_actual_on_pred,low_tail_rmse
mct_lrq69_drop_Dfam,seed7,seed7_train,570,0.02846696678291743,0.012714960135356439,-0.0023380709395892604,0.0692912858640251,0.06869864735639128,0.9914471423030482,0.9313575009198406,0.9076621915353027,0.09560848930639722,0.923389888933165,0.08342248746297627,0.009199252902227492
mct_lrq69_drop_Dfam,seed7,seed7_holdout,61,0.010135594020099305,0.007820431117724338,0.0012063848384751875,0.06891815131081871,0.07213714712198994,1.0467075182654517,0.9706504494976202,1.037137151076177,-0.03434187156796703,0.9466414224169113,0.049933643331239945,0.005344260651145686
mct_lrq69_drop_Dfam,seed7,fixed340_holdout,27,0.006137834872766682,0.005013080770509383,0.000265457679750626,0.017544144667071045,0.017926849282930625,1.0218138087163569,0.9236874236874236,0.9609683734940192,0.03513486092079182,0.9203765820155257,0.07088827880231115,0.005482632790329364
mct_lrq69_drop_Dfam,seed7,random_supplement,34,0.012425513100510021,0.010049797569924449,0.0019535916998152806,0.049681088878676775,0.05567405908075909,1.120628801367808,0.8686019862490449,1.0974012121576286,-0.09621923703111199,0.8738600299945151,0.12543209054761184,0.011700043110423717
mct_lrq69_balanced_Dfam,seed7,seed7_train,570,0.02832881415462987,0.012695773754221752,-0.0023211700178394214,0.0692912858640251,0.06860806117216278,0.9901398179678315,0.9312170848109249,0.9071758266893468,0.09614129768228812,0.925333781846576,0.08134942523253075,0.009165975482149613
mct_lrq69_balanced_Dfam,seed7,seed7_holdout,61,0.010125030544859512,0.007809194338377486,0.0010501202673106394,0.06891815131081871,0.07225370095819755,1.0483987104113635,0.971020624008461,1.0388941754532144,-0.03617998709585077,0.9451883395815793,0.0514740091626795,0.005317384947613697
mct_lrq69_balanced_Dfam,seed7,fixed340_holdout,27,0.006134410809479782,0.005001711204287964,-8.534364679612805e-05,0.017544144667071045,0.017729046316864183,1.010539222817752,0.927960927960928,0.9494770254218707,0.045050002512342625,0.9297755274933438,0.06281528199599438,0.005384575560168134
mct_lrq69_balanced_Dfam,seed7,random_supplement,34,0.012411396523012439,0.010038666238977988,0.0019518121991013077,0.049681088878676775,0.05567247534996168,1.1205969234272644,0.8686019862490449,1.0974351070682238,-0.09625517995935394,0.8739367406288917,0.1253561775181001,0.01165380898388957
mct_lrq70_drop_Ntied_rho0p025,seed7,seed7_train,570,0.0284548832459219,0.012714478266170911,-0.0023372866381843925,0.0692912858640251,0.06869073374924616,0.9913329344766751,0.9313435046671753,0.9076202136664847,0.09565380128206186,0.923559946815038,0.08324177324106352,0.009220406312142975
mct_lrq70_drop_Ntied_rho0p025,seed7,seed7_holdout,61,0.010133718436880837,0.007828988564752334,0.0012081562508992735,0.06891815131081871,0.07210940518088353,1.0463049836562266,0.9706504494976202,1.0367203483544074,-0.033941130132398675,0.9469892193401401,0.0495986296422185,0.0053407225016219645
mct_lrq70_drop_Ntied_rho0p025,seed7,fixed340_holdout,27,0.006188972973093192,0.005061995572956789,0.00026868776411335694,0.017544144667071045,0.017929089043267094,1.0219414729814988,0.9236874236874236,0.9600776314279217,0.03593384683361712,0.9192937399494581,0.07185296767751356,0.0055434019162894695
mct_lrq70_drop_Ntied_rho0p025,seed7,random_supplement,34,0.012402603825728772,0.010026306528825265,0.001954204755111619,0.049681088878676775,0.055611391866483804,1.1193674116581678,0.8686019862490449,1.0961041673729832,-0.09491130394684809,0.8747954405273344,0.1244869059442669,0.011641969844712153
mct_lrq70_drop_Ntied_rho0p05,seed7,seed7_train,570,0.028443043443483473,0.012715378818542388,-0.0023364494886370254,0.0692912858640251,0.06868289648702079,0.9912198284471414,0.9313266573260041,0.9075778410727908,0.09569958480698923,0.9237276032564979,0.08306355163202872,0.0092416651643378
mct_lrq70_drop_Ntied_rho0p05,seed7,seed7_holdout,61,0.010132556602810604,0.00783745707686722,0.0012100596337768317,0.06891815131081871,0.07208155861029134,1.0459009308767693,0.9705975674246428,1.0363006307625915,-0.033537466567606,0.947337356916962,0.049263163209409884,0.005343410682837312
mct_lrq70_drop_Ntied_rho0p05,seed7,fixed340_holdout,27,0.0062411016636697335,0.005110827739929284,0.0002722156171337243,0.017544144667071045,0.017931325769149277,1.0220689642855567,0.9230769230769231,0.9591584454924575,0.03675854120995139,0.9181844921370136,0.07284098723327373,0.005604166680276323
mct_lrq70_drop_Ntied_rho0p05,seed7,random_supplement,34,0.012380136429567276,0.010002721550317934,0.0019548181175816524,0.049681088878676775,0.0555487113955425,1.1181057551132725,0.8686019862490449,1.0948059867494468,-0.09360222571835639,0.875732359644326,0.1235401964407567,0.0115868125931002
mct_lrq70_drop_Ntied_rho0p1,seed7,seed7_train,570,0.02842008631221447,0.012717026900139731,-0.002334621190318959,0.0692912858640251,0.06866745385570817,0.9909969630302271,0.9312590087714548,0.9074920122726312,0.09579245528927821,0.9240557290170734,0.08271457216774616,0.009284494028407222
mct_lrq70_drop_Ntied_rho0p1,seed7,seed7_holdout,61,0.010132375164175672,0.00785573275414851,0.0012142520267026742,0.06891815131081871,0.0720255896066879,1.045088822563663,0.9704918032786886,1.035453032666008,-0.03272194014409834,0.9480341868714395,0.048591329042808086,0.00536749459216364
mct_lrq70_drop_Ntied_rho0p1,seed7,fixed340_holdout,27,0.006348158886685919,0.005211835214753665,0.000280140160340248,0.017544144667071045,0.017935808001509634,1.0223244473795128,0.9218559218559219,0.9572373266495564,0.03848272186656401,0.9158875011174243,0.07488640085457554,0.005725673229327012
mct_lrq70_drop_Ntied_rho0p1,seed7,random_supplement,34,0.012336567284914283,0.009955298447197355,0.00195604674410813,0.049681088878676775,0.05542337199258104,1.1155828755671429,0.8686019862490449,1.0922074475311665,-0.09098187213459649,0.8776097819710174,0.1216431528201682,0.011485529832828006
mct_lrq70_drop_Ntied_rho0p25,seed7,seed7_train,570,0.028356826365198234,0.012721534403508032,-0.00232798336731768,0.0692912858640251,0.06862302024723925,0.9903557047837556,0.9311924617738285,0.9072275458163876,0.09607962370013064,0.9249831316711661,0.08172686279639285,0.00941535467474162
mct_lrq70_drop_Ntied_rho0p25,seed7,seed7_holdout,61,0.010148861610942821,0.007917677076770362,0.0012297315848964088,0.06891815131081871,0.07185610705608729,1.0426296365962935,0.969804336329984,1.032854772722975,-0.03021936591146262,0.9501214648300489,0.04657611229892049,0.005585274671682808
mct_lrq70_drop_Ntied_rho0p25,seed7,fixed340_holdout,27,0.006688756692893127,0.005532883379652265,0.0003104368037934437,0.017544144667071045,0.017949600918302583,1.0231106308643558,0.9139194139194139,0.9508573298778166,0.04421267030588199,0.9083854389471376,0.08156304473859845,0.006089862800410734
mct_lrq70_drop_Ntied_rho0p25,seed7,random_supplement,34,0.012217390362621122,0.009811483836246497,0.001959759793419352,0.049681088878676775,0.055048540500732476,1.1080381236241266,0.8686019862490449,1.0844148492812566,-0.0831238275383709,0.8832548880648914,0.11593900429375317,0.011258178089335638
mct_lrq70_drop_Ntied_rho0p5,seed7,seed7_train,570,0.02826886910393534,0.012731285166298668,-0.002313571771045745,0.0692912858640251,0.06855540097406324,0.9893798349852254,0.9310445939563178,0.9067732758946232,0.09657589832737355,0.9263446617578174,0.08027245062604811,0.009640372661237667
mct_lrq70_drop_Ntied_rho0p5,seed7,seed7_holdout,61,0.01023102784632395,0.008067448893903765,0.001264026269415611,0.06891815131081871,0.0715719916950313,1.038507132500462,0.9697514542570067,1.0283977502802932,-0.0259187402885059,0.9535471021345092,0.043260124983451186,0.0063625507128712575
mct_lrq70_drop_Ntied_rho0p5,seed7,fixed340_holdout,27,0.0073032518411439845,0.006073223974210823,0.0003799791984510986,0.017544144667071045,0.01797508859679456,1.0245634049365975,0.9126984126984127,0.9384556967560479,0.05536137042162892,0.8939970698362568,0.09435937447299009,0.006694999054572631
mct_lrq70_drop_Ntied_rho0p5,seed7,random_supplement,34,0.012059896615786934,0.009651098094836396,0.0019660636492991944,0.049681088878676775,0.05443351858357849,1.0956587267341773,0.8689075630252101,1.0715541968395703,-0.07015498860148647,0.8926136775437022,0.10648210619664579,0.011150477377290314
mct_lrq76_drop_Nshrink_lam0p1,seed7,seed7_train,570,0.028303521421537175,0.012707179162182437,-0.0023092329554688555,0.0692912858640251,0.06856702559532152,0.9895475995332972,0.9311783359262311,0.9067330339714895,0.09662292342730289,0.9259894931628558,0.08064435334542977,0.009560279898838958
mct_lrq76_drop_Nshrink_lam0p1,seed7,seed7_holdout,61,0.010249351835075316,0.00805220927299993,0.0012428030502740254,0.06891815131081871,0.07187907979536345,1.0429629702513499,0.9688524590163933,1.0329899903630864,-0.030335726866237187,0.949638546336571,0.047026550055875624,0.007281503433640961
mct_lrq76_drop_Nshrink_lam0p1,seed7,fixed340_holdout,27,0.006929355241100019,0.0057213680259576355,0.0004459952107956828,0.017544144667071045,0.01765541556308985,1.006342338035302,0.9035409035409036,0.9286861730339141,0.06415511552535039,0.9170172194060691,0.07372474414155436,0.006415132134770135
mct_lrq76_drop_Nshrink_lam0p1,seed7,random_supplement,34,0.01226133445122145,0.00990317143976881,0.0018755622169185915,0.049681088878676775,0.05538203275690185,1.114750783585823,0.8682964094728801,1.0915919356019559,-0.09044196862071653,0.8784251186155012,0.12089046183762969,0.011434724089164386
mct_lrq76_drop_Nshrink_lam1,seed7,seed7_train,570,0.028442504196389246,0.012711818139533483,-0.00233404999773136,0.0692912858640251,0.06868030189859245,0.9911823837901981,0.9314344803095,0.9075427533192525,0.09573920333983421,0.9237616824909803,0.0830252654349209,0.00925030278655352
mct_lrq76_drop_Nshrink_lam1,seed7,seed7_holdout,61,0.010129051040283527,0.007831256963140217,0.0012177086948603863,0.06891815131081871,0.07208608376950332,1.0459665907809588,0.9706504494976202,1.0363787386648515,-0.033604583600755585,0.9472898172306264,0.049301480581921166,0.005507254473777559
mct_lrq76_drop_Nshrink_lam1,seed7,fixed340_holdout,27,0.00619623578154072,0.00508010380019144,0.00028986770386237086,0.017544144667071045,0.017869727445398907,1.0185579168723429,0.9230769230769231,0.9564986555289337,0.03915235071252253,0.9219617560737038,0.06944921735794334,0.005618680727077735
mct_lrq76_drop_Nshrink_lam1,seed7,random_supplement,34,0.012392879895261449,0.01001599623959954,0.0019545235994764577,0.049681088878676775,0.0555916149483532,1.1189693342694274,0.8689075630252101,1.095707747202792,-0.09451142447473014,0.875101368357309,0.12417767767416406,0.011608380832396254
mct_lrq76_drop_Nshrink_lam10,seed7,seed7_train,570,0.02846438996600579,0.012714518461613644,-0.00233764981608935,0.0692912858640251,0.06869673368065815,0.9914195244617964,0.931400137652497,0.9076498825757119,0.09562196705612894,0.923428812204075,0.08338090205576772,0.009204576019545038
mct_lrq76_drop_Nshrink_lam10,seed7,seed7_holdout,61,0.010134540466594347,0.007820057688442395,0.001207675859565102,0.06891815131081871,0.07213154616187901,1.0466262485273,0.9706504494976202,1.0370546649179526,-0.03426162351819885,0.9467131396131434,0.04986368577466525,0.00535863745660346
mct_lrq76_drop_Nshrink_lam10,seed7,fixed340_holdout,27,0.006143077668848075,0.00501712390902884,0.00026799884281036444,0.017544144667071045,0.017920596712005573,1.0214574179635612,0.9236874236874236,0.9605018819307208,0.03555414829417655,0.9205718419630138,0.07071144967199876,0.005496959191322596
mct_lrq76_drop_Nshrink_lam10,seed7,random_supplement,34,0.012421913335362635,0.010045916866211983,0.0019538899611056294,0.049681088878676775,0.05566470993079091,1.120440618093665,0.8686019862490449,1.097208701741061,-0.096024903277491,0.8740002450079876,0.12529023014147128,0.011689245718886849
mct_lrq76_drop_Nshrink_lam100,seed7,seed7_train,570,0.028466707734522315,0.012714915657341265,-0.0023380286169258835,0.0692912858640251,0.06869845517801515,0.9914443688175553,0.9313553626034612,0.9076609570650833,0.09560984108305033,0.9233937992897875,0.08341830964700653,0.0091997877687176
mct_lrq76_drop_Nshrink_lam100,seed7,seed7_holdout,61,0.010135484094396215,0.007820391842362471,0.0012065159316033145,0.06891815131081871,0.07213658105527387,1.046699304656913,0.9706504494976202,1.0371288217358618,-0.03433376750123557,0.9466486766730385,0.049926566594317545,0.005345672286433157
mct_lrq76_drop_Nshrink_lam100,seed7,fixed340_holdout,27,0.00613835258876155,0.0050134861935180386,0.0002657128729867901,0.017544144667071045,0.01792621819419063,1.0217778372425705,0.9236874236874236,0.9609215138860346,0.03517697874474043,0.920396503089649,0.07087024188853967,0.005484073618531272
mct_lrq76_drop_Nshrink_lam100,seed7,random_supplement,34,0.012425149129045255,0.010049405151738933,0.0019536242428576135,0.049681088878676775,0.05567311031335995,1.12060970421393,0.8686019862490449,1.0973816695626821,-0.09619950707584922,0.8738742521731492,0.1254176994774123,0.011698942412302116
mct_lrq69_drop_Dfam,leave900out,non900_train,627,0.02459679583352999,0.011748994405091384,-0.0023383189592878478,0.07353016995653855,0.06986651578010875,0.9501748169683917,0.9474056996253737,0.895972272257539,0.10712425208012684,0.9924017877585012,0.010315726522424748,0.007354084763198234
mct_lrq69_drop_Dfam,leave900out,all900_leave_scale_out,4,0.010521607838946616,0.009736342896382866,-0.0028785972316158204,0.01834397465097202,0.01254367826843982,0.683803728859555,0.7999999999999999,0.581613262275855,0.3376663225171887,1.2438596263078945,-0.19490840925369862,0.01371549132953409
mct_lrq69_balanced_Dfam,leave900out,non900_train,627,0.02453575818729163,0.01173918256158816,-0.0023227915372765126,0.07353016995653855,0.0698601269850664,0.9500879302517402,0.9473125685315902,0.8961603611884243,0.10694186401935754,0.9927916790139957,0.009890961912877295,0.0073563332231239
