model,drop_pair,n,actual_drop_mean,pred_drop_mean,drop_error_mean,drop_ratio_mean,drop_ratio_median,drop_ratio_std,drop_rmse
mct_lrq69_balanced_Dfam,0.5x_to_1.0x,12,0.023635695377985665,0.023630689442259323,-5.005935726341375e-06,1.027315618083968,0.9356075881153465,0.22264079075549764,0.004222724201315474
mct_lrq69_balanced_Dfam,0.5x_to_2.0x,3,0.0485168099403381,0.04453513211790024,-0.003981677822437857,0.9171125426456297,0.9281403300742951,0.03340444641341014,0.0041520891037774114
mct_lrq69_balanced_Dfam,1.0x_to_2.0x,3,0.02120641867319743,0.020496230994012026,-0.0007101876791854034,0.965928255193003,0.9748881489301455,0.04603727898672945,0.0010464376659131045
mct_lrq69_drop_Dfam,0.5x_to_1.0x,12,0.023635695377985665,0.023829875634110636,0.00019418025612497058,1.0360857824355094,0.946100176276286,0.22389708626910287,0.004228790735430418
mct_lrq69_drop_Dfam,0.5x_to_2.0x,3,0.0485168099403381,0.04533497503195109,-0.003181834908387008,0.9336324374804619,0.9440639404617062,0.03205151765888316,0.003382898757070062
mct_lrq69_drop_Dfam,1.0x_to_2.0x,3,0.02120641867319743,0.02118734089497676,-1.9077778220670066e-05,0.9985319892882943,1.0066632658949324,0.046280101511028494,0.0007833804395382429
mct_lrq70_drop_Ntied_rho0p025,0.5x_to_1.0x,12,0.023635695377985665,0.023827189023183305,0.0001914936451976416,1.0359654320967475,0.9459228051999731,0.2238307317346356,0.00422725303531036
mct_lrq70_drop_Ntied_rho0p025,0.5x_to_2.0x,3,0.0485168099403381,0.045334615225506004,-0.003182194714832091,0.9336248345769054,0.9440558393898433,0.03205985800148254,0.003383345105586745
mct_lrq70_drop_Ntied_rho0p025,1.0x_to_2.0x,3,0.02120641867319743,0.02118668646723872,-1.9732205958707578e-05,0.9985008658638224,1.0066429315122383,0.046285944902903484,0.0007834852169503839
mct_lrq70_drop_Ntied_rho0p05,0.5x_to_1.0x,12,0.023635695377985665,0.023823582524709175,0.00018788714672351067,1.0358050551091376,0.9457085613597311,0.2237541476728496,0.004225584573841903
mct_lrq70_drop_Ntied_rho0p05,0.5x_to_2.0x,3,0.0485168099403381,0.04533231908789537,-0.0031844908524427304,0.9335773839801659,0.9440068564640606,0.03206568300807219,0.003385560116547459
mct_lrq70_drop_Ntied_rho0p05,1.0x_to_2.0x,3,0.02120641867319743,0.021185000772478497,-2.1417900718930422e-05,0.9984211566685812,1.0065731133610132,0.04628878456573873,0.0007835517758611065
mct_lrq70_drop_Ntied_rho0p1,0.5x_to_1.0x,12,0.023635695377985665,0.023813673202193086,0.00017797782420742037,1.0353669989903769,0.9451724373313322,0.2235712381313811,0.004221881938559602
