I20260911 05:44:43 8553706816 iris.cluster.config Loading config from lib/iris/config/marin.yaml
I20260911 05:44:43 8553706816 finelog.client.log_client LogClient resolved /system/log-server -> https://iris.oa.dev/proxy/system.log-server (log)
Not all requested scopes were granted by the authorization server, missing scopes email.
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:57 139825345307456 marin.execution.step_runner Step = checkpoints/starcoder_tpp10/tpp10_unmatched_p080_s20260911_366f2e8c	Params = {'fingerprint': '839b3b6c', 'version': '2026.09.09', 'result_type': 'marin.training.training.LevanterCheckpoint', 'deps': ['starcoder_tpp10/hq_actual@2026.09.09', 'starcoder_tpp10/hq_synth@2026.09.09', 'starcoder_tpp10/medium_high@2026.09.09', 'starcoder_tpp10/medium@2026.09.09', 'starcoder_tpp10/medium_low@2026.09.09', 'starcoder_tpp10/low_actual@2026.09.09', 'starcoder_tpp10/parent@2026.09.09', 'paloma/dolma_100_programing_languages-tpp10@2026.09.09'], 'expected_fingerprint': '839b3b6c'}	Output_path = gs://marin-us-central1/checkpoints/starcoder_tpp10/tpp10_unmatched_p080_s20260911/2026.09.09
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:57 139813986326208 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139813986326208)] Acquired lock for checkpoints/starcoder_tpp10/tpp10_matched_p080_s20260910_d20260912_c01dcf08
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:57 139814070253248 fray.current_client current_client: using explicitly set client
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:57 139813961148096 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139813961148096)] Status checkpoints/starcoder_tpp10/tpp10_matched_p080_s20260910_d20260913_b4c8b56a: RUNNING
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:57 139813961148096 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139813961148096)] Step checkpoints/starcoder_tpp10/tpp10_matched_p080_s20260910_d20260913_b4c8b56a has no active lock, taking over.
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:57 139813961148096 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139813961148096)] Attempting to acquire lock for checkpoints/starcoder_tpp10/tpp10_matched_p080_s20260910_d20260913_b4c8b56a
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:57 139825345307456 marin.execution.step_runner Step = checkpoints/starcoder_tpp10/tpp10_matched_p080_s20260911_d20260912_21c332f5	Params = {'fingerprint': 'e309854f', 'version': '2026.09.09', 'result_type': 'marin.training.training.LevanterCheckpoint', 'deps': ['starcoder_tpp10/hq_actual@2026.09.09', 'starcoder_tpp10/hq_synth@2026.09.09', 'starcoder_tpp10/medium_high@2026.09.09', 'starcoder_tpp10/medium@2026.09.09', 'starcoder_tpp10/medium_low@2026.09.09', 'starcoder_tpp10/low_actual@2026.09.09', 'starcoder_tpp10/subset_20260912@2026.09.09', 'paloma/dolma_100_programing_languages-tpp10@2026.09.09'], 'expected_fingerprint': 'e309854f'}	Output_path = gs://marin-us-central1/checkpoints/starcoder_tpp10/tpp10_matched_p080_s20260911_d20260912/2026.09.09
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:57 139813944362688 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139813944362688)] Status checkpoints/starcoder_tpp10/tpp10_matched_p080_s20260910_d20260914_6184db10: RUNNING
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:57 139813944362688 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139813944362688)] Step checkpoints/starcoder_tpp10/tpp10_matched_p080_s20260910_d20260914_6184db10 has no active lock, taking over.
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:57 139813944362688 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139813944362688)] Attempting to acquire lock for checkpoints/starcoder_tpp10/tpp10_matched_p080_s20260910_d20260914_6184db10
