continuation_id,role,fit_budget,referee_holdout,pool_index,bucket,phase_1_count,phase_1_weight,phase_1_materialized_epochs,historical_phase_1_bucket_epoch_cap,historical_total_bucket_epoch_cap
fit_wave2_near_fill_00,wave2_near_fill,True,False,36370,dolmino_synth_code,0,0.0,0.0,10.203114659002141,45.40228037065072
fit_wave2_near_fill_00,wave2_near_fill,True,False,36370,dolmino_synth_instruction,0,0.0,0.0,9.207340748685313,51.9511590435811
fit_wave2_near_fill_00,wave2_near_fill,True,False,36370,dolmino_synth_math,0,0.0,0.0,7.557007785450807,49.372697153797134
fit_wave2_near_fill_00,wave2_near_fill,True,False,36370,dolmino_synth_qa,120,0.05859375,0.1419197860525162,0.3067404626064787,2.3385043366517264
fit_wave2_near_fill_00,wave2_near_fill,True,False,36370,dolmino_synth_thinking,0,0.0,0.0,5.7672680940978855,20.18642749409473
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_arxiv,0,0.0,0.0,8.191919978715855,27.953842953981127
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_cc/art_and_design_high,91,0.04443359375,0.49692107249455353,1.7464690588686655,8.086179032045354
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_cc/art_and_design_low,0,0.0,0.0,4.33472773227391,14.1945850326734
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_cc/crime_and_law_high,2,0.0009765625,0.008113837770038835,1.8641689185407184,5.7031512182726285
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_cc/crime_and_law_low,7,0.00341796875,0.06321917682390713,3.233630017403927,10.242841081068676
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_cc/education_and_jobs_high,206,0.1005859375,0.5111413533429814,0.7128192461873092,4.532161203685466
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_cc/education_and_jobs_low,42,0.0205078125,0.21275689438244016,2.752006254127114,6.411329770360684
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_cc/electronics_and_hardware_high,8,0.00390625,0.03762146303062068,1.1775030872507881,5.261217930594374
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_cc/electronics_and_hardware_low,11,0.00537109375,0.11005436097249394,2.5572692537793955,9.48159517050724
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_cc/entertainment_high,76,0.037109375,0.11190473276880572,0.5722384864397412,2.932529010266612
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_cc/entertainment_low,1,0.00048828125,0.004046112291969095,1.5319940124119213,7.406276377870158
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_cc/finance_and_business_high,154,0.0751953125,0.17650187367070772,0.3117838104347911,1.768739380142504
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_cc/finance_and_business_low,84,0.041015625,0.20204708677798516,0.9523976870420865,2.5511794688992504
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_cc/food_and_dining_high,1,0.00048828125,0.0036493088936454974,1.9578153350016174,3.616706220985414
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_cc/food_and_dining_low,1,0.00048828125,0.007414015231161779,2.185383375609119,8.65095163254229
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_cc/games_high,0,0.0,0.0,0.8176807938748492,4.276774771043717
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_cc/games_low,27,0.01318359375,0.19871302158292692,2.0851489808841954,11.171025996870545
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_cc/health_high,114,0.0556640625,0.163210036530844,0.5007123062420487,1.4929275856518842
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_cc/health_low,50,0.0244140625,0.1679568017458183,1.2553488934225714,4.69944929616892
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_cc/history_and_geography_high,4,0.001953125,0.018457192370183027,1.5344196788573083,7.454541478448181
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_cc/history_and_geography_low,40,0.01953125,0.6706932572610785,5.8294805539541,18.195508643021267
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_cc/industrial_high,48,0.0234375,0.3664072191381102,2.8763861032801508,8.722271461529425
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_cc/industrial_low,0,0.0,0.0,5.298904130910751,21.831337345011402
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_cc/literature_high,103,0.05029296875,0.24856677522746148,0.8247294804131762,2.2777679606051047
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_cc/literature_low,0,0.0,0.0,1.862570623457864,14.559838419550267
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_cc/science_math_and_technology_high,82,0.0400390625,0.21034854670535655,0.6111670776301927,4.818658743238675
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_cc/science_math_and_technology_low,34,0.0166015625,0.19106338595460853,1.6922171815700033,8.034406875552962
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_finemath_3plus,4,0.001953125,0.07334255658394657,4.887372922596878,29.268340406672294
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_stack_edu,19,0.00927734375,0.08835217475719992,2.4355042239276807,6.852196443608214
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolma3_wikipedia,0,0.0,0.0,62.28165425173962,255.8246349460757
fit_wave2_near_fill_01,wave2_near_fill,True,False,36672,dolmino_common_crawl_hq,410,0.2001953125,0.19400077567255544,0.19818754990155155,0.9817956549488722
