[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:56 140678449043136 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678449043136)] Status checkpoints/starcoder_tpp10/tpp10_matched_p090_s20260910_d20260914_bc3e308c: None
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:56 140678449043136 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678449043136)] Attempting to acquire lock for checkpoints/starcoder_tpp10/tpp10_matched_p090_s20260910_d20260914_bc3e308c
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:57 140678499399360 fray.current_client current_client: using Iris backend (auto-detected)
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:57 140690022380352 marin.execution.step_runner Step = checkpoints/starcoder_tpp10/tpp10_matched_p090_s20260911_d20260912_41e07e46	Params = {'fingerprint': '06eccb74', 'version': '2026.09.09', 'result_type': 'marin.training.training.LevanterCheckpoint', 'deps': ['starcoder_tpp10/hq_actual@2026.09.09', 'starcoder_tpp10/hq_synth@2026.09.09', 'starcoder_tpp10/medium_high@2026.09.09', 'starcoder_tpp10/medium@2026.09.09', 'starcoder_tpp10/medium_low@2026.09.09', 'starcoder_tpp10/low_actual@2026.09.09', 'starcoder_tpp10/subset_20260912@2026.09.09', 'paloma/dolma_100_programing_languages-tpp10@2026.09.09'], 'expected_fingerprint': '06eccb74'}	Output_path = gs://marin-us-central1/checkpoints/starcoder_tpp10/tpp10_matched_p090_s20260911_d20260912/2026.09.09
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:57 140678449043136 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678449043136)] Acquired lock for checkpoints/starcoder_tpp10/tpp10_matched_p090_s20260910_d20260914_bc3e308c
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:57 140678432257728 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678432257728)] Status checkpoints/starcoder_tpp10/tpp10_unmatched_p090_s20260911_3394bdc0: None
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:57 140678432257728 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678432257728)] Attempting to acquire lock for checkpoints/starcoder_tpp10/tpp10_unmatched_p090_s20260911_3394bdc0
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:57 140678482613952 fray.current_client current_client: using Iris backend (auto-detected)
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:57 140690022380352 marin.execution.step_runner Step = checkpoints/starcoder_tpp10/tpp10_matched_p090_s20260911_d20260913_57c3063a	Params = {'fingerprint': '300112cb', 'version': '2026.09.09', 'result_type': 'marin.training.training.LevanterCheckpoint', 'deps': ['starcoder_tpp10/hq_actual@2026.09.09', 'starcoder_tpp10/hq_synth@2026.09.09', 'starcoder_tpp10/medium_high@2026.09.09', 'starcoder_tpp10/medium@2026.09.09', 'starcoder_tpp10/medium_low@2026.09.09', 'starcoder_tpp10/low_actual@2026.09.09', 'starcoder_tpp10/subset_20260913@2026.09.09', 'paloma/dolma_100_programing_languages-tpp10@2026.09.09'], 'expected_fingerprint': '300112cb'}	Output_path = gs://marin-us-central1/checkpoints/starcoder_tpp10/tpp10_matched_p090_s20260911_d20260913/2026.09.09
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:57 140678432257728 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678432257728)] Acquired lock for checkpoints/starcoder_tpp10/tpp10_unmatched_p090_s20260911_3394bdc0
