candidate_id,source,model_variant,max_phase0_epoch,nearest_panel_run_order,nearest_panel_tv,kl_penalty,kl_to_incumbent,tv_to_incumbent,hellinger_to_incumbent,kl_to_proportional,tv_to_proportional,hellinger_to_proportional,predicted_uncheatable::benefit_only,predicted_uncheatable::bounded_shape,predicted_uncheatable::power_benefit_only,predicted_uncheatable::power_shape,predicted_uncheatable::shared_shape,predicted_uncheatable::shared_shape_partition_ensemble,predicted_uncheatable::bounded_shape_partition_ensemble,minimum_candidate_hellinger
shared_bounded_ensemble_kl0p05,equal shared/bounded ensemble argmin with 0.05 * KL(w || observed incumbent),shared_bounded_ensemble,9.405566527442497,125,0.2633261236948092,0.05,0.25128265797176447,0.26318359375,0.2430136987141353,0.6474941444831971,0.4736328125,0.3944784926450626,1.0181557690949872,1.0218015913565894,1.020898188643402,1.0266074661399436,1.0176756745900462,1.0160780249788879,1.0218623323897498,0.1364844562800138
shared_bounded_ensemble_kl0p2,equal shared/bounded ensemble argmin with 0.2 * KL(w || observed incumbent),shared_bounded_ensemble,9.405566527442497,125,0.12319974022781491,0.2,0.06816513994625524,0.123046875,0.12376934772039329,0.5227783743862129,0.41064453125,0.3499355441502634,1.037390202302345,1.0410618321006004,1.0393351356965146,1.0418714446508819,1.0356743941503705,1.0339329515378242,1.0381172203764448,0.0526125891876781
shared_bounded_ensemble_kl0p5,equal shared/bounded ensemble argmin with 0.5 * KL(w || observed incumbent),shared_bounded_ensemble,8.73374034691089,125,0.06730290382907203,0.5,0.024012240503967195,0.0673828125,0.07395811688029025,0.49351254488254437,0.39208984375,0.3393552763572896,1.0547688607138297,1.055310715468996,1.0564058029807153,1.0552063011762058,1.0508432014573215,1.0484392506331945,1.0510386329193846,0.0526125891876781
observed_cap10_best,runtime materialization of raw panel run_order=125,control,7.1168695128657715,125,0.002212525172312059,,0.0,0.0,0.0,0.47249346696582667,0.376953125,0.33084833165824606,1.087775875521415,1.084741951293834,1.089190772147249,1.0853336779752416,1.0829175772396875,1.0805677503902205,1.081482681824497,0.07395811688029025
proportional_control,runtime proportional control,control,0.945584890628992,0,0.002518805590784744,,0.4453410988396526,0.376953125,0.33084833165824606,0.0,0.0,0.0,1.1440844160686057,1.143795271552361,1.1438345814735484,1.1436201557984007,1.1444344312062391,1.1440801238660478,1.1443556704678794,0.33084833165824606
