direction_id,direction_family,direction_outcome_status,radii_json,clr_direction_dolma3_arxiv,clr_direction_dolma3_cc/art_and_design_high,clr_direction_dolma3_cc/art_and_design_low,clr_direction_dolma3_cc/crime_and_law_high,clr_direction_dolma3_cc/crime_and_law_low,clr_direction_dolma3_cc/education_and_jobs_high,clr_direction_dolma3_cc/education_and_jobs_low,clr_direction_dolma3_cc/electronics_and_hardware_high,clr_direction_dolma3_cc/electronics_and_hardware_low,clr_direction_dolma3_cc/entertainment_high,clr_direction_dolma3_cc/entertainment_low,clr_direction_dolma3_cc/finance_and_business_high,clr_direction_dolma3_cc/finance_and_business_low,clr_direction_dolma3_cc/food_and_dining_high,clr_direction_dolma3_cc/food_and_dining_low,clr_direction_dolma3_cc/games_high,clr_direction_dolma3_cc/games_low,clr_direction_dolma3_cc/health_high,clr_direction_dolma3_cc/health_low,clr_direction_dolma3_cc/history_and_geography_high,clr_direction_dolma3_cc/history_and_geography_low,clr_direction_dolma3_cc/industrial_high,clr_direction_dolma3_cc/industrial_low,clr_direction_dolma3_cc/literature_high,clr_direction_dolma3_cc/literature_low,clr_direction_dolma3_cc/science_math_and_technology_high,clr_direction_dolma3_cc/science_math_and_technology_low,clr_direction_dolma3_finemath_3plus,clr_direction_dolma3_stack_edu,clr_direction_dolma3_wikipedia,clr_direction_dolmino_common_crawl_hq,clr_direction_dolmino_olmocr_pdfs_hq,clr_direction_dolmino_stack_edu_fim,clr_direction_dolmino_stem_heavy_crawl,clr_direction_dolmino_synth_code,clr_direction_dolmino_synth_instruction,clr_direction_dolmino_synth_math,clr_direction_dolmino_synth_qa,clr_direction_dolmino_synth_thinking
dense_06,dense_geometry,outcome-blind deterministic geometry,[0.15],0.15458574003945946,-0.16418866677342722,0.08044194872809013,-0.13156131681213856,0.1690520677131875,0.07764506588115686,-0.20471563782965332,0.014256231729105957,0.1486649235283106,-0.31198829139840084,0.18086894099610917,-0.04186501278501461,0.013936078364728094,-0.008696513969195482,0.15659880921851987,0.12650942975897042,0.27350671967426454,0.019770307269679453,-0.35684159633227774,0.14077733190708475,-0.06363463015889283,0.3134431561419979,-0.15508311788118556,0.20704266447140454,0.017900637940286093,0.03290593895836988,-0.02748043526641655,-0.2841134023192243,-0.029294677239451252,0.12680843253191143,-0.2105173038915921,0.03445113054899289,-0.09214572155537662,0.24752467527560112,-0.1002989341694549,-0.11808102871903003,-0.031465118635985466,-0.12835583696213498,-0.0763629879783782
dense_07,dense_geometry,outcome-blind deterministic geometry,[0.15],-0.18645180038748863,-0.02581162434401519,0.09408595982554457,0.037885074442110304,0.22116198955958394,0.22028396849850146,0.10836848738513179,-0.058889311679708005,0.3230223966038153,0.050640782176888395,-0.25463557307697765,0.05049675227999239,-0.12362071081453395,-0.1242627927328496,0.16625163751573444,0.20865091386208676,-0.0955829247060223,0.1712609771872089,-0.33721210149698383,0.0022113170083921225,-0.007208328366867519,-0.2021306942921524,0.025885197413685737,-0.05126846228671903,-0.07278977516795464,0.10037359101367879,-0.11309710091263901,-0.03864919276682817,0.09914299213431799,-0.0035008614789873976,-0.18201172694605347,0.1180159806833514,-0.2775060413358887,-0.07547258088242867,0.1434015815288889,-0.23150204909542618,0.27274485267398896,0.18213158168046847,-0.13441238070284645
dense_08,dense_geometry,outcome-blind deterministic geometry,[0.15],-0.11806277479164949,-0.28476729603959583,0.18536079324357405,-0.041423637836841956,0.2683887849787899,0.3055840070164219,0.08715354772768355,0.28005898748958324,-0.3066434246463405,-0.08651267953892869,-0.055925570089735054,0.04605324180775985,0.0930783972423187,-0.08384847459654862,-0.22092046539954768,0.022755706106542376,0.0854992253758683,-0.037716958910403435,-0.07952553671674549,0.057478924664715624,-0.03567216718538539,-0.23739547064158664,-0.23228247334531235,-0.12211022171225334,0.326908933321798,0.031489927060095076,-0.1995844585160731,-0.07015529964571468,-0.15185418820731586,0.17671688431660307,-0.004251119053357077,-0.03757777551313064,0.20036898845811904,0.043034764643405304,0.07552964747278883,0.1437615305881299,-0.1336590080711146,0.06303661907734079,0.04763008986604307
dense_09,dense_geometry,outcome-blind deterministic geometry,[0.15],-0.10885191866581613,0.014588874541167283,0.02031121297941211,0.19234259043390609,0.09534836364039768,0.1649471920674375,0.12284090746442577,-0.027178968600699797,-0.3569186372306292,-0.08962735210567946,0.050973361213594554,0.2501713955759697,0.0024388644895587687,-0.1721449944542485,0.015228271853373086,-0.38044710442385693,0.03616030325461772,0.022179272899813893,-0.20293432755880653,0.14172930909665657,-0.013699938978590585,0.24228320142558993,-0.2113762980885056,0.16885742831732847,-0.13270766463503778,-0.1086596306636621,0.19867266226160502,0.1215566933109073,0.07377588701194608,-0.22072571244292435,-0.03724295669423375,0.18677075381391256,-0.22380182165702955,-0.1302047491752155,0.09459876014685159,0.23654614117807876,0.10550426202755246,-0.04972150805497566,-0.09158212557419135
dense_10,dense_geometry,outcome-blind deterministic geometry,[0.15],0.26035584391934286,0.05452179290278144,0.026131345680367436,-0.09697040039933333,-0.2968726828297669,-0.03525501758129062,0.09459862004399577,-0.263735038783771,-0.05846559308061118,0.3932154649630293,-0.15115190501851383,0.3307939658244192,-0.16163207111965514,-0.05877223182700266,0.043595028705290056,-0.02327633514221688,0.10083776405483379,0.08649205254680412,0.04178733734959213,0.04896141539060277,0.002370831369010863,0.08174081631076253,-0.14304932604225057,-0.14109523402466276,-0.01968185838242117,-0.06284687065355142,-0.24809404810366656,0.007727232604924626,-0.07097247472001089,0.1438839997207235,-0.43431470984872905,-0.008745774258000138,0.023479025598334344,0.12820885287819825,0.005033251620227511,0.04563777479330307,0.08871173098572946,0.040873551305064856,0.2259738732481162
dense_11,dense_geometry,outcome-blind deterministic geometry,[0.15],-0.03986880071718162,-0.17315393815151955,0.012082276425796307,0.20218188507986304,0.006123881607572994,0.12369941748564241,0.025290675159104,-0.08015908488066417,0.018229350968089815,-0.12636947209258179,-0.10220690712740998,-0.05739181504562747,0.29750700206110464,0.23577837151217648,0.10970769418830778,-0.16784844708284996,-0.4841012369471034,0.09446185491281657,0.22966726222441702,0.0062244244249238636,-0.17728453068759115,0.04229937117208126,-0.006034477996573247,0.21334529402588998,-0.04202730926009782,-0.2590755402936644,-0.09938083752432036,0.06686199784263495,-0.22112148341425686,-0.011242118350125415,0.15427013679462534,0.1170383961327066,-0.18295671612489722,0.12463314114961759,-0.11928608322685945,-0.05009732904293792,0.256055895528483,-0.04759487214755138,0.11174267141795945
dense_12,dense_geometry,outcome-blind deterministic geometry,[0.15],0.1798260867270996,0.032918334472418265,-0.0025126410039555108,-0.21257998597692473,-0.03187768498787068,-0.3238264583908275,0.052847462733346874,0.07435141114462375,0.017217442016317173,-0.19371171765719816,-0.503886760809545,-0.07565475674504758,0.27650678863371964,0.09004909866799507,-0.05574131955681206,0.11633288800380176,0.13343306185330278,0.1411178129989872,-0.37011439646693073,-0.03603347201740305,-0.0352157155036925,0.1116070986347819,0.13344126634781192,-0.020389743514954997,-0.09040358688634431,0.038085979841636725,0.05573777739881728,0.05545785553700157,-0.16386333136934836,0.07076888706573392,0.20329145971549256,0.22449874253457977,-0.13410548267838868,0.096269191421746,-0.011461389877986361,0.10901505633788335,0.04655195373016834,-0.0984242471389088,0.1004770347648736
dense_13,dense_geometry,outcome-blind deterministic geometry,[0.15],-0.12099981403785771,-0.34017738565848216,-0.15357467083756662,-0.12114272668405399,0.1616270362423181,0.07603409907254775,-0.10053873292961278,-0.09331569410339051,0.01936232223222962,-0.14035429750516715,0.33515904900087684,0.0370692857838837,0.018223412606287306,0.0251891948582092,-0.06293344519766418,-0.0017602687586240114,0.21014571565010348,0.06759475077861059,0.13644991746282403,-0.23178526739054303,0.020061069395188025,0.0771548417603972,-0.021590234975484776,0.15387749879073387,-0.025697207594716106,0.2009385586794421,-0.2936441184357459,0.18327015620471654,0.055665388732628725,-0.2264112310994684,-0.1312931595181344,0.11958617049696205,-0.2519010103649572,-0.07321156420177291,0.07792894687536774,0.038628235943815044,0.39126962758186357,0.07633636439339633,-0.09124081324915999
dense_14,dense_geometry,outcome-blind deterministic geometry,[0.15],0.16428469181455704,-0.028364620708031637,-0.056168358925320294,-0.3325592173894694,-0.13920655305967472,0.14925404142495072,-0.21443609708654598,-0.08960984994702498,-0.18762660582188942,-0.18729949203487284,0.33188980362121007,0.06687233888209408,0.07459277683406863,-0.25395618045248064,0.1542888151393035,0.13491852464275164,-0.27202331689390924,0.06626560118145956,0.007732115592963975,-0.22120673284735717,-0.04574478792964843,0.04756145584258166,-0.09457807375838924,-0.051008208290922286,-0.12509836509337321,0.2707689262006511,0.027881026306373204,0.2325590864400656,0.22020470055971036,0.10637813218142583,0.10421441210794043,-0.07349748580037385,0.19221652780978038,-0.08122166627127847,0.11543943146457818,-0.013371606986962393,-0.08834623233206587,0.17421316297496628,-0.08621211939184212
dense_15,dense_geometry,outcome-blind deterministic geometry,[0.15],0.20606528974328314,0.11624128534486382,-0.0021777653853135583,0.05795144094269709,-0.06625067454978896,0.04886415631615262,-0.041856985667391655,-0.19385454378087275,-0.014769505788162265,-0.21770544628770672,0.0692790559128065,0.11615335389798684,0.42943729283138904,0.0781699470639296,-0.1593577124781612,0.11631684863798611,-0.3226167865754886,-0.05674520977454166,-0.24424065748831483,0.19677091551300532,0.1885820318507453,-0.0825619148304472,0.3301449005378584,0.14682984817485703,-0.16905026924783814,-0.11409262443216538,-0.04556464039803239,-0.15990011770529616,0.004114791866229173,-0.03790740726421366,-0.08640625436550821,-0.04390004786380324,6.877717671805818e-06,-0.23011781784342472,0.17297373065887012,0.1416084249776163,-0.10815484426203631,-0.12434217785219678,0.10206321185275612
