continuation_id,role,selection_tranche,fit_budget,referee_holdout,prefix_repeat_seed,data_seed,direction_id,direction_family,direction_outcome_status,sign,target_hellinger,bucket,phase_1_count,phase_1_weight,phase_1_materialized_epochs,phase_1_support_cap,total_support_cap
historical_frontier_h080_minus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,minus,0.08,dolma3_cc/science_math_and_technology_high,32,0.015625,0.08208723773867573,1.6111670776301927,5.818658743238675
historical_frontier_h080_minus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,minus,0.08,dolma3_cc/science_math_and_technology_low,110,0.0537109375,0.6181462486766747,2.6922171815700033,9.034406875552962
historical_frontier_h080_minus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,minus,0.08,dolma3_finemath_3plus,67,0.03271484375,1.2284878227811051,5.887372922596878,30.268340406672294
historical_frontier_h080_minus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,minus,0.08,dolma3_stack_edu,165,0.08056640625,0.7672688860493677,3.4355042239276807,7.852196443608214
historical_frontier_h080_minus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,minus,0.08,dolma3_wikipedia,13,0.00634765625,2.208909601478052,63.28165425173962,256.82463494607566
historical_frontier_h080_minus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,minus,0.08,dolmino_common_crawl_hq,79,0.03857421875,0.03738063726373629,1.1981875499015515,1.9817956549488722
historical_frontier_h080_minus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,minus,0.08,dolmino_olmocr_pdfs_hq,167,0.08154296875,0.5056543658182817,2.0126821161510144,4.501498534852587
historical_frontier_h080_minus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,minus,0.08,dolmino_stack_edu_fim,160,0.078125,0.7450629999582632,2.4367110001837275,8.07469738628098
historical_frontier_h080_minus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,minus,0.08,dolmino_stem_heavy_crawl,8,0.00390625,0.9566171930731732,38.67050276123716,192.14037250647107
historical_frontier_h080_minus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,minus,0.08,dolmino_synth_code,52,0.025390625,1.718864721721416,11.203114659002141,46.40228037065072
historical_frontier_h080_minus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,minus,0.08,dolmino_synth_instruction,15,0.00732421875,0.5201034031551116,10.207340748685313,52.9511590435811
historical_frontier_h080_minus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,minus,0.08,dolmino_synth_math,43,0.02099609375,1.228554921388775,8.557007785450807,50.372697153797134
