source	total	flagged	rate
safety_pt/moral_education/score_4_morals_10abc5c4	2102141	2	0.000001
cp/public_domain_review_2c224586	1406	0	0.000000
massive_function_calling_74e9d249	859092	0	0.000000
nemotron_specialized_v1_1/economics_23885f88	337627	0	0.000000
nsf_awards_ac372617	381792	0	0.000000
safety_pt/moral_education/score_5_morals_7ee92fe7	703937	0	0.000000
safety_pt/refuseweb/score_5_refusal_13901f38	380018	0	0.000000
safety_pt/refuseweb/score_4_refusal_22785432	1271585	0	0.000000
svg_254c088d	3644694	0	0.000000
GRAND TOTAL	15077568955	5696170	0.000378
