variant,best_pred_observed_run,best_pred_observed_pred_bpb,best_pred_observed_actual_bpb,best_pred_observed_actual_rank,pred_top8_mean_actual_bpb,pred_top8_best_actual_bpb,actual_best_bpb,actual_best_run
dsp_no_phase_penalty_nnls,run_00125,1.0700655309592313,1.0571987628936768,1,1.077554538846016,1.0571987628936768,1.0571987628936768,run_00125
dsp_phase_benefit_penalty_nnls,run_00125,1.0579797221556162,1.0571987628936768,1,1.075712963938713,1.0571987628936768,1.0571987628936768,run_00125
dsp_phase_benefit_exp_retention_penalty_nnls,run_00125,1.0631360069338909,1.0571987628936768,1,1.0775313675403595,1.0571987628936768,1.0571987628936768,run_00125
dsp_phase_benefit_overlap_retention_penalty_nnls,run_00125,1.0571815657218062,1.0571987628936768,1,1.075712963938713,1.0571987628936768,1.0571987628936768,run_00125
dsp_effective_exposure_penalty_nnls,run_00125,1.0571883568358458,1.0571987628936768,1,1.0775764137506485,1.0571987628936768,1.0571987628936768,run_00125
dsp_effective_exposure_exp_retention_penalty_nnls,run_00125,1.0559174732703274,1.0571987628936768,1,1.0775764137506485,1.0571987628936768,1.0571987628936768,run_00125
dsp_phase_benefit_saturation_penalty_nnls,run_00125,1.0568835894198145,1.0571987628936768,1,1.0756234973669052,1.0571987628936768,1.0571987628936768,run_00125
dsp_phase_benefit_saturation_nnls,run_00125,1.0581361196325048,1.0571987628936768,1,1.0763570368289948,1.0571987628936768,1.0571987628936768,run_00125
dsp_phase_benefit_penalty_phase_nnls,run_00125,1.0568243130974735,1.0571987628936768,1,1.0778676569461823,1.0571987628936768,1.0571987628936768,run_00125
dsp_saturation_only_penalty_nnls,run_00125,1.0576519778057027,1.0571987628936768,1,1.0746454894542694,1.0571987628936768,1.0571987628936768,run_00125
dsp_penalty_phase_only_nnls,run_00125,1.0576114551005449,1.0571987628936768,1,1.0746454894542694,1.0571987628936768,1.0571987628936768,run_00125
dsp_saturation_penalty_split_nnls,run_00125,1.0574222124038584,1.0571987628936768,1,1.0746454894542694,1.0571987628936768,1.0571987628936768,run_00125
dsp_benefit_effective_exposure_nnls,run_00125,1.0553294859538074,1.0571987628936768,1,1.0775764137506485,1.0571987628936768,1.0571987628936768,run_00125
dsp_phase_benefit_penalty_signed,run_00125,1.0597085618405033,1.0571987628936768,1,1.0766909718513489,1.0571987628936768,1.0571987628936768,run_00125
dsp_phase_benefit_no_penalty_nnls,run_00125,1.0651482426130825,1.0571987628936768,1,1.0832141637802124,1.0571987628936768,1.0571987628936768,run_00125
dsp_effective_exposure_no_penalty_nnls,run_00125,1.0658222289609414,1.0571987628936768,1,1.0809842348098755,1.0571987628936768,1.0571987628936768,run_00125
