candidate_id,target_family,noise_mode,target_column,display_name,n_fit_rows,n_observed_rows,family_scheme,block_variant,raw_phase_plot,top8_hull_phase_plot,target_rmse,target_mae,target_spearman,target_pearson,target_regret_at_1,target_lower_tail_optimism,target_actual_min,target_actual_max,target_actual_std,target_predicted_std,accuracy_reference_rmse,accuracy_reference_mae,accuracy_reference_spearman,accuracy_reference_pearson,accuracy_reference_regret_at_1,accuracy_reference_lower_tail_optimism,accuracy_reference_actual_min,accuracy_reference_actual_max,accuracy_reference_actual_std,accuracy_reference_predicted_std,raw_predicted_proxy_metric,raw_predicted_proxy_gain_vs_best_observed,raw_nearest_observed_tv,raw_nearest_observed_choice,raw_nearest_observed_accuracy,raw_nearest_observed_primary_regret,raw_best_observed_choice,raw_best_observed_accuracy,raw_raw_phase0_broad_text_share,raw_raw_phase0_tech_code_share,raw_raw_phase0_reasoning_share,raw_raw_phase0_support_gt_1e4,raw_raw_phase0_entropy,raw_raw_phase1_broad_text_share,raw_raw_phase1_tech_code_share,raw_raw_phase1_reasoning_share,raw_raw_phase1_support_gt_1e4,raw_raw_phase1_entropy,raw_anchor_run_name,raw_hull_nonzero_coeff_count,raw_hull_top_coeffs,raw_tv_cap_from_hull,raw_delta_to_raw,raw_raw_hull_tv,top8actual_hull_predicted_proxy_metric,top8actual_hull_predicted_proxy_gain_vs_best_observed,top8actual_hull_nearest_observed_tv,top8actual_hull_nearest_observed_choice,top8actual_hull_nearest_observed_accuracy,top8actual_hull_nearest_observed_primary_regret,top8actual_hull_best_observed_choice,top8actual_hull_best_observed_accuracy,top8actual_hull_raw_phase0_broad_text_share,top8actual_hull_raw_phase0_tech_code_share,top8actual_hull_raw_phase0_reasoning_share,top8actual_hull_raw_phase0_support_gt_1e4,top8actual_hull_raw_phase0_entropy,top8actual_hull_raw_phase1_broad_text_share,top8actual_hull_raw_phase1_tech_code_share,top8actual_hull_raw_phase1_reasoning_share,top8actual_hull_raw_phase1_support_gt_1e4,top8actual_hull_raw_phase1_entropy,top8actual_hull_anchor_run_name,top8actual_hull_hull_nonzero_coeff_count,top8actual_hull_tv_cap_from_hull,top8actual_hull_delta_to_raw,top8actual_hull_raw_hull_tv
eval_bpb_irt_variable_aggregate_mean_theta,eval_bpb_irt,variable,eval_bpb_irt_variable_aggregate_mean_theta,eval_bpb_irt (variable) aggregate mean theta,240,242,default,{},/Users/calvinxu/Projects/Work/Marin/marin/experiments/domain_phase_mix/exploratory/two_phase_many/reference_outputs/grp_300m_irt_targets_20260501/grp_candidates/eval_bpb_irt_variable_aggregate_mean_theta/raw_phase_comparison.png,/Users/calvinxu/Projects/Work/Marin/marin/experiments/domain_phase_mix/exploratory/two_phase_many/reference_outputs/grp_300m_irt_targets_20260501/grp_candidates/eval_bpb_irt_variable_aggregate_mean_theta/top8actual_hull_phase_comparison.png,0.1506942770053846,0.11761798821863803,0.9035321793781141,0.9083587558738736,0.04752704080149639,0.03867090481200887,-0.8898781625957165,0.9083702427960145,0.36045825859321184,0.3364209727379948,0.4844336883774741,0.3935407497141713,0.28037292314102674,0.2773179112540927,0.006240460966682182,0.1439271053546522,0.3351824140636058,0.3568896206339963,0.004327487476966071,0.3364209727379948,3.4895370370735965,2.714638727439523,0.8129809568514959,-0.06852110323383728,0.3456188938181325,0.9768913460298518,0.9083702427960145,0.34718992142718846,0.7139589649688506,0.24940313971909994,0.03663789531204936,10.0,1.3805550298067273,0.9999941732463172,5.8232660881398464e-06,3.4875947098951504e-09,1.0,8.414250953463486e-05,,,,,,,0.9584374332947405,0.18353912366066716,0.20224157489609515,0.8608432019945181,0.35064915966731414,0.04752704080149639,0.9083702427960145,0.34718992142718846,0.7903598435262698,0.1831522173020255,0.02648793917170294,39.0,3.494372069831229,0.7440324413308429,0.21237097368191657,0.04359658498723854,39.0,3.456813091025934,,3.0,,,
eval_bpb_irt_variable_theta_1,eval_bpb_irt,variable,eval_bpb_irt_variable_theta_1,eval_bpb_irt (variable) theta 1,240,242,default,{},/Users/calvinxu/Projects/Work/Marin/marin/experiments/domain_phase_mix/exploratory/two_phase_many/reference_outputs/grp_300m_irt_targets_20260501/grp_candidates/eval_bpb_irt_variable_theta_1/raw_phase_comparison.png,/Users/calvinxu/Projects/Work/Marin/marin/experiments/domain_phase_mix/exploratory/two_phase_many/reference_outputs/grp_300m_irt_targets_20260501/grp_candidates/eval_bpb_irt_variable_theta_1/top8actual_hull_phase_comparison.png,0.36237597943987665,0.2953731605430805,0.9241618778103784,0.9354846455976726,0.0,0.1700674659312365,-2.9094358087955956,3.289517943846036,1.0262751893836524,0.9785987194332555,1.0385997671937757,0.817969824676648,0.33091633535304427,0.34301853023742135,0.002525928161776936,1.0625957056708075,0.3351824140636058,0.3568896206339963,0.004327487476966071,0.9785987194332555,8.157097022185782,5.429179322008448,0.7493002035984545,1.288457139581346,0.3456659497457782,2.0010608042646902,3.289517943846036,0.3543636924722194,0.9602967547475146,0.039703243901485795,1.350999469858447e-09,9.0,1.0161472102413192,0.9999976333179036,2.3610014127965104e-06,5.680683680798986e-09,14.0,1.5159923743714638,,,,,,,3.0193142602646255,0.291396560087291,0.13190556828973812,3.289517943846036,0.3543636924722194,0.0,3.289517943846036,0.3543636924722194,0.8820378349520321,0.10648259611609474,0.01147956893187077,39.0,3.3493805675384385,0.9210784433872574,0.0626331109237724,0.016288445688968013,39.0,3.319451705426895,,3.0,,,
eval_bpb_irt_variable_theta_2,eval_bpb_irt,variable,eval_bpb_irt_variable_theta_2,eval_bpb_irt (variable) theta 2,240,242,default,{},/Users/calvinxu/Projects/Work/Marin/marin/experiments/domain_phase_mix/exploratory/two_phase_many/reference_outputs/grp_300m_irt_targets_20260501/grp_candidates/eval_bpb_irt_variable_theta_2/raw_phase_comparison.png,/Users/calvinxu/Projects/Work/Marin/marin/experiments/domain_phase_mix/exploratory/two_phase_many/reference_outputs/grp_300m_irt_targets_20260501/grp_candidates/eval_bpb_irt_variable_theta_2/top8actual_hull_phase_comparison.png,0.3117968936732617,0.24217166714466531,0.9463922984774039,0.9525998889464016,0.0,0.15317875506014791,-2.6387532349267997,3.96243546472337,1.0265601943527667,0.9867116844863775,1.0441291677181916,0.8346761646592016,0.14803729231410265,0.1576885059086321,0.016428143404064344,1.292413732368845,0.3351824140636058,0.3568896206339963,0.004327487476966071,0.9867116844863775,15.193648097824221,10.797149855257471,0.8260031585261008,1.6215603708758763,0.35083037796045274,2.340875093847494,3.96243546472337,0.340461477229932,0.9164809268296354,0.0627540054890728,0.020765067681291837,11.0,0.5461636755676262,0.9975531427719417,0.00044042860521809464,0.002006428622839831,10.0,0.7184350333455037,,,,,,,4.534904360742155,0.13840611817540527,0.10211513028834976,3.96243546472337,0.340461477229932,0.0,3.96243546472337,0.340461477229932,0.82863795456963,0.15923317385620672,0.012128871574161702,39.0,3.3110616715874506,0.7806474273899411,0.1401870193880742,0.07916555322198307,39.0,3.2843582280429975,,2.0,,,
eval_bpb_irt_variable_theta_3,eval_bpb_irt,variable,eval_bpb_irt_variable_theta_3,eval_bpb_irt (variable) theta 3,240,242,default,{},/Users/calvinxu/Projects/Work/Marin/marin/experiments/domain_phase_mix/exploratory/two_phase_many/reference_outputs/grp_300m_irt_targets_20260501/grp_candidates/eval_bpb_irt_variable_theta_3/raw_phase_comparison.png,/Users/calvinxu/Projects/Work/Marin/marin/experiments/domain_phase_mix/exploratory/two_phase_many/reference_outputs/grp_300m_irt_targets_20260501/grp_candidates/eval_bpb_irt_variable_theta_3/top8actual_hull_phase_comparison.png,0.28686085936463374,0.21388285569388013,0.9627042136148196,0.9598791962685354,0.23688415879847025,0.1562599673497323,-2.846114862438653,2.552172473509256,1.0249621727185283,0.987211294909602,1.0477686050085881,0.8350405624543065,-0.013741558013159948,-0.03979871468905859,0.01068666004117702,1.197817009815086,0.3351824140636058,0.3568896206339963,0.004327487476966071,0.987211294909602,7.094517395110229,3.521828356688941,0.6038256905341456,2.992653742297412,0.3452265855897537,0.0,2.992653742297412,0.3452265855897537,1.3941059010275793e-07,0.9999998491823604,1.1407049459739391e-08,5.0,1.3265761050909026,6.759733229266195e-09,0.9999999927104571,5.298093145122494e-10,2.0,0.6925289990409228,,,,,,,4.8110553809535475,1.2383663425322595,0.3634500014223683,2.992653742297412,0.3452265855897537,0.0,2.992653742297412,0.3452265855897537,0.6816643438068094,0.2864502902618299,0.03188536593135904,39.0,3.3116414386874227,0.31520620193073223,0.6825219926459468,0.002271805423320248,39.0,1.9766408563701783,,2.0,,,
eval_bpb_irt_variable_accuracy_weighted_theta,eval_bpb_irt,variable,eval_bpb_irt_variable_accuracy_weighted_theta,eval_bpb_irt (variable) accuracy-weighted theta,240,242,default,{},/Users/calvinxu/Projects/Work/Marin/marin/experiments/domain_phase_mix/exploratory/two_phase_many/reference_outputs/grp_300m_irt_targets_20260501/grp_candidates/eval_bpb_irt_variable_accuracy_weighted_theta/raw_phase_comparison.png,/Users/calvinxu/Projects/Work/Marin/marin/experiments/domain_phase_mix/exploratory/two_phase_many/reference_outputs/grp_300m_irt_targets_20260501/grp_candidates/eval_bpb_irt_variable_accuracy_weighted_theta/top8actual_hull_phase_comparison.png,0.17311804265627045,0.14260195357000294,0.9420250351568602,0.9482918919445866,0.0,0.08093764194788594,-1.6151077374159264,1.9699563666927027,0.546110553052226,0.5248874901420032,0.6300794117733397,0.49319224620231805,0.3988671678327748,0.4086639565871259,0.002525928161776936,0.42528386447048916,0.3351824140636058,0.3568896206339963,0.004327487476966071,0.5248874901420032,3.805613600826385,1.899093171157371,0.7097097403208457,1.9699563666927027,0.3543636924722194,0.0,1.9699563666927027,0.3543636924722194,0.9999999994089397,5.359184113159876e-10,5.514209482478428e-11,3.0,0.9377722176776021,0.9999999755449254,2.1015599151800076e-08,3.4394756425514537e-09,6.0,1.3712690853405896,,,,,,,2.0372338512216794,0.13071342155266574,0.09261608977681587,1.9699563666927027,0.3543636924722194,0.0,1.9699563666927027,0.3543636924722194,0.9036820951265471,0.08581057076581683,0.010507334107634143,39.0,3.3248438732072185,0.9046297511779996,0.07886757798450404,0.016502670837494293,39.0,3.2656697529817817,,3.0,,,
task_proxy_irt_variable_aggregate_mean_theta,task_proxy_irt,variable,task_proxy_irt_variable_aggregate_mean_theta,task_proxy_irt (variable) aggregate mean theta,240,242,default,{},/Users/calvinxu/Projects/Work/Marin/marin/experiments/domain_phase_mix/exploratory/two_phase_many/reference_outputs/grp_300m_irt_targets_20260501/grp_candidates/task_proxy_irt_variable_aggregate_mean_theta/raw_phase_comparison.png,/Users/calvinxu/Projects/Work/Marin/marin/experiments/domain_phase_mix/exploratory/two_phase_many/reference_outputs/grp_300m_irt_targets_20260501/grp_candidates/task_proxy_irt_variable_aggregate_mean_theta/top8actual_hull_phase_comparison.png,0.22967458114487002,0.1866451159689692,0.8152997447872358,0.8192640994024695,0.3686116889722517,0.05273499137810578,-1.1127857998082331,1.1112618152532734,0.3985022541299466,0.35395159720939195,0.4938137172988845,0.3862079038992333,0.3983558742339276,0.4305349923740788,0.0037109492147039957,0.12969058984746937,0.3352958668970607,0.3573754936199568,0.004758283246615517,0.35395159720939195,2.815353454413903,2.1961184812113155,0.7150913260976461,0.39799917942809343,0.3553460734446175,0.7132626358251799,1.1112618152532734,0.3572241191704489,0.9369214280411189,0.06264602780808604,0.00043254415079486687,20.0,1.3473765390406625,0.8207750288524626,0.11841471834168232,0.060810252805855204,17.0,1.825668827215679,,,,,,,1.0378934356508545,0.418658462448267,0.23860289682676913,0.6977747235756058,0.3528362150144063,0.4134870916776676,1.1112618152532734,0.3572241191704489,0.8750159979875615,0.10342349026603392,0.021560511746402444,39.0,3.4377518658383113,0.8241645849211319,0.1348700506377755,0.04096536444109068,39.0,3.441038124414044,,4.0,,,
task_proxy_irt_variable_theta_1,task_proxy_irt,variable,task_proxy_irt_variable_theta_1,task_proxy_irt (variable) theta 1,240,242,default,{},/Users/calvinxu/Projects/Work/Marin/marin/experiments/domain_phase_mix/exploratory/two_phase_many/reference_outputs/grp_300m_irt_targets_20260501/grp_candidates/task_proxy_irt_variable_theta_1/raw_phase_comparison.png,/Users/calvinxu/Projects/Work/Marin/marin/experiments/domain_phase_mix/exploratory/two_phase_many/reference_outputs/grp_300m_irt_targets_20260501/grp_candidates/task_proxy_irt_variable_theta_1/top8actual_hull_phase_comparison.png,0.6289813368211492,0.4892823330115249,0.7125462247608465,0.7613418422475327,0.2021822425715869,0.15727395979322017,-2.605079593661142,3.088245860698145,0.9693700612310274,0.7856111369052265,0.8541650054587581,0.6885363618190846,0.21163214639143035,0.23334832987030896,0.0031436408212086042,0.9816704450572215,0.3352958668970607,0.3573754936199568,0.004758283246615517,0.7856111369052265,10.260194470664189,7.760644251217577,0.7768400374051273,2.886063618126558,0.3542318527987482,0.2021822425715869,3.088245860698145,0.3518179709438409,0.9999999990486318,9.014887201797256e-10,4.987931626867013e-11,16.0,1.6866370820657446,0.999999999996136,6.194877732571382e-13,3.244813512935683e-12,1.0,7.387039889286135e-08,,,,,,,3.5819120764194023,1.0823618569727902,0.020870129680215448,2.886063618126558,0.3542318527987482,0.2021822425715869,3.088245860698145,0.3518179709438409,0.883855106381958,0.10672536870709592,0.009419524910944027,39.0,3.1588355627937412,0.8591023954905724,0.09577812090613884,0.04511948360328695,39.0,2.8991432904185075,,2.0,,,
task_proxy_irt_variable_theta_2,task_proxy_irt,variable,task_proxy_irt_variable_theta_2,task_proxy_irt (variable) theta 2,240,242,default,{},/Users/calvinxu/Projects/Work/Marin/marin/experiments/domain_phase_mix/exploratory/two_phase_many/reference_outputs/grp_300m_irt_targets_20260501/grp_candidates/task_proxy_irt_variable_theta_2/raw_phase_comparison.png,/Users/calvinxu/Projects/Work/Marin/marin/experiments/domain_phase_mix/exploratory/two_phase_many/reference_outputs/grp_300m_irt_targets_20260501/grp_candidates/task_proxy_irt_variable_theta_2/top8actual_hull_phase_comparison.png,0.38682686519070997,0.30438309892504456,0.913600930571711,0.9219898048790206,0.0,0.15680705518426657,-2.239759444713532,3.5875442705149796,1.0001141958893318,0.9391294961333848,1.0013774657693193,0.8129684789609591,0.2132632510981093,0.21689433754831816,0.017700857319825125,1.175230550174784,0.3352958668970607,0.3573754936199568,0.004758283246615517,0.9391294961333848,14.80227186671201,11.2589045257625,0.8217344191360607,1.0513397055461264,0.34795186919811355,2.536204564968853,3.5875442705149796,0.33967463630013167,0.999526373469181,0.0004657882923651416,7.838238453735512e-06,10.0,1.3378131841723606,0.999999746432027,2.968224791430291e-09,2.505997485618051e-07,1.0,4.140596779759015e-05,,,,,,,3.5704367203328538,0.027069379383343417,0.047130026836516944,3.5875442705149796,0.33967463630013167,0.0,3.5875442705149796,0.33967463630013167,0.8145410612081115,0.17283734961942787,0.012621589172459136,39.0,3.2371613216524655,0.7603999621061834,0.15135019809515624,0.08824983979865872,39.0,3.232188651492959,,2.0,,,
task_proxy_irt_variable_theta_3,task_proxy_irt,variable,task_proxy_irt_variable_theta_3,task_proxy_irt (variable) theta 3,240,242,default,{},/Users/calvinxu/Projects/Work/Marin/marin/experiments/domain_phase_mix/exploratory/two_phase_many/reference_outputs/grp_300m_irt_targets_20260501/grp_candidates/task_proxy_irt_variable_theta_3/raw_phase_comparison.png,/Users/calvinxu/Projects/Work/Marin/marin/experiments/domain_phase_mix/exploratory/two_phase_many/reference_outputs/grp_300m_irt_targets_20260501/grp_candidates/task_proxy_irt_variable_theta_3/top8actual_hull_phase_comparison.png,0.6503676784437765,0.5042030503572513,0.708529661973298,0.7001064702877194,2.295815954750116,0.23847369829990425,-2.414069659940147,2.768629724040227,0.9088028363899524,0.6963780487286231,0.7742112509620587,0.6053331677807794,0.0809788364381326,0.0807192346259524,0.013217098654863202,0.6776336273028112,0.3352958668970607,0.3573754936199568,0.004758283246615517,0.6963780487286231,3.470402023928735,2.0013681011968036,0.6518110695997841,0.9378827797146557,0.3532864748462622,1.8307469443255715,2.768629724040227,0.34913576460116713,0.9326231319087634,0.04874314233475231,0.018633725756484133,11.0,1.8475009051031075,0.5302979457923771,0.17031471960779193,0.29938733459983097,11.0,2.005717228735029,,,,,,,1.5929429658082448,0.12390904307631345,0.22534956923679184,0.11248680194087976,0.3465511486441589,2.6561429220993475,2.768629724040227,0.34913576460116713,0.7827025162922683,0.1676684593589078,0.04962902434882206,39.0,3.5409284236317577,0.7728364021960956,0.127279400527734,0.09988419727616855,39.0,3.473938899607975,,6.0,,,
task_proxy_irt_variable_accuracy_weighted_theta,task_proxy_irt,variable,task_proxy_irt_variable_accuracy_weighted_theta,task_proxy_irt (variable) accuracy-weighted theta,240,242,default,{},/Users/calvinxu/Projects/Work/Marin/marin/experiments/domain_phase_mix/exploratory/two_phase_many/reference_outputs/grp_300m_irt_targets_20260501/grp_candidates/task_proxy_irt_variable_accuracy_weighted_theta/raw_phase_comparison.png,/Users/calvinxu/Projects/Work/Marin/marin/experiments/domain_phase_mix/exploratory/two_phase_many/reference_outputs/grp_300m_irt_targets_20260501/grp_candidates/task_proxy_irt_variable_accuracy_weighted_theta/top8actual_hull_phase_comparison.png,0.27144089798142124,0.212383659367892,0.8204239656938487,0.8371749646222009,0.0,0.09766587072664384,-1.3770866143803944,1.9294972818432417,0.4958404111017853,0.436146840824319,0.5539267027837231,0.4311861847278625,0.4560782305248354,0.47857437138520087,0.0001513744495079128,0.27252709474275805,0.3352958668970607,0.3573754936199568,0.004758283246615517,0.436146840824319,8.233100356756763,6.655357196759484,0.8513984241725712,0.5861592982221571,0.3553460734446175,1.3433379836210846,1.9294972818432417,0.3572241191704489,0.9413423125144149,0.046279709518795245,0.01237797796678973,7.0,0.31054904303335873,0.9999999999926094,1.0477400871376611e-15,7.389635488743506e-12,1.0,2.0532628383338249e-10,,,,,,,1.6937321519030313,0.11598899190575196,0.08150854432835322,1.9294972818432417,0.3572241191704489,0.0,1.9294972818432417,0.3572241191704489,0.9052333529739433,0.08015461795945733,0.014612029066597119,39.0,3.3165889212759474,0.9198040485076905,0.06611674813614365,0.014079203356163646,39.0,3.262615056101014,,3.0,,,
