candidate_id,candidate_kind,target,opt_kind,predicted_proxy_metric,predicted_proxy_gain_vs_best_observed,nearest_observed_run_name,nearest_observed_tv,nearest_observed_choice,nearest_observed_accuracy,nearest_observed_primary_regret,best_observed_choice,best_observed_accuracy,raw_phase0_broad_text_share,raw_phase0_tech_code_share,raw_phase0_reasoning_share,raw_phase0_support_gt_1e4,raw_phase0_entropy,raw_phase1_broad_text_share,raw_phase1_tech_code_share,raw_phase1_reasoning_share,raw_phase1_support_gt_1e4,raw_phase1_entropy,anchor_run_name,hull_nonzero_coeff_count,hull_top_coeffs,tv_cap_from_hull,delta_to_raw,raw_hull_tv
eval_bpb_irt_variable_aggregate_mean_theta,direct_grp_irt_target,eval_bpb_irt_variable_aggregate_mean_theta,best_observed,0.7748983096340734,0.0,run_00207,0.0,0.9083702427960145,0.34718992142718846,0.0,0.9083702427960145,0.34718992142718846,0.7641198753953813,0.2087542888224176,0.027125835782199202,39,3.2227036859646203,0.73345131649798,0.2019481046855255,0.06460057881649231,39,3.2111688435026498,run_00207,,,,,
eval_bpb_irt_variable_aggregate_mean_theta,direct_grp_irt_target,eval_bpb_irt_variable_aggregate_mean_theta,predicted_best_observed,0.8013483961802592,0.026450086546185858,run_00125,0.0,0.8608432019945181,0.35064915966731414,0.04752704080149639,0.9083702427960145,0.34718992142718846,0.797321353411286,0.1877673727483454,0.0149112738403668,39,3.328548071288365,0.7955869686802031,0.18847092397574808,0.0159421073440466,39,3.242162839241441,run_00125,,,,,
eval_bpb_irt_variable_aggregate_mean_theta,direct_grp_irt_target,eval_bpb_irt_variable_aggregate_mean_theta,raw,3.4895370370735965,2.714638727439523,run_00097,0.8129809568514959,-0.06852110323383728,0.3456188938181325,0.9768913460298518,0.9083702427960145,0.34718992142718846,0.7139589649688506,0.24940313971909994,0.03663789531204936,10,1.3805550298067273,0.9999941732463172,5.8232660881398464e-06,3.4875947098951504e-09,1,8.414250953463486e-05,,,,,,
eval_bpb_irt_variable_aggregate_mean_theta,direct_grp_irt_target,eval_bpb_irt_variable_aggregate_mean_theta,top8actual_hull,0.9584374332947405,0.18353912366066716,run_00125,0.20224157489609515,0.8608432019945181,0.35064915966731414,0.04752704080149639,0.9083702427960145,0.34718992142718846,0.7903598435262698,0.1831522173020255,0.02648793917170294,39,3.494372069831229,0.7440324413308429,0.21237097368191657,0.04359658498723854,39,3.456813091025934,,3.0,"[0.5181012555689817, 0.30824773989919185, 0.17365094621373006, 5.8209965823017156e-08]",,,
eval_bpb_irt_variable_aggregate_mean_theta,direct_grp_irt_target,eval_bpb_irt_variable_aggregate_mean_theta,trustblend_top8actual_to_raw_cap0.05,1.0857300366317482,0.3108317269976748,run_00125,0.2291445541020307,0.8608432019945181,0.35064915966731414,0.04752704080149639,0.9083702427960145,0.34718992142718846,0.7859667930092182,0.18696164534100726,0.027071561649772858,39,3.489093653998779,0.7587502409159828,0.20015997753300643,0.04108978155100902,39,3.4124614591139175,,,,0.05,0.0575,0.8601342841417517
eval_bpb_irt_variable_aggregate_mean_theta,direct_grp_irt_target,eval_bpb_irt_variable_aggregate_mean_theta,trustblend_top8actual_to_raw_cap0.10,1.2173546753778863,0.442456365743813,run_00125,0.2606064813493143,0.8608432019945181,0.35064915966731414,0.04752704080149639,0.9083702427960145,0.34718992142718846,0.7815737424921666,0.19077107337998905,0.02765518412784278,39,3.4557656992974968,0.7734680405011225,0.18794898138409627,0.038582978114779495,39,3.3315458472551778,,,,0.1,0.115,0.8601342841417517
eval_bpb_irt_variable_aggregate_mean_theta,direct_grp_irt_target,eval_bpb_irt_variable_aggregate_mean_theta,trustblend_top8actual_to_raw_cap0.15,1.352060324396323,0.5771620147622496,run_00125,0.2930952476909194,0.8608432019945181,0.35064915966731414,0.04752704080149639,0.9083702427960145,0.34718992142718846,0.7771806919751149,0.19458050141897082,0.0282388066059127,39,3.40460765355499,0.7881858400862621,0.1757379852351862,0.03607617467854998,39,3.226645513390822,,,,0.15,0.17250000000000001,0.8601342841417517
eval_bpb_irt_variable_aggregate_mean_theta,direct_grp_irt_target,eval_bpb_irt_variable_aggregate_mean_theta,trustblend_top8actual_to_raw_cap0.20,1.49527538690284,0.7203770772687665,baseline_stratified,0.3254030340352759,0.732605816219678,0.3447386640303553,0.1757644265763365,0.9083702427960145,0.34718992142718846,0.7725966392616698,0.19855555676399528,0.02884780397433348,39,3.33653754270237,0.8035435440011905,0.16299607621023646,0.033460379788571346,39,3.097349891042266,,,,0.2,0.2325,0.8601342841417517
eval_bpb_irt_variable_theta_1,direct_grp_irt_target,eval_bpb_irt_variable_theta_1,best_observed,2.7279177001773345,0.0,baseline_proportional,0.0,3.289517943846036,0.3543636924722194,0.0,3.289517943846036,0.3543636924722194,0.938630531233444,0.0530850753154737,0.0082843934510801,39,3.1301477192858704,0.938630531233444,0.0530850753154737,0.0082843934510801,39,3.1301477192858704,baseline_proportional,,,,,
eval_bpb_irt_variable_theta_1,direct_grp_irt_target,eval_bpb_irt_variable_theta_1,predicted_best_observed,2.7279177001773345,0.0,baseline_proportional,0.0,3.289517943846036,0.3543636924722194,0.0,3.289517943846036,0.3543636924722194,0.938630531233444,0.0530850753154737,0.0082843934510801,39,3.1301477192858704,0.938630531233444,0.0530850753154737,0.0082843934510801,39,3.1301477192858704,baseline_proportional,,,,,
eval_bpb_irt_variable_theta_1,direct_grp_irt_target,eval_bpb_irt_variable_theta_1,raw,8.157097022185782,5.429179322008448,run_00146,0.7493002035984545,1.288457139581346,0.3456659497457782,2.0010608042646902,3.289517943846036,0.3543636924722194,0.9602967547475146,0.039703243901485795,1.350999469858447e-09,9,1.0161472102413192,0.9999976333179036,2.3610014127965104e-06,5.680683680798986e-09,14,1.5159923743714638,,,,,,
eval_bpb_irt_variable_theta_1,direct_grp_irt_target,eval_bpb_irt_variable_theta_1,top8actual_hull,3.0193142602646255,0.291396560087291,baseline_proportional,0.13190556828973812,3.289517943846036,0.3543636924722194,0.0,3.289517943846036,0.3543636924722194,0.8820378349520321,0.10648259611609474,0.01147956893187077,39,3.3493805675384385,0.9210784433872574,0.0626331109237724,0.016288445688968013,39,3.319451705426895,,3.0,"[0.73803651919493, 0.162488201403206, 0.09947527086197348, 8.339801195401639e-09]",,,
eval_bpb_irt_variable_theta_1,direct_grp_irt_target,eval_bpb_irt_variable_theta_1,trustblend_top8actual_to_raw_cap0.05,3.4243093914422715,0.696391691264937,baseline_proportional,0.14640706411235943,3.289517943846036,0.3543636924722194,0.0,3.289517943846036,0.3543636924722194,0.8867333701397612,0.10247583498321822,0.010790794877018492,39,3.327103181274346,0.9258135947830963,0.058875265928430814,0.015311139288470953,39,3.296333556063367,,,,0.05,0.06,0.8066927736901375
