run,step,eval_dump_written_utc,dataset,questions,completed_correct,completed_correct_rate,correct_any_stop,raw_reward_mean,completed_fraction,length_stop_fraction,response_tokens_mean,membership_sha256
r20,30,2026-09-20T00:49:17+00:00,val-gsm8k,256,134,0.5234375,134,0.5234375,0.921875,0.078125,1284.796875,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
r20,30,2026-09-20T00:49:17+00:00,val-math500,500,26,0.052,29,-0.884,0.59,0.41,2766.922,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
r20,40,2026-09-20T01:09:24+00:00,all,756,267,0.3531746031746032,268,-0.164021164021164,0.7142857142857143,0.2857142857142857,2197.73544973545,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
r20,40,2026-09-20T01:09:24+00:00,val-gsm8k,256,160,0.625,160,0.625,0.91796875,0.08203125,1241.57421875,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
r20,40,2026-09-20T01:09:24+00:00,val-math500,500,107,0.214,108,-0.568,0.61,0.39,2687.29,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
r21,0,2026-09-19T23:44:31+00:00,all,756,71,0.09391534391534391,72,-0.5529100529100529,0.6785714285714286,0.32142857142857145,2320.339947089947,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
r21,0,2026-09-19T23:44:31+00:00,val-gsm8k,256,62,0.2421875,62,0.2421875,0.8828125,0.1171875,1399.1875,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
r21,0,2026-09-19T23:44:31+00:00,val-math500,500,9,0.018,10,-0.96,0.574,0.426,2791.97,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
r21,10,2026-09-20T00:03:34+00:00,all,756,99,0.13095238095238096,100,-0.5132275132275133,0.708994708994709,0.291005291005291,2299.542328042328,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
r21,10,2026-09-20T00:03:34+00:00,val-gsm8k,256,88,0.34375,88,0.34375,0.91015625,0.08984375,1375.08203125,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
r21,10,2026-09-20T00:03:34+00:00,val-math500,500,11,0.022,12,-0.952,0.606,0.394,2772.866,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
r21,20,2026-09-20T00:23:52+00:00,all,756,120,0.15873015873015872,120,-0.48544973544973546,0.6891534391534392,0.31084656084656087,2287.910052910053,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
r21,20,2026-09-20T00:23:52+00:00,val-gsm8k,256,107,0.41796875,107,0.41796875,0.91796875,0.08203125,1268.2109375,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
r21,20,2026-09-20T00:23:52+00:00,val-math500,500,13,0.026,13,-0.948,0.572,0.428,2809.996,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
r21,30,2026-09-20T00:43:53+00:00,all,756,184,0.24338624338624337,185,-0.3544973544973545,0.6904761904761905,0.30952380952380953,2332.3531746031745,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
r21,30,2026-09-20T00:43:53+00:00,val-gsm8k,256,137,0.53515625,138,0.5390625,0.91015625,0.08984375,1328.1015625,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
r21,30,2026-09-20T00:43:53+00:00,val-math500,500,47,0.094,47,-0.812,0.578,0.422,2846.53,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
r21,40,2026-09-20T01:05:34+00:00,all,756,262,0.34656084656084657,262,-0.17328042328042328,0.708994708994709,0.291005291005291,2246.009259259259,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
r21,40,2026-09-20T01:05:34+00:00,val-gsm8k,256,155,0.60546875,155,0.60546875,0.92578125,0.07421875,1225.41796875,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
r21,40,2026-09-20T01:05:34+00:00,val-math500,500,107,0.214,107,-0.572,0.598,0.402,2768.552,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
r22,0,2026-09-20T00:10:23+00:00,all,756,73,0.09656084656084656,73,-0.5502645502645502,0.6997354497354498,0.3002645502645503,2307.3174603174602,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
r22,0,2026-09-20T00:10:23+00:00,val-gsm8k,256,62,0.2421875,62,0.2421875,0.91015625,0.08984375,1424.41015625,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
r22,0,2026-09-20T00:10:23+00:00,val-math500,500,11,0.022,11,-0.956,0.592,0.408,2759.366,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
r22,10,2026-09-20T00:29:54+00:00,all,756,102,0.1349206349206349,102,-0.503968253968254,0.7103174603174603,0.2896825396825397,2261.395502645503,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
r22,10,2026-09-20T00:29:54+00:00,val-gsm8k,256,85,0.33203125,85,0.33203125,0.921875,0.078125,1315.21484375,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
