run,step,eval_dump_written_utc,elapsed_from_first_gpu_task_hours,reserved_gpu_hours_to_eval,full_run_reserved_gpu_hours,task_attempts
s20_sc,0,2026-09-20T20:57:58+00:00,0.10169388888888889,1.6271022222222222,25.348653333333335,3
s20_sc,10,2026-09-20T21:26:39+00:00,0.5797494444444444,9.27599111111111,25.348653333333335,3
s20_sc,20,2026-09-20T21:44:45+00:00,0.8814161111111111,14.102657777777777,25.348653333333335,3
s20_sc,30,2026-09-20T22:03:30+00:00,1.1939161111111112,19.10265777777778,25.348653333333335,3
s20_sc,40,2026-09-20T22:23:54+00:00,1.533916111111111,24.542657777777777,25.348653333333335,3
s20_tis,0,2026-09-20T20:57:41+00:00,0.10007416666666667,1.6011866666666668,25.085717777777777,3
s20_tis,10,2026-09-20T21:25:40+00:00,0.5664630555555555,9.063408888888889,25.085717777777777,3
s20_tis,20,2026-09-20T21:43:59+00:00,0.8717408333333333,13.947853333333333,25.085717777777777,3
s20_tis,30,2026-09-20T22:03:13+00:00,1.192296388888889,19.076742222222222,25.085717777777777,3
s20_tis,40,2026-09-20T22:22:50+00:00,1.5192408333333334,24.307853333333334,25.085717777777777,3
s21_sc,0,2026-09-20T21:05:04+00:00,0.10086916666666666,1.6139066666666666,24.52138888888889,3
s21_sc,10,2026-09-20T21:31:05+00:00,0.5344802777777777,8.551684444444444,24.52138888888889,3
s21_sc,20,2026-09-20T21:49:54+00:00,0.8480913888888889,13.569462222222223,24.52138888888889,3
s21_sc,30,2026-09-20T22:09:23+00:00,1.1728136111111112,18.76501777777778,24.52138888888889,3
s21_sc,40,2026-09-20T22:28:10+00:00,1.4858691666666666,23.773906666666665,24.52138888888889,3
s21_tis,0,2026-09-20T21:04:59+00:00,0.09948027777777778,1.5916844444444445,24.600686666666668,3
s21_tis,10,2026-09-20T21:31:41+00:00,0.5444802777777777,8.711684444444444,24.600686666666668,3
s21_tis,20,2026-09-20T21:49:38+00:00,0.8436469444444444,13.498351111111111,24.600686666666668,3
s21_tis,30,2026-09-20T22:09:23+00:00,1.1728136111111112,18.76501777777778,24.600686666666668,3
s21_tis,40,2026-09-20T22:28:28+00:00,1.4908691666666667,23.853906666666667,24.600686666666668,3
s22_sc,0,2026-09-20T21:05:09+00:00,0.0992125,1.5874,24.719068888888888,3
s22_sc,10,2026-09-20T21:31:27+00:00,0.5375458333333333,8.600733333333332,24.719068888888888,3
s22_sc,20,2026-09-20T21:51:04+00:00,0.8644902777777778,13.831844444444444,24.719068888888888,3
s22_sc,30,2026-09-20T22:09:52+00:00,1.1778236111111111,18.845177777777778,24.719068888888888,3
s22_sc,40,2026-09-20T22:29:07+00:00,1.4986569444444444,23.97851111111111,24.719068888888888,3
s22_tis,0,2026-09-20T21:05:05+00:00,0.09965138888888889,1.5944222222222222,24.549233333333333,3
s22_tis,10,2026-09-20T21:30:41+00:00,0.5263180555555556,8.421088888888889,24.549233333333333,3
s22_tis,20,2026-09-20T21:50:12+00:00,0.8515958333333333,13.625533333333333,24.549233333333333,3
s22_tis,30,2026-09-20T22:09:02+00:00,1.1654847222222222,18.647755555555555,24.549233333333333,3
s22_tis,40,2026-09-20T22:28:18+00:00,1.4865958333333333,23.785533333333333,24.549233333333333,3
