run,step,iris_job_index,iris_attempt,consumed_tokens,cumulative_consumed_tokens,step_seconds,cumulative_cycle_seconds,nominal_cycle_gpu_hours,age_mean,age_p90,age_at_least_four_fraction,stale_rejected,rejected_rate,mismatch_log_ratio_abs_mean,tis_capped_fraction,correction_abs_mean,policy_entropy,response_bytes_mean,length_stop_fraction
r24,1,0,0,113515.0,113515.0,434.76044082362205,434.76044082362205,1.9322686258827646,0.0,0.0,0.0,0,0.0,0.013152497804246936,0.04570028278976679,,0.3788971081376076,4588092.806430446,0.0
r24,2,0,0,159327.0,272842.0,93.78039670642465,528.5408375300467,2.3490703890224296,1.0,1.0,0.0,0,0.0,0.01408389525010129,0.04966244660317898,,0.4258630722761154,8855041.3671875,0.0
r24,3,0,0,377120.0,649962.0,65.22601734194905,593.7668548719957,2.6389637994310924,1.9683363385659738,2.0,0.0,0,0.0,0.014920091811962395,0.051406157203018665,,0.4686363823711872,9483783.8203125,0.3984375
r24,4,0,0,425322.0,1075284.0,80.53770793322474,674.3045628052205,2.996909168023202,2.952741687474431,3.0,0.0,0,0.0,0.015755202543266605,0.05621465016156435,,0.5162059664726257,11080362.8984375,0.6015625
r24,5,0,0,415350.0,1490634.0,136.93794470001012,811.2425075052306,3.6055222555788027,3.8206548693872637,4.0,0.8827205970867943,0,0.0,0.015318116956974716,0.05448949942365289,,0.49883846938610077,10028541.8828125,0.5703125
r24,6,0,0,372197.0,1862831.0,66.1042813193053,877.3467888245359,3.8993190614423816,4.600802800667388,5.0,1.0,0,0.0,0.015380630215914154,0.053773182444274426,,0.4836822748184204,10535520.46875,0.4609375
r24,7,0,0,305383.0,2168214.0,78.75868004001677,956.1054688645527,4.249357639398012,5.0,5.0,1.0,0,0.0,0.016027198321738437,0.05695435265079141,,0.4988820105791092,9770225.5234375,0.265625
r24,8,0,0,332654.0,2500868.0,86.62451402191073,1042.7299828864634,4.634355479495393,5.098504752685974,5.0,1.0,0,0.0,0.015721024478503542,0.0566220972687006,,0.4793100990355015,10620496.2421875,0.4140625
r24,9,0,0,373195.0,2874063.0,89.18991496786475,1131.9198978543282,5.030755101574792,4.928351130106245,5.0,0.9761170433687483,0,0.0,0.015969013683027573,0.05592598579823971,,0.494612954556942,10611855.125,0.4921875
r24,10,0,0,352005.0,3226068.0,231.8254803828895,1363.7453782372177,6.06109056994319,5.045317538103152,5.0,1.0,0,0.0,0.015197951405684446,0.05278784781694412,,0.45993441343307495,10156062.4921875,0.4375
