suite,prompt_sha16,position,scenario,topk,tis_cap,behavior_tail_mass,current_tail_mass,behavior_cap_mass,behavior_log_ratio_abs_mean,exact_gradient_l1,exact_gradient_l2,error_l1,error_l2,relative_error_l1
val-math500,2e483202419b799c,answer64,real_base_to_step8,8,1.001,3.6012745432921316e-05,3.5929920444251404e-05,0.00020493955548792745,6.426088987792542e-06,2.2742494940549127e-06,1.553491455937189e-06,9.841497429229499e-08,5.604892649839097e-08,0.043273605006645205
val-math500,2e483202419b799c,answer64,real_base_to_step8,8,1.05,3.6012745432921316e-05,3.5929920444251404e-05,0.0,6.426088987792542e-06,1.440821433986742e-13,1.4399593422716372e-13,0.0,0.0,
val-math500,2e483202419b799c,answer64,real_base_to_step8,8,2.0,3.6012745432921316e-05,3.5929920444251404e-05,0.0,6.426088987792542e-06,1.440821433986742e-13,1.4399593422716372e-13,0.0,0.0,
val-math500,2e483202419b799c,answer64,real_base_to_step8,32,1.001,6.83932536654114e-06,6.8022158783970036e-06,0.00020493955548792745,6.426088987792542e-06,2.2742494940549127e-06,1.553491455937189e-06,7.313467122921157e-09,3.7773777717933745e-09,0.003215771682939449
val-math500,2e483202419b799c,answer64,real_base_to_step8,32,1.05,6.83932536654114e-06,6.8022158783970036e-06,0.0,6.426088987792542e-06,1.440821433986742e-13,1.4399593422716372e-13,0.0,0.0,
val-math500,2e483202419b799c,answer64,real_base_to_step8,32,2.0,6.83932536654114e-06,6.8022158783970036e-06,0.0,6.426088987792542e-06,1.440821433986742e-13,1.4399593422716372e-13,0.0,0.0,
val-math500,2e483202419b799c,answer64,real_base_to_step8,128,1.001,1.99205923975849e-06,1.9785576911758325e-06,0.00020493955548792745,6.426088987792542e-06,2.2742494940549127e-06,1.553491455937189e-06,2.0071100822875875e-09,1.0158886644474992e-09,0.0008825373326604443
val-math500,2e483202419b799c,answer64,real_base_to_step8,128,1.05,1.99205923975849e-06,1.9785576911758325e-06,0.0,6.426088987792542e-06,1.440821433986742e-13,1.4399593422716372e-13,0.0,0.0,
val-math500,2e483202419b799c,answer64,real_base_to_step8,128,2.0,1.99205923975849e-06,1.9785576911758325e-06,0.0,6.426088987792542e-06,1.440821433986742e-13,1.4399593422716372e-13,0.0,0.0,
val-math500,2e483202419b799c,answer64,calibrated_0.016,8,1.001,3.6012745432921316e-05,0.0024024670432337657,0.00035079278935857405,0.01599977570733936,0.027995445026294266,0.017407701533797365,6.414031637148968e-05,2.8017725948876194e-05,0.0022910982951421894
val-math500,2e483202419b799c,answer64,calibrated_0.016,8,1.05,3.6012745432921316e-05,0.0024024670432337657,0.00035066713102082395,0.01599977570733936,0.027961576521559246,0.017392699276935035,6.72790110068927e-05,2.9529362727184716e-05,0.0024061236659892364
val-math500,2e483202419b799c,answer64,calibrated_0.016,8,2.0,3.6012745432921316e-05,0.0024024670432337657,0.00029989409225916487,0.01599977570733936,0.02735347802589118,0.017122972719751633,0.0001281277114753825,5.949193500723937e-05,0.004684146979557935
val-math500,2e483202419b799c,answer64,calibrated_0.016,32,1.001,6.83932536654114e-06,0.002078758656063499,0.00035079278935857405,0.01599977570733936,0.027995445026294266,0.017407701533797365,1.2669622171430517e-05,6.114927129319295e-06,0.00045256012753256043
val-math500,2e483202419b799c,answer64,calibrated_0.016,32,1.05,6.83932536654114e-06,0.002078758656063499,0.00035066713102082395,0.01599977570733936,0.027961576521559246,0.017392699276935035,1.3289701755530308e-05,6.432696388309751e-06,0.00047528442272500384
val-math500,2e483202419b799c,answer64,calibrated_0.016,32,2.0,6.83932536654114e-06,0.002078758656063499,0.00029989409225916487,0.01599977570733936,0.02735347802589118,0.017122972719751633,2.5310501005633152e-05,1.2797064982126987e-05,0.0009253119834222081
val-math500,2e483202419b799c,answer64,calibrated_0.016,128,1.001,1.99205923975849e-06,0.00036499193680939525,0.00035079278935857405,0.01599977570733936,0.027995445026294266,0.017407701533797365,3.741378174007014e-06,1.6208869386956064e-06,0.00013364238969921661
val-math500,2e483202419b799c,answer64,calibrated_0.016,128,1.05,1.99205923975849e-06,0.00036499193680939525,0.00035066713102082395,0.01599977570733936,0.027961576521559246,0.017392699276935035,3.924515554382814e-06,1.7077285931585828e-06,0.0001403538727995859
val-math500,2e483202419b799c,answer64,calibrated_0.016,128,2.0,1.99205923975849e-06,0.00036499193680939525,0.00029989409225916487,0.01599977570733936,0.02735347802589118,0.017122972719751633,7.4750897131568045e-06,3.447088383559012e-06,0.00027327748617858865
val-math500,2e483202419b799c,answer64,calibrated_0.05,8,1.001,3.6012745432921316e-05,0.013426516876681808,0.00035078131409129864,0.04999963000174046,0.08927687342257445,0.054307786245643655,6.721584683888068e-05,2.908878220845565e-05,0.0007528920342083188
val-math500,2e483202419b799c,answer64,calibrated_0.05,8,1.05,3.6012745432921316e-05,0.013426516876681808,0.00035064741761597597,0.04999963000174046,0.08924413643109505,0.05429379556423044,7.050094804469125e-05,3.0624527899777376e-05,0.0007899784889411158
val-math500,2e483202419b799c,answer64,calibrated_0.05,8,2.0,3.6012745432921316e-05,0.013426516876681808,0.0002999049569163996,0.04999963000174046,0.08865507912629847,0.0540387441152268,0.00013417330658664376,6.092052642178334e-05,0.0015134305660649155
val-math500,2e483202419b799c,answer64,calibrated_0.05,32,1.001,6.83932536654114e-06,0.012762916708976406,0.00035078131409129864,0.04999963000174046,0.08927687342257445,0.054307786245643655,1.291444697072653e-05,5.968023648949821e-06,0.00014465612958462987
val-math500,2e483202419b799c,answer64,calibrated_0.05,32,1.05,6.83932536654114e-06,0.012762916708976406,0.00035064741761597597,0.04999963000174046,0.08924413643109505,0.05429379556423044,1.3545961308544182e-05,6.277097582699783e-06,0.00015178544888495786
val-math500,2e483202419b799c,answer64,calibrated_0.05,32,2.0,6.83932536654114e-06,0.012762916708976406,0.0002999049569163996,0.04999963000174046,0.08865507912629847,0.0540387441152268,2.578465747032401e-05,1.2406497447187555e-05,0.000290842416750777
val-math500,2e483202419b799c,answer64,calibrated_0.05,128,1.001,1.99205923975849e-06,0.003667200585205592,0.00035078131409129864,0.04999963000174046,0.08927687342257445,0.054307786245643655,3.862859524752711e-06,1.773783048608143e-06,4.326831100444824e-05
val-math500,2e483202419b799c,answer64,calibrated_0.05,128,1.05,1.99205923975849e-06,0.003667200585205592,0.00035064741761597597,0.04999963000174046,0.08924413643109505,0.05429379556423044,4.051888961614454e-06,1.866304625403052e-06,4.5402298948154395e-05
val-math500,2e483202419b799c,answer64,calibrated_0.05,128,2.0,1.99205923975849e-06,0.003667200585205592,0.0002999049569163996,0.04999963000174046,0.08865507912629847,0.0540387441152268,7.716324937230814e-06,3.7020850630538673e-06,8.703759573930445e-05
val-math500,2e483202419b799c,answer128,real_base_to_step8,8,1.001,6.325777907441541e-05,6.382856104682837e-05,0.00011087898585906827,0.0005025834800672238,2.3512505438489202e-06,1.1984965596218418e-06,3.483689519481389e-07,8.321452085160469e-08,0.14816326267717533
val-math500,2e483202419b799c,answer128,real_base_to_step8,8,1.05,6.325777907441541e-05,6.382856104682837e-05,0.0,0.0005025834800672238,3.197595377531895e-14,3.077036593324329e-14,0.0,0.0,
val-math500,2e483202419b799c,answer128,real_base_to_step8,8,2.0,6.325777907441541e-05,6.382856104682837e-05,0.0,0.0005025834800672238,3.197595377531895e-14,3.077036593324329e-14,0.0,0.0,
val-math500,2e483202419b799c,answer128,real_base_to_step8,32,1.001,1.3702350295284831e-05,1.381442647498776e-05,0.00011087898585906827,0.0005025834800672238,2.3512505438489202e-06,1.1984965596218418e-06,7.799135506726052e-08,1.0818346194041855e-08,0.03317015928876351
val-math500,2e483202419b799c,answer128,real_base_to_step8,32,1.05,1.3702350295284831e-05,1.381442647498776e-05,0.0,0.0005025834800672238,3.197595377531895e-14,3.077036593324329e-14,0.0,0.0,
val-math500,2e483202419b799c,answer128,real_base_to_step8,32,2.0,1.3702350295284831e-05,1.381442647498776e-05,0.0,0.0005025834800672238,3.197595377531895e-14,3.077036593324329e-14,0.0,0.0,
val-math500,2e483202419b799c,answer128,real_base_to_step8,128,1.001,2.9138112849090186e-06,2.945991097564131e-06,0.00011087898585906827,0.0005025834800672238,2.3512505438489202e-06,1.1984965596218418e-06,1.5740127800460397e-08,1.0878682834446883e-09,0.006694364342259469
val-math500,2e483202419b799c,answer128,real_base_to_step8,128,1.05,2.9138112849090186e-06,2.945991097564131e-06,0.0,0.0005025834800672238,3.197595377531895e-14,3.077036593324329e-14,0.0,0.0,
val-math500,2e483202419b799c,answer128,real_base_to_step8,128,2.0,2.9138112849090186e-06,2.945991097564131e-06,0.0,0.0005025834800672238,3.197595377531895e-14,3.077036593324329e-14,0.0,0.0,
val-math500,2e483202419b799c,answer128,calibrated_0.016,8,1.001,6.325777907441541e-05,6.780386936602172e-05,0.9615691810860578,0.01599985639166831,0.0004084054424389198,0.0002555425877615716,8.683269791273096e-06,2.9661066593228364e-06,0.021261395880079994
val-math500,2e483202419b799c,answer128,calibrated_0.016,8,1.05,6.325777907441541e-05,6.780386936602172e-05,7.604108669130715e-05,0.01599985639166831,2.2533494824556478e-05,1.205646270217013e-05,9.108227199166713e-06,4.138085128661127e-06,0.4042083693666896
val-math500,2e483202419b799c,answer128,calibrated_0.016,8,2.0,6.325777907441541e-05,6.780386936602172e-05,0.0,0.01599985639166831,2.3717021663124727e-14,2.2989831266124824e-14,0.0,0.0,
val-math500,2e483202419b799c,answer128,calibrated_0.016,32,1.001,1.3702350295284831e-05,1.5146513358038815e-05,0.9615691810860578,0.01599985639166831,0.0004084054424389198,0.0002555425877615716,1.3254008160718718e-06,2.363862966754808e-07,0.0032453064487995794
val-math500,2e483202419b799c,answer128,calibrated_0.016,32,1.05,1.3702350295284831e-05,1.5146513358038815e-05,7.604108669130715e-05,0.01599985639166831,2.2533494824556478e-05,1.205646270217013e-05,1.390277363634775e-06,4.04647541749002e-07,0.06169825739235456
val-math500,2e483202419b799c,answer128,calibrated_0.016,32,2.0,1.3702350295284831e-05,1.5146513358038815e-05,0.0,0.01599985639166831,2.3717021663124727e-14,2.2989831266124824e-14,0.0,0.0,
val-math500,2e483202419b799c,answer128,calibrated_0.016,128,1.001,2.9138112849090186e-06,3.2202353078773774e-06,0.9615691810860578,0.01599985639166831,0.0004084054424389198,0.0002555425877615716,2.8276657545734517e-07,4.229299517868998e-08,0.000692367304825119
val-math500,2e483202419b799c,answer128,calibrated_0.016,128,1.05,2.9138112849090186e-06,3.2202353078773774e-06,7.604108669130715e-05,0.01599985639166831,2.2533494824556478e-05,1.205646270217013e-05,2.9660816242544894e-07,8.172184914198454e-08,0.013162989795183136
val-math500,2e483202419b799c,answer128,calibrated_0.016,128,2.0,2.9138112849090186e-06,3.2202353078773774e-06,0.0,0.01599985639166831,2.3717021663124727e-14,2.2989831266124824e-14,0.0,0.0,
val-math500,2e483202419b799c,answer128,calibrated_0.05,8,1.001,6.325777907441541e-05,8.961971359311022e-05,0.961569180094837,0.04999994502026025,0.0007003002132270908,0.0004054161729669354,2.8180948749458327e-05,9.129282265025706e-06,0.040241239710032635
val-math500,2e483202419b799c,answer128,calibrated_0.05,8,1.05,6.325777907441541e-05,8.961971359311022e-05,8.90071432311155e-05,0.04999994502026025,0.00013167544576826476,7.065183608556405e-05,2.9560336592048665e-05,1.0230614980523398e-05,0.22449391699096136
val-math500,2e483202419b799c,answer128,calibrated_0.05,8,2.0,6.325777907441541e-05,8.961971359311022e-05,4.0686323822025296e-05,0.04999994502026025,2.2359148875862444e-05,1.1969445855241683e-05,1.6912086648266297e-05,9.178783566430672e-06,0.756383292680856
val-math500,2e483202419b799c,answer128,calibrated_0.05,32,1.001,1.3702350295284831e-05,2.0439197616072237e-05,0.961569180094837,0.04999994502026025,0.0007003002132270908,0.0004054161729669354,4.519727521492499e-06,7.937849655682571e-07,0.006453985642336023
val-math500,2e483202419b799c,answer128,calibrated_0.05,32,1.05,1.3702350295284831e-05,2.0439197616072237e-05,8.90071432311155e-05,0.04999994502026025,0.00013167544576826476,7.065183608556405e-05,4.740969609985601e-06,9.21001390599245e-07,0.036004963433571506
val-math500,2e483202419b799c,answer128,calibrated_0.05,32,2.0,1.3702350295284831e-05,2.0439197616072237e-05,4.0686323822025296e-05,0.04999994502026025,2.2359148875862444e-05,1.1969445855241683e-05,2.2766391118932043e-06,1.1751572060693423e-06,0.10182136737552311
val-math500,2e483202419b799c,answer128,calibrated_0.05,128,1.001,2.9138112849090186e-06,4.376306523394174e-06,0.961569180094837,0.04999994502026025,0.0007003002132270908,0.0004054161729669354,9.900598453275718e-07,1.3757189125512668e-07,0.001413764877730401
val-math500,2e483202419b799c,answer128,calibrated_0.05,128,1.05,2.9138112849090186e-06,4.376306523394174e-06,8.90071432311155e-05,0.04999994502026025,0.00013167544576826476,7.065183608556405e-05,1.0385241725043333e-06,1.699530561269918e-07,0.007886999481528462
val-math500,2e483202419b799c,answer128,calibrated_0.05,128,2.0,2.9138112849090186e-06,4.376306523394174e-06,4.0686323822025296e-05,0.04999994502026025,2.2359148875862444e-05,1.1969445855241683e-05,6.750815571269241e-07,3.358781908575462e-07,0.030192632146910585
val-math500,2e483202419b799c,answer256,real_base_to_step8,8,1.001,2.4172937639353754e-08,2.4398811953862815e-08,2.8527164084517837e-06,5.7701700834088616e-08,5.212033675992568e-08,3.346909055752695e-08,6.770188751987076e-11,2.4264317840906592e-11,0.0012989533784425857
val-math500,2e483202419b799c,answer256,real_base_to_step8,8,1.05,2.4172937639353754e-08,2.4398811953862815e-08,5.049307600176923e-17,5.7701700834088616e-08,1.8829451035079507e-13,1.8829382497685725e-13,1.3208149973157302e-19,9.396372374520187e-20,
val-math500,2e483202419b799c,answer256,real_base_to_step8,8,2.0,2.4172937639353754e-08,2.4398811953862815e-08,0.0,5.7701700834088616e-08,1.8829437826929533e-13,1.882938249768338e-13,0.0,0.0,
val-math500,2e483202419b799c,answer256,real_base_to_step8,32,1.001,1.935528321041393e-10,1.9558174869407256e-10,2.8527164084517837e-06,5.7701700834088616e-08,5.212033675992568e-08,3.346909055752695e-08,6.045065226061337e-13,1.4469209638819246e-13,1.1598285049280937e-05
val-math500,2e483202419b799c,answer256,real_base_to_step8,32,1.05,1.935528321041393e-10,1.9558174869407256e-10,5.049307600176923e-17,5.7701700834088616e-08,1.8829451035079507e-13,1.8829382497685725e-13,1.3208149973157302e-19,9.396372374520187e-20,
val-math500,2e483202419b799c,answer256,real_base_to_step8,32,2.0,1.935528321041393e-10,1.9558174869407256e-10,0.0,5.7701700834088616e-08,1.8829437826929533e-13,1.882938249768338e-13,0.0,0.0,
val-math500,2e483202419b799c,answer256,real_base_to_step8,128,1.001,2.0041127303694567e-11,2.031768680409835e-11,2.8527164084517837e-06,5.7701700834088616e-08,5.212033675992568e-08,3.346909055752695e-08,9.784233783419023e-14,4.624130497148983e-15,1.8772391722038779e-06
val-math500,2e483202419b799c,answer256,real_base_to_step8,128,1.05,2.0041127303694567e-11,2.031768680409835e-11,5.049307600176923e-17,5.7701700834088616e-08,1.8829451035079507e-13,1.8829382497685725e-13,1.3208149973157302e-19,9.396372374520187e-20,
val-math500,2e483202419b799c,answer256,real_base_to_step8,128,2.0,2.0041127303694567e-11,2.031768680409835e-11,0.0,5.7701700834088616e-08,1.8829437826929533e-13,1.882938249768338e-13,0.0,0.0,
