step,selected_tokens,matched_tokens,reference_tokens,fresh_version_tokens,other_version_tokens,version_token_counts,mixed_version_responses,matched_mixed_version_responses,age,age_tokens,engine_abs_mean,stale_abs_mean,combined_abs_mean,opposite_sign_fraction,tis_capped_fraction,reconstruction_abs_max
1,294312,294312,294312,0,0,"{""0"":294312}",0,0,0,294312,0.014932851537795201,0.0,0.014932851537795201,0.0,0.05476161352578216,0.0
2,324759,324759,0,324759,0,"{""1"":324759}",0,0,0,324759,0.015592467029098911,0.0,0.015592467029098911,0.0,0.056546546823952534,0.0
3,321323,321323,0,321323,0,"{""2"":321323}",0,0,0,321323,0.01576721593881032,0.0,0.01576721593881032,0.0,0.05680265651696268,0.0
4,363215,363215,0,363215,0,"{""3"":363215}",0,0,0,363215,0.015111000782587848,0.0,0.015111000782587848,0.0,0.05521523064851397,0.0
