run,wandb_id,step,consumed_loss_tokens,age_mean,mismatch_log_ratio_abs_mean,tis_capped_fraction,tis_skipped_fraction,correction_abs_mean,behavior_tail_mass_mean,raw_grad_norm,cycle_seconds,policy_train_seconds,length_stop_fraction
tis,v7hdiwgm,1,478502,0,0.03429520188108014,0.08977548079565167,0,,,0.10789549350738525,425.7703505596146,37.06535692606121,0.720703125
tis,v7hdiwgm,2,460113,1,0.03459647903235036,0.08923177956603467,0,,,0.13105855882167816,672.9425488067791,19.74841045215726,0.662109375
sc,9g2moa0r,1,472845,0,0.03412513193564209,0.08874787646345794,0,0.002527851138438564,0.0029347271338338032,0.16464124619960785,443.1158480346203,64.03558540530503,0.6796875
sc,9g2moa0r,2,464523,1,0.03454944149745745,0.09034758224152029,0,0.0024788662340142764,0.002836433515767567,0.12032662332057953,652.8748968783766,20.119705270975828,0.677734375
