run,step,iris_job_index,iris_attempt,consumed_tokens,cumulative_consumed_tokens,step_seconds,cumulative_cycle_seconds,nominal_cycle_gpu_hours,age_mean,age_p90,age_at_least_four_fraction,stale_rejected,rejected_rate,mismatch_log_ratio_abs_mean,tis_capped_fraction,correction_abs_mean,policy_entropy,response_bytes_mean,length_stop_fraction
r19,1,0,0,94592.0,94592.0,465.980785401538,465.980785401538,2.0710257128957243,0.0,0.0,0.0,0,0.0,0.013392641082922534,0.0,,0.3808883875608444,4523742.4855643045,0.0
r19,2,0,0,150486.0,245078.0,84.2638894263655,550.2446748279035,2.4455318881240156,1.0,1.0,0.0,0,0.0,0.013252298657414473,0.0,,0.40072740614414215,8782691.375,0.0
r19,3,0,0,345785.0,590863.0,61.82664640247822,612.0713212303817,2.720316983246141,2.0,2.0,0.0,0,0.0,0.014587445172325459,1.9073486328125e-06,,0.45579787716269493,9454540.5,0.3125
r19,4,0,0,437468.0,1028331.0,81.56367263477296,693.6349938651547,3.082822194956243,2.987151060191831,3.0,0.0,0,0.0,0.01549380146136966,4.801116347152856e-06,,0.5122178830206394,10400751.359375,0.65625
r19,5,0,0,486633.0,1514964.0,140.6672764737159,834.3022703388706,3.70801009039498,4.0,4.0,1.0,0,0.0,0.01619202181160966,0.0,,0.5448587909340858,10339748.1015625,0.765625
r19,6,0,0,309163.0,1824127.0,65.48458776250482,899.7868581013754,3.9990527026727793,4.5794354434392215,5.0,1.0,0,0.0,0.014701535201207663,0.0,,0.44630806520581245,10609095.5859375,0.2890625
r19,7,0,0,322334.0,2146461.0,132.8580513978377,1032.644909499213,4.589532931107613,5.0,5.0,1.0,0,0.0,0.016205669729764456,2.8009889774693875e-05,,0.5143715217709541,9243741.65625,0.3046875
r19,8,0,0,324637.0,2471098.0,117.88476841617376,1150.5296779153869,5.113465235179497,5.0,5.0,1.0,0,0.0,0.015800759848542057,1.9073486328125e-06,,0.48931271582841873,10658848.3984375,0.4140625
r19,9,0,0,356929.0,2828027.0,76.70749092660844,1227.2371688419953,5.454387417075535,5.0,5.0,1.0,0,0.0,0.015520028642149533,3.518176163197495e-05,,0.4801390804350376,10392555.6171875,0.4609375
r19,10,0,0,355162.0,3183189.0,201.37971147987992,1428.6168803218752,6.349408356986112,5.0,5.0,1.0,0,0.0,0.014942005720332826,1.9073486328125e-06,,0.4590902365744114,10695486.0625,0.4296875
