cohort,seeds,mean_terminal_difference,terminal_ci95_low,terminal_ci95_high,mean_baseline_adjusted_difference,baseline_adjusted_ci95_low,baseline_adjusted_ci95_high
all,6,14.75,-12.595300552594175,42.095300552594175,12.75,-17.33010978127225,42.83010978127225
confirmation,3,-0.16666666666666666,-65.76546451542512,65.43213118209178,-6.833333333333333,-64.0404593811892,50.37379271452252
exploratory,3,29.666666666666668,-15.636223438180398,74.96955677151374,32.333333333333336,-15.648693809909858,80.31536047657653
