run,step,iris_job_index,iris_attempt,consumed_tokens,cumulative_consumed_tokens,step_seconds,cumulative_cycle_seconds,nominal_cycle_gpu_hours,age_mean,age_p90,age_at_least_four_fraction,stale_rejected,rejected_rate,mismatch_log_ratio_abs_mean,tis_capped_fraction,correction_abs_mean,policy_entropy,response_bytes_mean,length_stop_fraction
s20_tis,1,,,123079,123079,559.9767489270016,559.9767489270016,2.4887855507866736,0,0,0,0,0,0.012904858765443896,0.04580796929076314,,0.3925890289247036,4970121.056430446,0
s20_tis,2,,,209375,332454,130.52116362699599,690.4979125539976,3.0688796113511003,1,1,0,0,0,0.012561695713560018,0.04436570033431053,,0.3959060572087765,10544536.5,0.0390625
s20_tis,3,,,417515,749969,67.70096988099976,758.1988824349974,3.3697728108222105,2,2,0,0,0,0.015076360164625284,0.0538614010438323,,0.49087099730968475,10183843.640625,0.484375
s20_tis,4,,,438813,1188782,85.81588286299666,844.014765297994,3.751176734657751,2.962662911080574,3,0,0,0,0.01469152428383352,0.05212068650871515,,0.47549784556031227,9940234.109375,0.5625
s20_tis,5,,,461611,1650393,119.02229449700098,963.037059794995,4.280164710199978,3.995266577269606,4,0.9952665772696058,0,0,0.015054995685649188,0.054478179197758436,,0.4928184188902378,9489287.65625,0.703125
s20_tis,6,,,378704,2029097,82.71428752499924,1045.7513473199942,4.647783765866641,4.4533012590308,5,1,0,0,0.01636707615089568,0.056556038092821836,,0.5093019157648087,11104729.5234375,0.5078125
s20_tis,7,,,361701,2390798,76.13320478599053,1121.8845521059848,4.986153564915488,5,5,1,0,0,0.01610133889789032,0.055267923045903444,,0.4850078448653221,11056344.22047244,0.5078125
s20_tis,8,,,349967,2740765,141.93228256099974,1263.8168346669845,5.616963709631042,5,5,1,0,0,0.015088212727173133,0.053216548170894384,,0.46400558575987816,9431260.07751938,0.359375
s20_tis,9,,,341234,3081999,67.28460203799477,1331.1014367049793,5.916006385355463,5,5,1,0,0,0.015315035883890014,0.05322973616421223,,0.4693232960999012,10064789.2109375,0.3671875
s20_tis,10,,,325450,3407449,196.9325210829993,1528.0339577879786,6.791262034613238,4.986953449070517,5,1,0,0,0.015935567101824095,0.055563125759363174,,0.4863628000020981,9522650.859375,0.3671875
s20_tis,11,,,381272,3788721,75.30151098901115,1603.3354687769897,7.125935416786621,5,5,1,0,0,0.015819930749980126,0.05700721777975559,,0.5185595192015171,1450363.7466063348,0.5
