model,split,n,rmse,mae,bias_pred_minus_actual,actual_std,pred_std,std_ratio,spearman,pearson,slope_pred_on_actual,intercept_pred_on_actual,slope_actual_on_pred,intercept_actual_on_pred,low_tail_rmse,description,feature_count,ridge,coef_l2
smooth_mct_lrq_like,all_rows,641.0,0.04727988737422464,0.034139849400417005,0.0017144600293271378,0.07844420156998826,0.06911769396208824,0.881106475415154,0.8582890031352631,0.8021476207667764,0.7067774628964663,0.30898098463201024,0.9103867048404397,0.09234453106823398,0.03271929983798243,"Existing anchored LRQ mixture body plus global N, canonical family D, and ND cross terms.",9,10.0,0.05894909395169553
smooth_mct_lrq_like,fit_region,343.0,0.04094656937009519,0.03217960082998272,0.02996081067340867,0.053377957995540834,0.07384140173762758,1.3833688007285003,0.8473830518393752,0.9543043839841202,1.320154911202063,-0.2888897941298153,0.6898409039451886,0.28822731974197197,0.03249671792185821,"Existing anchored LRQ mixture body plus global N, canonical family D, and ND cross terms.",9,10.0,0.05894909395169553
smooth_mct_lrq_like,anchor_100m_1x,242.0,0.030317611701238294,0.026260231632944074,0.026027709698539795,0.018544670803931216,0.019624740888550634,1.058241534510845,0.67979471990537,0.669515464092632,0.7085090721001253,0.31671919160796197,0.6326679139484951,0.3498577405277132,0.03739570962137855,"Existing anchored LRQ mixture body plus global N, canonical family D, and ND cross terms.",9,10.0,0.05894909395169553
smooth_mct_lrq_like,fixed340_all,37.0,0.01872757778355413,0.015069865868804136,-0.003222654513496129,0.019612114745099423,0.017438520603784334,0.8891708431464171,0.5199146514935988,0.5093479442445528,0.4528973410388231,0.4819066539766326,0.5728347349337005,0.3806239363930577,0.013510552467093883,"Existing anchored LRQ mixture body plus global N, canonical family D, and ND cross terms.",9,10.0,0.05894909395169553
smooth_mct_lrq_like,fixed340_1x,13.0,0.014806355444232172,0.012066493666235988,-0.001079481239253166,0.013663776232598852,0.018479266268431948,1.352427466160077,0.30769230769230765,0.6141057563305684,0.8305334919884665,0.14840140875403582,0.4540766671015537,0.4820313674916218,0.010699588117446552,"Existing anchored LRQ mixture body plus global N, canonical family D, and ND cross terms.",9,10.0,0.05894909395169553
smooth_mct_lrq_like,external_60m,293.0,0.05383901619061568,0.03642625758191774,-0.031229535089258686,0.04334024561371067,0.03769751834171389,0.8698039849083895,0.5854149454820593,0.4211370364690186,0.36630667251326154,0.6738359617559806,0.4841746459846047,0.5890427347006985,0.05691597906494612,"Existing anchored LRQ mixture body plus global N, canonical family D, and ND cross terms.",9,10.0,0.05894909395169553
smooth_mct_lrq_like,external_900m,4.0,0.046074685232364986,0.04251900438472253,-0.0060661272713099235,0.01834397465097202,0.04598531215884557,2.5068346982483907,0.39999999999999997,0.21638915859405786,0.5424518510883524,0.36635413274913325,0.0863196758626551,0.7442116176663485,0.0292624867532143,"Existing anchored LRQ mixture body plus global N, canonical family D, and ND cross terms.",9,10.0,0.05894909395169553
smooth_mct_lrq_like,seed7_train,579.0,0.04814242256613072,0.034857098377327506,3.794808070710679e-07,0.07272246108853102,0.060502829859016984,0.8319689536546615,0.8352246729313203,0.7535891470973505,0.6269627741960917,0.39458787861397193,0.905789986257294,0.09965216048309967,0.033738458790468155,"Existing anchored LRQ mixture body plus global N, canonical family D, and ND cross terms.",9,10.0,0.05894909395169553
smooth_mct_lrq_like,seed7_holdout,61.0,0.038526616877717204,0.02756486512304949,0.017685613552831853,0.06891815131081871,0.09370511884632181,1.3596580445652793,0.9189317821258592,0.9568653654360655,1.3010096916810419,-0.27044552711416864,0.7037544250635479,0.27112452550694344,0.02489139303351816,"Existing anchored LRQ mixture body plus global N, canonical family D, and ND cross terms.",9,10.0,0.05894909395169553
smooth_mct_lrq_like,fixed340_holdout,27.0,0.01837579817774192,0.015177066745070713,-0.006547326725133461,0.017544144667071045,0.015136785801768225,0.862782773911957,0.5274725274725275,0.4558575052971002,0.3933060029288172,0.535450522750923,0.5283572169970286,0.42480744572395684,0.01348456382374411,"Existing anchored LRQ mixture body plus global N, canonical family D, and ND cross terms.",9,10.0,0.05894909395169553
