slug,metric_key,eta,lam,beta,a_broad_text,a_tech_code,a_reasoning,tau_broad_text,tau_tech_code,tau_reasoning,reg,signal_feature_count,penalty_feature_count,linear_coefficient_count,intercept_count,linear_head_param_count,nonlinear_param_count,total_param_count
uncheatable_macro_bpb,eval/uncheatable_eval/macro_bpb,6.47489323898936,0.06520884478003806,0.4930322555986928,0.6080998990353178,0.02,0.02,2.2183616786473324,3.8034909004939284,6.318813169983934,0.0,29,3,32,1,33,9,42
piqa_5shot_bpb,lm_eval/piqa_5shot/bpb,9.728667233704313,6.14421235332821e-06,0.89824027661832,0.1812779856977488,0.21422072340821358,1.1622353244053216,0.9231348571285601,5.215748426868517,8.0,0.0,29,3,32,1,33,9,42
piqa_5shot_choice_logprob,lm_eval/piqa_5shot/choice_logprob,11.789607735865918,6.14421235332821e-06,0.6628885215023456,0.8053681595094343,0.5318424723240216,1.8018613017867935,1.9809151748075022,8.0,6.5317522954872285,0.0,29,3,32,1,33,9,42
paloma_macro_bpb,eval/paloma/macro_bpb,6.231837154284447,6.14421235332821e-06,0.15023965176071621,0.6552180565348346,0.02,0.4985812562688234,3.1897705190492784,7.474047106152118,5.137811615755555,0.0,29,3,32,1,33,9,42
