slug,metric_key,display_name,lower_is_better,n,method,coarse_top_k,best_observed_run_name,best_observed_metric,predicted_observed_run_name,predicted_observed_metric,predicted_observed_regret,raw_predicted_optimum_metric,raw_nearest_observed_run_name,raw_nearest_observed_metric,raw_nearest_observed_regret,raw_nearest_observed_tv,raw_optimum_weights_csv,raw_phase0_lt_1e4,raw_phase1_lt_1e4,cv_rmse,cv_regret_at_1,cv_foldmean_regret_at_1,lower_tail_optimism,cv_depopt_best8,cv_rawopt_nearest_tv,objective,train_rmse,raw_predicted_optimum_value,raw_nearest_observed_value,oof_rmse,oof_r2,oof_spearman,oof_regret_at_1,train_r2,train_spearman
uncheatable_macro_bpb,eval/uncheatable_eval/macro_bpb,Uncheatable Eval Macro BPB,True,242,Powell,3,run_00125,1.0586893558502195,run_00125,1.0586893558502195,0.0,1.0042774128675254,run_00200,1.0712109804153442,0.012521624565124734,0.5721521568574995,/Users/calvinxu/Projects/Work/Marin/marin/experiments/domain_phase_mix/exploratory/two_phase_many/metric_registry/grp_no_l2_metric_objective_fits/uncheatable_macro_bpb_raw_optimum_weights.csv,16.0,20.0,0.008042195920654121,0.0,0.003966426849365235,0.0032454567328310054,0.07460039458514237,0.6147892280601805,0.02347117736865393,0.006872282024200321,1.0042774128675254,1.0712109804153442,0.008042195920654121,0.8112171779451438,0.898470856348387,0.0,0.8621473486495125,0.9254780082140827
piqa_5shot_bpb,lm_eval/piqa_5shot/bpb,PIQA 5-shot BPB,True,240,Powell,3,run_00111,1.3226847470554008,run_00218,1.3337345324509802,0.011049785395579326,1.2302354380551597,run_00079,1.3838011203401253,0.06111637328472441,0.6579987000506907,/Users/calvinxu/Projects/Work/Marin/marin/experiments/domain_phase_mix/exploratory/two_phase_many/metric_registry/grp_no_l2_metric_objective_fits/piqa_5shot_bpb_raw_optimum_weights.csv,26.0,29.0,0.0264102520649204,0.011049785395579326,0.0,0.006008945989897059,0.11115421458143877,0.7300601426413529,0.047830747944426336,0.023655948569891297,1.2302354380551597,1.3838011203401253,0.0264102520649204,0.6158458983497289,0.7471249500859388,0.011049785395579326,0.691793980367891,0.7910180732304378
piqa_5shot_choice_logprob,lm_eval/piqa_5shot/choice_logprob,PIQA 5-shot Choice Logprob,False,240,Powell,3,run_00111,-3.696754312793936,run_00111,-3.696754312793936,0.0,-2.9296138420567877,run_00199,-3.90115903182764,0.20440471903370394,0.8076003783983323,/Users/calvinxu/Projects/Work/Marin/marin/experiments/domain_phase_mix/exploratory/two_phase_many/metric_registry/grp_no_l2_metric_objective_fits/piqa_5shot_choice_logprob_raw_optimum_weights.csv,21.0,38.0,0.11416391221909702,0.0,0.0,0.029361123886321467,0.8945157256660685,0.8278805830336843,0.22657485255920146,0.10025746677299154,-2.9296138420567877,-3.90115903182764,0.11416391221909702,0.6466186091717946,0.6843834094341914,0.0,0.7274667823096066,0.7536259310057465
paloma_macro_bpb,eval/paloma/macro_bpb,Paloma Macro BPB,True,242,Powell,3,baseline_proportional,1.3444489240646362,baseline_olmix_loglinear,1.3518664836883545,0.007417559623718262,1.3186341804198292,baseline_olmix_loglinear,1.3518664836883545,0.007417559623718262,0.5544132316109187,/Users/calvinxu/Projects/Work/Marin/marin/experiments/domain_phase_mix/exploratory/two_phase_many/metric_registry/grp_no_l2_metric_objective_fits/paloma_macro_bpb_raw_optimum_weights.csv,13.0,18.0,0.010876193182197447,0.0,0.004482030868530229,0.0027314769189626734,0.04069743798175644,0.6456968257751041,0.02299274524103198,0.009088862457869494,1.3186341804198292,1.3518664836883545,0.010876193182197447,0.5581164155218985,0.6896675375236925,0.0,0.6914162126082284,0.7842569201804711
