domain_name,phase0_weight,phase0_epochs,phase1_weight,phase1_epochs
dolma3_arxiv,0.05398199590289178,9.673525367627924,0.0027258850815480296,0.12211904193496487
dolma3_cc/art_and_design_high,0.03876458103200569,1.7180886745337383,0.0012602089112949382,0.01396345968665755
dolma3_cc/art_and_design_low,3.753424663222693e-06,0.0004098560007782161,1.7881318917701931e-06,4.8813860126585626e-05
dolma3_cc/crime_and_law_high,0.016712111710918985,0.5502906241745124,0.07153981564608412,0.5889095658014898
dolma3_cc/crime_and_law_low,4.351552384911069e-07,3.189770752312183e-05,8.420457868204686e-07,1.5430889860254557e-05
dolma3_cc/education_and_jobs_high,3.221494917900578e-07,6.487773921650935e-06,3.260862298102956e-07,1.641763988371749e-06
dolma3_cc/education_and_jobs_low,2.4772653879774336e-07,1.0185241845869928e-05,2.408262280564307e-07,2.475384134747492e-06
dolma3_cc/electronics_and_hardware_high,0.02768308961781061,1.0566343162121792,0.0002592195655288143,0.0024735343142040065
dolma3_cc/electronics_and_hardware_low,5.483910525980486e-06,0.0004453171188702091,2.0370916268280923e-06,4.1355150208779185e-05
dolma3_cc/entertainment_high,0.00014841560813476116,0.0017736948176599254,4.48913692327723e-05,0.00013412266736381314
dolma3_cc/entertainment_low,0.01648487891415363,0.5413624788414558,0.00011797183906090017,0.0009685471085362411
dolma3_cc/finance_and_business_high,0.05011766061934821,0.4662124307865824,0.002050906566035797,0.004769566873491403
dolma3_cc/finance_and_business_low,0.00012241371725489478,0.0023898346405834543,8.272606464696783e-05,0.00040375706948104443
dolma3_cc/food_and_dining_high,7.636910374419461e-06,0.0002262000925772755,2.36560866984031e-06,1.751693007658744e-05
dolma3_cc/food_and_dining_low,1.1697956601185388e-06,7.03927511013348e-05,6.538150951350188e-07,9.83587237224644e-06
dolma3_cc/games_high,3.152394029161516e-07,7.060015851900156e-06,3.147690194983177e-07,1.7623703182310295e-06
dolma3_cc/games_low,2.0205790237774259e-07,1.2069877494006217e-05,1.9551453620238425e-07,2.919752794236873e-06
dolma3_cc/health_high,3.5746277738167976e-07,4.153720740213393e-06,3.761934320806867e-07,1.0928427797512623e-06
dolma3_cc/health_low,2.911803993099152e-07,7.938787698712966e-06,2.945598818313876e-07,2.007731608960789e-06
dolma3_cc/history_and_geography_high,0.014392358935076607,0.5390165348640428,0.07269870058837112,0.6806702406643002
dolma3_cc/history_and_geography_low,3.3174631190398543e-07,4.514758364695958e-05,8.39840744580996e-07,2.8573626070234398e-05
dolma3_cc/industrial_high,0.06270909805291412,3.885239520625537,0.007027212650500522,0.10884546723398296
dolma3_cc/industrial_low,2.737045059845835e-07,3.2027843574009254e-05,3.383342264006662e-07,9.897640924757296e-06
dolma3_cc/literature_high,0.013239478428993938,0.259323090492112,0.10290177691319069,0.5038870479183639
dolma3_cc/literature_low,1.3272121608333584e-05,0.0009749913677960087,0.00013028105383708423,0.0023926638601391038
dolma3_cc/science_math_and_technology_high,0.10499453754848735,2.186033572614891,0.17245003845597934,0.8976218726841064
dolma3_cc/science_math_and_technology_low,1.6180831119642017e-07,7.380127027001668e-06,1.9567943037918363e-07,2.231249807398111e-06
dolma3_finemath_3plus,0.011624238578327036,1.729916046546497,8.805667926946855e-05,0.003276142808137705
dolma3_stack_edu,0.146634090233945,5.534304506168345,0.16931304819222284,1.597565006998624
dolma3_wikipedia,0.007546274040813606,10.407145396576487,5.833230083353644e-05,0.02011167142910972
dolmino_common_crawl_hq,0.00853573311446292,0.03278120368231099,0.00014350984608418852,0.0001377862168315607
dolmino_olmocr_pdfs_hq,0.13551033792551434,3.3302296061394645,0.09767673905920302,0.6001128276001275
dolmino_stack_edu_fim,0.07814691865800152,2.9535840324553213,0.20369949300497853,1.9247194268521106
dolmino_stem_heavy_crawl,0.010050675673812683,9.754565134578318,5.557832540271153e-05,0.013485222606080741
dolmino_synth_code,0.05286980997548166,14.184386710098677,0.002833267205973135,0.19003358306565207
dolmino_synth_instruction,0.02873760500001134,8.08748459594914,0.00045188862991447676,0.03179320557085785
dolmino_synth_math,0.04657775700284134,10.80112893133978,0.0013277226525209268,0.07697291839355933
dolmino_synth_qa,0.07438129661455276,0.7139863441127042,0.09105154194077314,0.21850102282096406
dolmino_synth_thinking,3.8870053306892954e-07,4.9297863468237834e-05,3.7896071379963345e-07,1.2015646969416006e-05
