domain_name,phase0_weight,phase0_epochs,phase1_weight,phase1_epochs
dolma3_arxiv,0.005646607416392107,1.0118669969477532,8.496931618182839e-05,0.0038066063592458016
dolma3_cc/art_and_design_high,0.0793157042485364,3.5153588547640027,0.0011230395409185011,0.012443585516328572
dolma3_cc/art_and_design_low,9.039895266141273e-06,0.00098711327751905,8.14465733706253e-06,0.00022233939557822886
dolma3_cc/crime_and_law_high,0.012011839135252219,0.3955216773056323,0.00034784938958694626,0.0028634660452493735
dolma3_cc/crime_and_law_low,1.3813046397075997e-05,0.0010125226011412165,6.63160883337497e-06,0.00012152738854083045
dolma3_cc/education_and_jobs_high,0.014776755556122373,0.2975893235495086,0.00047468068007169194,0.0023899005087423954
dolma3_cc/education_and_jobs_low,1.6780380823185106e-06,6.899230004964455e-05,1.7404114336082725e-06,1.7889192906669436e-05
dolma3_cc/electronics_and_hardware_high,0.029591082663342618,1.1294603972181891,0.001165076031355355,0.0111174306473936
dolma3_cc/electronics_and_hardware_low,1.1673109719706299e-05,0.000947906710732855,5.84144633449928e-06,0.00011858764103600453
dolma3_cc/entertainment_high,0.004585194354675213,0.05479703628924566,0.38013783643974813,1.1357439405520962
dolma3_cc/entertainment_low,7.440239800642457e-07,2.443370486750985e-05,3.8105738281097854e-07,3.1284756535620007e-06
dolma3_cc/finance_and_business_high,0.06267506049919375,0.5830258624191395,0.19319827550584087,0.44929989016976035
dolma3_cc/finance_and_business_low,8.116777495219159e-07,1.58460640383889e-05,6.185896794217997e-07,3.019120482044096e-06
dolma3_cc/food_and_dining_high,0.010869825702941722,0.32195684638909683,0.0002725413188219031,0.0020181221372960532
dolma3_cc/food_and_dining_low,5.216946088174402e-06,0.0003139310565203583,2.968407788840467e-06,4.4656173246944806e-05
dolma3_cc/games_high,0.011420827157341716,0.2557777359897197,0.0002270464937639655,0.0012712178666940822
dolma3_cc/games_low,1.1739227133654857e-05,0.0007012397521213486,6.193627861922776e-06,9.249369692692879e-05
dolma3_cc/health_high,0.0151207836447619,0.17570364414884085,0.0006786475284819385,0.0019714726208682294
dolma3_cc/health_low,1.5530670533752665e-06,4.234306171649006e-05,1.2760037637256452e-06,8.697291272853591e-06
dolma3_cc/history_and_geography_high,0.1050378079928058,3.9338315247274287,0.0006836718949588107,0.006401147606639203
dolma3_cc/history_and_geography_low,0.015149815987897065,2.061748872577026,0.00022964411772700622,0.007813106462742631
dolma3_cc/industrial_high,1.1124048390263245e-06,6.89207687196088e-05,1.2127099596443141e-06,1.878383204575263e-05
dolma3_cc/industrial_low,3.4572521357418934e-05,0.0040455428456003415,1.1798863158306511e-05,0.0003451643426786209
dolma3_cc/literature_high,0.03535599062960229,0.692521597935436,0.004773961610185864,0.02337702510872575
dolma3_cc/literature_low,0.0027160189375747264,0.19952311296206796,0.0001428058968664283,0.0026226876309607705
dolma3_cc/science_math_and_technology_high,0.05982355661398339,1.2455533996804524,0.16362365053963743,0.8516795294904539
dolma3_cc/science_math_and_technology_low,6.5877630319867e-07,3.0046990565786917e-05,5.966241373667479e-07,6.803052773656455e-06
dolma3_finemath_3plus,4.369507277243348e-07,6.502688931813751e-05,3.6560880122845717e-07,1.3602450770043518e-05
dolma3_stack_edu,0.0383589543495344,1.447754294856259,0.047281901656905746,0.4461316617822992
dolma3_wikipedia,0.013771591138110034,18.9925452668908,1.178295232401315e-06,0.00040624981737249685
dolmino_common_crawl_hq,0.14592705784994672,0.5604280900060072,0.004769633582466042,0.004579405420135607
dolmino_olmocr_pdfs_hq,0.07462212711841323,1.833873494872691,0.009152312395344314,0.05623058389900539
dolmino_stack_edu_fim,0.06489622654358958,2.4527705222082155,0.012745568060321717,0.12043055233017892
dolmino_stem_heavy_crawl,0.015746466282936057,15.282547759107384,7.542267798540936e-07,0.00018300148390767618
dolmino_synth_code,0.014956816641404372,4.012748888110338,0.00011373119471023383,0.007628206189504035
dolmino_synth_instruction,0.041697826122363044,11.734816678322488,6.711911128116569e-06,0.0004722251372200375
dolmino_synth_math,0.002400062630773612,0.5565614917157763,4.678739248463213e-05,0.0027124355653111503
dolmino_synth_qa,0.1045981496506546,1.0040380293049755,0.17853150955463304,0.42843115681481453
dolmino_synth_thinking,0.018834801447153608,2.3887681935040983,0.00013844580937546856,0.00438967921812138
