run_order,run_id,row_id,prefix_state_id,prefix_candidate_id,prefix_repeat_seed,continuation_id,action_id,role,fit_budget,data_seed,trainer_seed
32,1010032,screen10__p02__local_minus_24,shared_bounded_ensemble_kl0p2,shared_bounded_ensemble_kl0p2,0,local_minus_24,local_minus_24,local_interior_reverse,True,974000,0
33,1010033,screen10__p02__local_plus_30,shared_bounded_ensemble_kl0p2,shared_bounded_ensemble_kl0p2,0,local_plus_30,local_plus_30,local_boundary_activation,True,974000,0
34,1010034,screen10__p02__local_plus_10,shared_bounded_ensemble_kl0p2,shared_bounded_ensemble_kl0p2,0,local_plus_10,local_plus_10,local_boundary_activation,True,974000,0
35,1010035,screen10__p02__local_plus_20,shared_bounded_ensemble_kl0p2,shared_bounded_ensemble_kl0p2,0,local_plus_20,local_plus_20,local_boundary_activation,True,974000,0
36,1010036,screen10__p02__control_tied,shared_bounded_ensemble_kl0p2,shared_bounded_ensemble_kl0p2,0,control_tied,control_tied,prefix_tied_control,False,974000,0
37,1010037,screen10__p02__control_anchor_repeat,shared_bounded_ensemble_kl0p2,shared_bounded_ensemble_kl0p2,0,control_anchor_repeat,local_anchor_fit079,anchor_exposure_noise_control,False,974001,0
38,1010038,screen10__p02__control_local_sentinel_repeat,shared_bounded_ensemble_kl0p2,shared_bounded_ensemble_kl0p2,0,control_local_sentinel_repeat,local_plus_24,local_action_exposure_noise_control,False,974002,0
39,1010039,screen10__p03__local_anchor_fit079,shared_bounded_ensemble_kl0p5,shared_bounded_ensemble_kl0p5,0,local_anchor_fit079,local_anchor_fit079,validated_frontier_anchor,True,974000,0
40,1010040,screen10__p03__local_plus_37,shared_bounded_ensemble_kl0p5,shared_bounded_ensemble_kl0p5,0,local_plus_37,local_plus_37,local_interior_forward,True,974000,0
41,1010041,screen10__p03__local_minus_37,shared_bounded_ensemble_kl0p5,shared_bounded_ensemble_kl0p5,0,local_minus_37,local_minus_37,local_interior_reverse,True,974000,0
42,1010042,screen10__p03__local_plus_32,shared_bounded_ensemble_kl0p5,shared_bounded_ensemble_kl0p5,0,local_plus_32,local_plus_32,local_interior_forward,True,974000,0
43,1010043,screen10__p03__local_minus_32,shared_bounded_ensemble_kl0p5,shared_bounded_ensemble_kl0p5,0,local_minus_32,local_minus_32,local_interior_reverse,True,974000,0
44,1010044,screen10__p03__local_plus_24,shared_bounded_ensemble_kl0p5,shared_bounded_ensemble_kl0p5,0,local_plus_24,local_plus_24,local_interior_forward,True,974000,0
45,1010045,screen10__p03__local_minus_24,shared_bounded_ensemble_kl0p5,shared_bounded_ensemble_kl0p5,0,local_minus_24,local_minus_24,local_interior_reverse,True,974000,0
46,1010046,screen10__p03__local_plus_30,shared_bounded_ensemble_kl0p5,shared_bounded_ensemble_kl0p5,0,local_plus_30,local_plus_30,local_boundary_activation,True,974000,0
47,1010047,screen10__p03__local_plus_10,shared_bounded_ensemble_kl0p5,shared_bounded_ensemble_kl0p5,0,local_plus_10,local_plus_10,local_boundary_activation,True,974000,0
48,1010048,screen10__p03__local_plus_20,shared_bounded_ensemble_kl0p5,shared_bounded_ensemble_kl0p5,0,local_plus_20,local_plus_20,local_boundary_activation,True,974000,0
49,1010049,screen10__p03__control_tied,shared_bounded_ensemble_kl0p5,shared_bounded_ensemble_kl0p5,0,control_tied,control_tied,prefix_tied_control,False,974000,0
50,1010050,screen10__p03__control_anchor_repeat,shared_bounded_ensemble_kl0p5,shared_bounded_ensemble_kl0p5,0,control_anchor_repeat,local_anchor_fit079,anchor_exposure_noise_control,False,974001,0
