row_id,bucket,phase_1_count,phase_1_weight
screen10__p00__local_anchor_fit079,dolma3_arxiv,45,0.02197265625
screen10__p00__local_anchor_fit079,dolma3_cc/art_and_design_high,0,0.0
screen10__p00__local_anchor_fit079,dolma3_cc/art_and_design_low,0,0.0
screen10__p00__local_anchor_fit079,dolma3_cc/crime_and_law_high,9,0.00439453125
screen10__p00__local_anchor_fit079,dolma3_cc/crime_and_law_low,29,0.01416015625
screen10__p00__local_anchor_fit079,dolma3_cc/education_and_jobs_high,0,0.0
screen10__p00__local_anchor_fit079,dolma3_cc/education_and_jobs_low,0,0.0
screen10__p00__local_anchor_fit079,dolma3_cc/electronics_and_hardware_high,0,0.0
screen10__p00__local_anchor_fit079,dolma3_cc/electronics_and_hardware_low,0,0.0
screen10__p00__local_anchor_fit079,dolma3_cc/entertainment_high,0,0.0
screen10__p00__local_anchor_fit079,dolma3_cc/entertainment_low,0,0.0
screen10__p00__local_anchor_fit079,dolma3_cc/finance_and_business_high,0,0.0
screen10__p00__local_anchor_fit079,dolma3_cc/finance_and_business_low,0,0.0
screen10__p00__local_anchor_fit079,dolma3_cc/food_and_dining_high,0,0.0
screen10__p00__local_anchor_fit079,dolma3_cc/food_and_dining_low,0,0.0
screen10__p00__local_anchor_fit079,dolma3_cc/games_high,0,0.0
screen10__p00__local_anchor_fit079,dolma3_cc/games_low,0,0.0
screen10__p00__local_anchor_fit079,dolma3_cc/health_high,0,0.0
screen10__p00__local_anchor_fit079,dolma3_cc/health_low,0,0.0
screen10__p00__local_anchor_fit079,dolma3_cc/history_and_geography_high,0,0.0
screen10__p00__local_anchor_fit079,dolma3_cc/history_and_geography_low,0,0.0
screen10__p00__local_anchor_fit079,dolma3_cc/industrial_high,50,0.0244140625
screen10__p00__local_anchor_fit079,dolma3_cc/industrial_low,24,0.01171875
screen10__p00__local_anchor_fit079,dolma3_cc/literature_high,236,0.115234375
screen10__p00__local_anchor_fit079,dolma3_cc/literature_low,66,0.0322265625
screen10__p00__local_anchor_fit079,dolma3_cc/science_math_and_technology_high,221,0.10791015625
screen10__p00__local_anchor_fit079,dolma3_cc/science_math_and_technology_low,121,0.05908203125
screen10__p00__local_anchor_fit079,dolma3_finemath_3plus,55,0.02685546875
screen10__p00__local_anchor_fit079,dolma3_stack_edu,201,0.09814453125
screen10__p00__local_anchor_fit079,dolma3_wikipedia,5,0.00244140625
screen10__p00__local_anchor_fit079,dolmino_common_crawl_hq,0,0.0
screen10__p00__local_anchor_fit079,dolmino_olmocr_pdfs_hq,334,0.1630859375
screen10__p00__local_anchor_fit079,dolmino_stack_edu_fim,201,0.09814453125
screen10__p00__local_anchor_fit079,dolmino_stem_heavy_crawl,8,0.00390625
screen10__p00__local_anchor_fit079,dolmino_synth_code,77,0.03759765625
screen10__p00__local_anchor_fit079,dolmino_synth_instruction,16,0.0078125
screen10__p00__local_anchor_fit079,dolmino_synth_math,35,0.01708984375
screen10__p00__local_anchor_fit079,dolmino_synth_qa,283,0.13818359375
screen10__p00__local_anchor_fit079,dolmino_synth_thinking,32,0.015625
screen10__p00__local_plus_37,dolma3_arxiv,45,0.02197265625
screen10__p00__local_plus_37,dolma3_cc/art_and_design_high,0,0.0
screen10__p00__local_plus_37,dolma3_cc/art_and_design_low,0,0.0
screen10__p00__local_plus_37,dolma3_cc/crime_and_law_high,9,0.00439453125
screen10__p00__local_plus_37,dolma3_cc/crime_and_law_low,29,0.01416015625
screen10__p00__local_plus_37,dolma3_cc/education_and_jobs_high,0,0.0
screen10__p00__local_plus_37,dolma3_cc/education_and_jobs_low,0,0.0
screen10__p00__local_plus_37,dolma3_cc/electronics_and_hardware_high,0,0.0
screen10__p00__local_plus_37,dolma3_cc/electronics_and_hardware_low,0,0.0
screen10__p00__local_plus_37,dolma3_cc/entertainment_high,0,0.0
screen10__p00__local_plus_37,dolma3_cc/entertainment_low,0,0.0
screen10__p00__local_plus_37,dolma3_cc/finance_and_business_high,0,0.0
screen10__p00__local_plus_37,dolma3_cc/finance_and_business_low,0,0.0
screen10__p00__local_plus_37,dolma3_cc/food_and_dining_high,0,0.0
screen10__p00__local_plus_37,dolma3_cc/food_and_dining_low,0,0.0
screen10__p00__local_plus_37,dolma3_cc/games_high,0,0.0
screen10__p00__local_plus_37,dolma3_cc/games_low,0,0.0
screen10__p00__local_plus_37,dolma3_cc/health_high,0,0.0
screen10__p00__local_plus_37,dolma3_cc/health_low,0,0.0
screen10__p00__local_plus_37,dolma3_cc/history_and_geography_high,0,0.0
screen10__p00__local_plus_37,dolma3_cc/history_and_geography_low,0,0.0
screen10__p00__local_plus_37,dolma3_cc/industrial_high,50,0.0244140625
screen10__p00__local_plus_37,dolma3_cc/industrial_low,24,0.01171875
screen10__p00__local_plus_37,dolma3_cc/literature_high,236,0.115234375
screen10__p00__local_plus_37,dolma3_cc/literature_low,66,0.0322265625
screen10__p00__local_plus_37,dolma3_cc/science_math_and_technology_high,221,0.10791015625
