run_name,is_qsplit240_core,eval/paloma/macro_loss,eval/uncheatable_eval/macro_loss,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,aggregate_mean_theta
run_00125,True,3.506571054458618,2.988485097885132,1.2385992322937667,0.5894901185139004,0.4680950369350146,0.7787394951951957,1.4251191438763682,0.8988206570151447,0.899810613971565
run_00207,True,3.5123190879821777,3.02510404586792,2.144520433911223,0.1058345227122609,0.8342161829613108,0.2552451329759572,1.781255596170896,-0.32260002677050137,0.7997453069935245
baseline_proportional,True,3.484795570373535,3.081036329269409,3.1535638070808902,2.378895536095215,0.9158354830718737,-1.751031979596337,-1.509205158594277,1.4452405751680029,0.7722163772042281
baseline_unimax,True,3.4949722290039062,3.057558059692383,2.605904532089131,1.7202028794898698,0.7873925733835299,-1.0025147465841264,-1.0671183317095385,1.563046839540654,0.7678189577015865
baseline_stratified,False,3.508568048477173,3.022904634475708,0.7594162541319577,1.021358266197098,1.011252439881303,0.5556434916962112,0.6867434738334725,0.43120917933722924,0.7442705175128785
run_00098,True,3.5168867111206055,3.0393295288085938,-0.3497097485735491,1.2924515617523884,1.4896559883386404,0.3354618688165107,1.7456785997014532,-0.4357891263202676,0.6796248572858626
run_00159,True,3.5474767684936523,3.03704571723938,2.2482415835428005,-0.2684892608836665,0.4835664850297361,-0.12019823554845152,0.042863644868550495,1.4008728455074853,0.6311428437527424
run_00218,True,3.510618209838867,3.0752499103546143,-0.016224110958869914,1.4515123239500791,1.306348858550874,-1.2921148532409883,0.22935865155947505,2.0509126795554242,0.6216322582359991
run_00239,True,3.513612747192383,3.050727128982544,0.13999592131275315,0.8486100112448046,1.4245884499752333,0.03101131610580105,0.19889202315184332,0.9203259642062787,0.593903947666119
run_00168,True,3.524835109710694,3.0230953693389893,-0.18332690955300548,0.34530443733819416,0.405068029336581,0.8925250172567398,0.7604260239617424,1.3285507659540947,0.5914245607157245
baseline_olmix_loglinear_uncheatable_bpb,False,3.5233678817749023,3.0072696208953857,1.011214341348823,-0.2619322022708639,-0.2244181678514098,1.7291755200842935,-1.2247555815897357,2.400606367966729,0.5716483796146393
run_00075,True,3.5314674377441406,3.0619778633117676,1.2507849396444286,0.6417741620153954,0.685760007703286,-0.5965345834839477,0.31695077404408856,1.1273200219233273,0.571009220307763
run_00191,True,3.515575408935547,3.038956880569458,0.3476148717175342,0.10797315130493344,2.5387871961968753,0.1035334710430017,-0.010503115417505773,0.3185078413294273,0.5676522360290444
run_00233,True,3.517209529876709,3.032083749771118,3.949657453334725,-1.5948367108998007,0.33054499281751343,1.4041470477822018,-1.2281322804384802,0.48108620705817634,0.5570777849423892
run_00223,True,3.522589921951294,3.010810136795044,2.1562549646207434,-0.7349795014586088,0.3739316498941069,2.137168895545713,-0.7458261075215888,0.00982980029978329,0.5327299502300248
run_00200,True,3.5296030044555664,3.001990795135498,0.7420203509936133,-1.627703330432263,0.8211252411714014,1.9475268022247936,-0.31163941650295796,1.5955686669479279,0.5278163857337526
run_00155,True,3.541746139526367,3.0217301845550537,-0.15752674509349116,0.05948633417371025,0.34410595698793484,1.2133252037021285,1.6976415397745854,-0.0767233892359966,0.5133848167181453
