run_name,is_qsplit240_core,eval/paloma/macro_loss,eval/uncheatable_eval/macro_loss,theta_1,theta_2,theta_3,theta_4,theta_5,aggregate_mean_theta
run_00125,True,3.506571054458618,2.988485097885132,0.8700373508454492,1.2782799375384075,0.8746901897084411,0.30202243075132923,1.5897514861820612,0.9829562790051376
run_00207,True,3.5123190879821777,3.02510404586792,-0.08959313285060877,2.2579740634207077,-0.015470739664066991,0.7246281553648444,1.6824406581830338,0.911995800890782
baseline_stratified,False,3.508568048477173,3.022904634475708,1.0927920830751134,0.838810570123403,0.4896692559272688,0.9675681456996506,0.7798314520733346,0.8337343013797541
baseline_unimax,True,3.4949722290039062,3.057558059692383,2.647999363821958,2.56419085244357,-0.5055257974891658,0.13268307222743767,-0.7394241694528215,0.8199846643101957
baseline_proportional,True,3.484795570373535,3.081036329269409,3.313248090619692,3.082523581653627,-1.2809109020824045,0.17596073009972857,-1.2141556674307383,0.8153331665719812
run_00098,True,3.5168867111206055,3.0393295288085938,0.8156697806161546,-0.19802865446069398,-0.11328018619236466,1.7591278531108872,1.6569969090730552,0.7840971404294077
run_00191,True,3.515575408935547,3.038956880569458,0.3644365537805782,0.6332912830944236,0.1524815758841779,2.363660066367037,0.1495415823198665,0.7326822122892167
run_00159,True,3.5474767684936523,3.03704571723938,0.6021816567790128,2.2868447185464174,0.4028352338878329,-0.1173502540305541,0.3458386472313887,0.7040700004828195
run_00239,True,3.513612747192383,3.050727128982544,1.2698385072715603,0.2594202682842257,0.2282720584752581,1.2337514224720583,0.43558033277062846,0.6853725178547462
run_00218,True,3.510618209838867,3.0752499103546143,2.5071427737470557,0.03585304963386016,-0.6353342608188732,0.7832511831049845,0.701207713179126,0.6784240917692307
run_00233,True,3.517209529876709,3.032083749771118,-1.0509394046151739,4.030830373554217,1.6718532965441044,-0.20744023596331299,-1.1096323678966344,0.66693433232464
run_00168,True,3.524835109710694,3.0230953693389893,0.840445885416494,-0.1468501643835978,1.201700946775364,0.27745718296853067,1.0515414081749535,0.6448590517903489
run_00200,True,3.5296030044555664,3.001990795135498,-0.756950694811738,0.901816769650905,2.5219261971859814,0.4563508309563947,0.09718688325552759,0.6440659972474141
run_00223,True,3.522589921951294,3.010810136795044,-0.7160659665571801,2.234136408878903,2.0544210114842443,0.3015812116062787,-0.7308001909716243,0.6286544948881244
run_00075,True,3.5314674377441406,3.0619778633117676,1.2696605752737284,1.2800080627163368,-0.24350206023756885,0.2673675657768775,0.5589054615218717,0.6264879210102491
baseline_olmix_loglinear_uncheatable_bpb,False,3.5233678817749023,3.0072696208953857,0.9193002471448606,0.9633080738325289,2.528485600811726,-0.6919153653121565,-0.691434967303675,0.6055487178346568
run_00155,True,3.541746139526367,3.0217301845550537,-0.22709588400442934,-0.08144466424063751,0.9708958545860198,0.5596358733724465,1.665611003596702,0.5775204366620204
run_00102,True,3.544181108474731,3.058933973312378,0.7412035601453998,0.7448843149025489,0.08430702896906861,0.9529543829569505,0.3208041596556794,0.5688306893259294
run_00018,True,3.5301854610443115,3.0270278453826904,0.5925402831829572,-0.6340148211878843,1.3931063811068167,0.2758726378442102,1.1945856936173318,0.5644180349126863
run_00217,True,3.5327415466308594,3.0739827156066895,1.1441369589460482,0.8124533448711214,-0.39415518948921696,0.2551318083285646,0.9590004821051589,0.5553134809523351
run_00201,True,3.5575337409973145,3.0561718940734863,0.537091449282133,0.2578984919117805,0.012579988807394709,0.2783158390364025,1.6053744244820412,0.5382520387039504
run_00186,True,3.5505995750427246,3.0638067722320557,-0.011774861549949046,1.2017534788897555,-0.3048393653959263,0.574030594282644,1.1724275130720745,0.5263194718597197
run_00138,True,3.5426645278930664,3.0639514923095703,-0.27631536460448836,1.0507970031487066,-0.2805142512242672,1.0233657974649244,1.0499362802703371,0.5134538930110425
run_00152,True,3.540781021118164,3.0283560752868652,1.0555689431947575,-0.7701692641526777,1.2445925950390195,-0.13546614217258235,1.158593252268269,0.5106238768353573
run_00021,True,3.5467567443847656,3.0262680053710938,-0.559727431760727,-0.04128934328854837,1.208952795607863,0.8739164987693048,1.052882379833424,0.5069469798322632
run_00183,True,3.544793128967285,3.054828405380249,-0.08309451827560885,0.43640857326311777,0.08732195970877221,0.8642490830864958,1.064830474373868,0.47394311443132897
run_00238,True,3.5303940773010254,3.067807912826538,1.1467780289801517,-0.3885608568186712,-0.3258423053376027,1.8156051676464233,0.11740281095919089,0.4730765690858984
run_00142,True,3.5434036254882812,3.116111516952514,1.364850847598318,0.7447021202358214,-2.0396976951616055,0.46916795863844324,1.7725031914125011,0.46230528454469566
run_00156,True,3.5379157066345215,3.06195068359375,1.2929706089738138,0.08799519558074094,0.8337184920790239,0.41681277766246067,-0.3301296434105342,0.46027348617710107
run_00081,True,3.535766124725342,3.073678731918335,0.4110813075184826,1.5094215646826208,0.3157020835857956,0.8487162886474595,-0.8014188696025606,0.45670047496635957
run_00124,True,3.5391857624053955,3.0850062370300293,1.007155273517902,0.21754610717216777,-0.26583859191912457,1.106214342039594,0.10649466196882326,0.43431435855587247
run_00224,True,3.549348831176758,3.07583999633789,0.224183319818324,-0.599877717736542,-0.1648023510474766,0.8322505956878395,1.8734355128877214,0.43303787192197324
run_00202,True,3.5603206157684326,3.06382155418396,0.4804523747459314,0.3954410750749355,0.5484201774955954,0.45086309732285657,0.28173810281099576,0.43138296549006283
run_00173,True,3.5521316528320312,3.075307130813598,2.00943863064362,-0.9451999906786176,-0.0015505056569585774,0.4110544560011267,0.6414777028254885,0.42304405862693184
run_00046,True,3.545318126678467,3.0630440711975098,-0.22262821778021874,1.077502285968542,0.2820744061656095,0.1566310237930545,0.77256364663191,0.41322862895577944
run_00237,True,3.5527849197387695,3.063292980194092,0.47375083778228144,-0.17844381888092833,0.29412536207466683,0.905042344022938,0.5341360558836066,0.40572215617651286
run_00062,True,3.5556626319885254,3.0427358150482178,0.5571519102088848,-1.2612261008956382,1.1757075383265605,0.6783754812556152,0.8633633322505069,0.4026744322291858
run_00227,True,3.567734479904175,3.0695018768310547,0.9910549968229333,0.8279157121765173,-0.26251049508138086,0.05701086260845512,0.38951687986996003,0.40059759127929695
run_00073,True,3.5624189376831055,3.0509047508239746,-0.2404636236664935,-0.5075852200368242,0.5808647447913499,0.7115022180180576,1.4534542802298116,0.3995544798671803
run_00130,True,3.538005828857422,3.0692028999328613,0.8332753764781935,-0.6896911447061285,0.36759932031487813,1.6401373713459564,-0.1555409375558705,0.39915599717540584
run_00147,True,3.539454460144043,3.0833213329315186,0.8533856726106276,1.438506190491196,0.4210698361099801,0.3753570289097384,-1.1392845351402134,0.3898068385962657
run_00162,True,3.559025287628174,3.058583974838257,0.17081649138509097,-1.017822567319432,0.40846767751503654,0.8459344780885595,1.507305769805051,0.38294036989486113
run_00050,True,3.566915273666382,3.0508291721343994,-0.4132714708991469,0.25232860996044826,0.3932013202776134,1.0219621112819073,0.6041942789552031,0.371682969915205
run_00079,True,3.5408034324645996,3.0880258083343506,1.8062117013865961,-0.7402556387192323,-0.5427707396167823,0.6173560960943265,0.7069542974911778,0.3694991433272171
run_00131,True,3.567505359649658,3.0453412532806396,0.0563329837231744,-0.5312202327794112,1.131123129244406,0.2756648112073704,0.9137960159872428,0.36913934147655647
run_00063,True,3.551022529602051,3.0964107513427734,0.24072433911132554,1.4811225665074432,-0.14420641000473017,0.5293563492132336,-0.2680614082957675,0.36778708730630094
run_00221,True,3.543484926223755,3.0631964206695557,0.32810468516264174,-0.5195931913026999,0.7939592398693603,0.867824172863797,0.36570796022467905,0.36720057336355566
run_00126,True,3.578017234802246,3.074047565460205,0.5501911078839102,0.9455974057597283,0.17696458514119046,-0.28430854700016533,0.4219905919298291,0.3620870287428985
run_00071,True,3.5678582191467285,3.058147430419922,-1.5981819578427314,2.038180104226315,0.43056158582878795,0.6007440600527074,0.3119613474004196,0.35665302793309966
run_00064,True,3.56946325302124,3.07071852684021,-1.3386044901215408,1.186438047440822,0.4413344484120901,1.4654001375439085,0.023913182013312776,0.3556962650577185
