rank,real_eigenvalue,random_p95,random_mean
1,15.735760228077897,2.006171894921419,1.898601243252633
2,5.260595055872786,1.8762847478682865,1.7970823264190599
3,3.8173283866474614,1.7791621193268061,1.7179814332626056
4,2.863849889905027,1.7091355274319402,1.6524951924675562
5,2.2074180813249757,1.647005911381069,1.5923657697602658
6,1.532206489844281,1.5873332056789697,1.538595524024548
7,1.3429611624360762,1.533677765462589,1.4865839601393023
8,1.2090066833179556,1.4863900165065234,1.4404800274796148
9,0.9732974383565117,1.4360126779431244,1.3916753742604795
10,0.8746935023902912,1.3882589191205157,1.3497861210024238
11,0.6844613508214978,1.347559624956869,1.3075093362460244
12,0.606195260580289,1.304557236166436,1.268391360062114
13,0.5811142446034979,1.263837742256047,1.2292423332022062
14,0.5184492549656724,1.2295282667145524,1.192815733859666
15,0.4460727371478385,1.1914831835241246,1.157096293582445
16,0.4095365264688647,1.1522892638682336,1.1222760343158207
17,0.3549128026753051,1.1204619158725404,1.088054217493459
18,0.3188597935052406,1.0858463616089695,1.0557406655807746
19,0.30961409116518085,1.0554491852665706,1.0242968163153914
20,0.2956036256218894,1.0234506430263806,0.9928842231511469
21,0.25794020578932053,0.9915549818086119,0.9612369854419619
22,0.21735690780026642,0.9608898356713261,0.9311276175903795
23,0.1985985556958511,0.929429723147615,0.9013589236240069
24,0.18208620426429503,0.8965949988735676,0.8712477717849715
25,0.16400687614365425,0.8703604672166629,0.8435800390920469
26,0.11566228180485254,0.8434883268095122,0.8147087626930752
27,0.08544818224897154,0.8158084588144251,0.7872586043109268
28,0.08017837045739665,0.7869904949699783,0.7596276982756802
29,0.06190455045068456,0.7598592342915831,0.7316197481575172
30,0.049981791393328874,0.7333214076405489,0.7058749141443132
31,0.04601464533705845,0.7068117345491023,0.6791625428789384
32,0.03446863590724075,0.6785189760229375,0.6537163784642074
33,0.03194367295866266,0.6547912095613945,0.6273029605859262
34,0.028408092022838807,0.6258075065258929,0.6012099683879062
35,0.022365514711090367,0.6026432962936616,0.5757107814003708
36,0.01909340716437078,0.5741774758829268,0.5485076058314208
37,0.017321863391946506,0.5513466032031076,0.5228525053036784
38,0.017084802215837323,0.526456447562219,0.49597108700392173
39,0.012246466210188349,0.4958198437254774,0.46810576893617617
40,0.009966576927066229,0.4712934168618543,0.4398483647997064
41,0.003769790184821842,0.4375330304400233,0.40772829694140506
42,0.0022160011917101295,0.40300011027380245,0.3682886884739224
