model,factor,signal_var,noise_var,snr,noise_share
legacy_alias_all43,theta_1,1.0537110447467513,0.001958380814223264,537.0521689621821,0.0018585558384214725
legacy_alias_all43,theta_2,1.0475409033721688,0.009737388955613907,106.57923999412891,0.009295473736889891
legacy_alias_all43,theta_3,0.9928769545770609,0.030744706044219836,31.29424126381351,0.030965273090980603
legacy_alias_all43,theta_4,0.9806368313856634,0.037323682299479057,25.27385003219124,0.03806065722285772
legacy_alias_all43,theta_5,0.9818815518528146,0.016372190501373802,58.97252180582825,0.016674302995589856
legacy_alias_all43,theta_6,0.9778658242383502,0.038092385988752406,24.67089980992753,0.038954614267680515
legacy_alias_all43,aggregate_mean_theta,0.1264631442673835,0.00080753651928956,155.60362255646467,0.006385548326887791
fixed_all43,theta_1,1.0650014949232158,0.0006636534161160272,1603.7555381482744,0.0006231478728242302
fixed_all43,theta_2,1.0667911057348727,0.0018425460926644209,577.9766182686021,0.001727185465607308
fixed_all43,theta_3,1.0287252860496687,0.0025412288989704475,403.814098590822,0.0024702696953516436
fixed_all43,theta_4,1.1476390083224073,0.00026882929714505373,4268.025067246183,0.00023424552075658556
fixed_all43,theta_5,1.0148088851135197,0.0006889157748985626,1472.052181542718,0.0006788625769880782
fixed_all43,theta_6,1.0237889957473345,0.002246846718081338,454.65591435698116,0.002194638472785312
fixed_all43,aggregate_mean_theta,0.12609666297536623,0.00023413433160835435,537.5654556047468,0.0018567845181921582
fixed_common43,theta_1,1.0650014949232158,0.0006636534161160272,1603.7555381482744,0.0006231478728242302
fixed_common43,theta_2,1.0667911057348727,0.0018425460926644209,577.9766182686021,0.001727185465607308
fixed_common43,theta_3,1.0287252860496687,0.0025412288989704475,403.814098590822,0.0024702696953516436
fixed_common43,theta_4,1.1476390083224073,0.00026882929714505373,4268.025067246183,0.00023424552075658556
fixed_common43,theta_5,1.0148088851135197,0.0006889157748985626,1472.052181542718,0.0006788625769880782
fixed_common43,theta_6,1.0237889957473345,0.002246846718081338,454.65591435698116,0.002194638472785312
fixed_common43,aggregate_mean_theta,0.12609666297536623,0.00023413433160835435,537.5654556047468,0.0018567845181921582
variable_common43,theta_1,1.055883278145367,0.00216558005253298,486.5752696882983,0.0020509653835381956
variable_common43,theta_2,1.050387308892446,0.007373661195862905,141.45125738646365,0.007019945055922156
variable_common43,theta_3,1.0799430720484122,0.0021394713957612246,503.7709794989655,0.0019810964588190027
variable_common43,theta_4,1.0138130470346136,0.0012668546411798475,799.2599620193434,0.0012495939412945772
variable_common43,theta_5,1.0048465680290366,0.007504328278807841,132.90226689132388,0.0074681334619346494
variable_common43,theta_6,1.011487422136725,0.004009027648307083,251.3024311303645,0.003963497281892225
variable_common43,aggregate_mean_theta,0.1317638602484131,0.0002948333123319207,445.9096765431802,0.0022375886056774166
