run_name,is_qsplit240_core,eval/paloma/macro_loss,eval/uncheatable_eval/macro_loss,theta_1,theta_2,theta_3,theta_4,theta_5,aggregate_mean_theta
run_00125,True,3.506571054458618,2.988485097885132,1.2339042492655923,0.42132496801288494,0.815722575777889,0.7833045515585093,1.7489950621346375,1.0006502813499025
baseline_unimax,True,3.4949722290039062,3.057558059692383,2.8578662550769676,0.5220236916937042,-1.1239288888175192,2.4514879146204223,-0.301438306808693,0.8812021331529764
baseline_proportional,True,3.484795570373535,3.081036329269409,3.5864045091761843,0.7742877634039146,-1.9678847625126137,2.6962231399816683,-0.7012898110587023,0.8775481677980903
run_00207,True,3.5123190879821777,3.02510404586792,2.28622943981732,0.33820947404551854,0.29486431807676067,-0.673209001900396,1.9671079945282473,0.84264044491349
baseline_stratified,False,3.508568048477173,3.022904634475708,1.0695291661041104,1.1869362573856177,0.43282365121128935,0.5790831911391202,0.8460052705525827,0.8228755072785441
run_00098,True,3.5168867111206055,3.0393295288085938,0.10728936405626414,2.122684013025629,0.08169430326266829,-0.25053303614596856,1.7331574263092082,0.7588584141015603
run_00218,True,3.510618209838867,3.0752499103546143,0.4725289791850033,0.9885181304330114,-1.2559513756042726,2.7039674309526265,0.6695308996542524,0.7157188129241241
run_00168,True,3.524835109710694,3.0230953693389893,-0.08819897979809897,0.14136159655792468,0.9648324078480812,1.2592935198406547,1.110773232871611,0.6776123554640345
run_00159,True,3.5474767684936523,3.03704571723938,1.9175716423796862,-0.2727297646331094,0.14076184738275666,1.114185309095753,0.408570124430577,0.6616718317311328
run_00239,True,3.513612747192383,3.050727128982544,0.3966994888206258,1.3096528824704825,-0.02407210791870807,1.1107059283233223,0.5126909500643245,0.6611354283520094
run_00191,True,3.515575408935547,3.038956880569458,0.4842716896346347,2.093776790437942,-0.044467750169842564,0.1956407936461998,0.5563124440942336,0.6571067935286334
baseline_olmix_loglinear_uncheatable_bpb,False,3.5233678817749023,3.0072696208953857,0.643997264635629,-1.1850640182485446,1.9321083446962708,2.3296515250539485,-0.5544944358170004,0.6332397360640607
