run_name,is_qsplit240_core,eval/paloma/macro_loss,eval/uncheatable_eval/macro_loss,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,aggregate_mean_theta
run_00207,True,3.5123190879821777,3.02510404586792,1.3944421884244622,0.2836652121266252,1.797005884934862,-0.13593631916486096,0.1517394117794528,0.7950952434991603,0.7143352702666169
run_00223,True,3.522589921951294,3.010810136795044,0.3554893946734543,1.9938215479334156,1.7939882468005146,0.6115257288803695,-0.4510427842973854,-0.42027130964200154,0.6472518040580613
baseline_stratified,False,3.508568048477173,3.022904634475708,1.7846266090018785,0.6454495817357296,0.46129854639570905,0.04217914541554595,0.21542016873399872,0.6917870999397485,0.6401268585371017
run_00063,True,3.551022529602051,3.0964107513427734,0.5905666157483168,-0.1611061179156936,1.235957977479,0.7989271120137152,-0.06560946388954862,1.4209887316481438,0.6366208091806556
run_00233,True,3.517209529876709,3.032083749771118,0.8522201137076276,1.6256143860694985,2.72000458206446,0.7063830171146773,-1.537023408308404,-0.555827313384345,0.6352285628772524
run_00201,True,3.5575337409973145,3.0561718940734863,0.47611151827410914,0.508600513465667,0.2927739735705033,0.2724404173293101,0.4412906356649441,1.6746855374263034,0.6109837659551395
run_00218,True,3.510618209838867,3.0752499103546143,2.1028973601412493,-0.3320847694663693,-0.268966602522296,0.9910297212522154,0.33494719902654535,0.6843256808784268,0.5853580982182952
run_00124,True,3.5391857624053955,3.0850062370300293,0.9884596011235608,-0.11517253253170491,0.34453443370224957,0.32089638799090314,0.6767258689005844,1.200670128329573,0.5693523145858611
run_00131,True,3.567505359649658,3.0453412532806396,-0.24213880369965837,1.4153918522866868,0.2007466617009492,1.4943215278627249,-1.047395174332537,1.5510309528038173,0.5619928361036638
run_00156,True,3.5379157066345215,3.06195068359375,0.8419770134001692,0.9758895949190146,-0.8014362999487813,0.9472885134863084,0.7795844007579585,0.525407730599607,0.5447851588690461
run_00162,True,3.559025287628174,3.058583974838257,-0.4255086311223541,0.6834215687986336,-0.36564369280744224,0.7729544445442925,0.3039454041015225,2.2751881296329364,0.5407262038579315
run_00021,True,3.5467567443847656,3.0262680053710938,0.1893775828470463,1.2235027640693301,0.39481488664290487,-0.5319880934677763,-0.1364219761315263,1.948124261739398,0.5145682376165627
run_00155,True,3.541746139526367,3.0217301845550537,0.029286807008842414,1.1965505659637319,-0.4225721810467411,0.34380530801315257,0.9753704920200568,0.839472591579774,0.49365226392313605
run_00130,True,3.538005828857422,3.0692028999328613,0.8025141112648444,0.5475302630972264,-0.8216089743959294,0.6903743033984578,0.49715505209765404,1.234504539895631,0.4917448825596473
