run_name,kind,block,source,effective_buckets,nonzero_buckets,max_epochs,max_epochs_bucket,cc_share,synth_qa_share,stack_share,tv_to_proportional
apriori_swarm_132_lhs_type_epoch_ratios_044,lhs_type_epoch_ratios_044,lhs,new,10.065899385956923,39,3.301205171365015,dolmino_synth_math,0.29865982925788503,0.1049695422311626,0.006975662101812757,0.3765592995737634
apriori_swarm_133_lhs_type_epoch_ratios_045,lhs_type_epoch_ratios_045,lhs,new,19.940791183984516,39,5.284615275047266,dolma3_finemath_3plus,0.7193665926188894,0.022608368888711206,0.010844042933712281,0.1928588391178428
apriori_swarm_134_lhs_type_epoch_ratios_046,lhs_type_epoch_ratios_046,lhs,new,20.820044077068445,39,5.47606251993846,dolma3_stack_edu,0.560576197159485,0.03236174888215283,0.19099474855873588,0.24873122240613277
apriori_swarm_135_lhs_type_epoch_ratios_047,lhs_type_epoch_ratios_047,lhs,new,6.9649584748942175,39,3.9239313214700133,dolmino_stem_heavy_crawl,0.19740383062160327,0.04010793829603931,0.08514782260182516,0.48573167013362084
apriori_swarm_136_lhs_type_epoch_ratios_048,lhs_type_epoch_ratios_048,lhs,new,7.897159437771973,39,6.338176934079296,dolmino_stack_edu_fim,0.15536463592344543,0.03351982942536716,0.2344269672696999,0.5388306893795215
apriori_swarm_137_lhs_type_epoch_ratios_049,lhs_type_epoch_ratios_049,lhs,new,28.202491082645523,39,2.266964824976109,dolma3_cc/entertainment_low,0.7348900585535556,0.05934477577244828,0.05617403452298101,0.17028227887572453
apriori_swarm_138_lhs_type_epoch_ratios_050,lhs_type_epoch_ratios_050,lhs,new,15.523007308646537,39,5.741595627796865,dolmino_synth_thinking,0.3434205878204277,0.10493112784364701,0.07315313234055767,0.3224330877201899
apriori_swarm_139_lhs_type_epoch_ratios_051,lhs_type_epoch_ratios_051,lhs,new,19.740226371576142,39,4.960094506611703,dolma3_stack_edu,0.5041377301765126,0.08835876453734598,0.17438407976385373,0.20823142711091686
apriori_swarm_140_lhs_type_epoch_ratios_052,lhs_type_epoch_ratios_052,lhs,new,14.94103866148231,39,7.950468842878005,dolmino_stack_edu_fim,0.38624496942293113,0.014796398935057093,0.3181867496817753,0.3654477124104212
apriori_swarm_141_lhs_type_epoch_ratios_053,lhs_type_epoch_ratios_053,lhs,new,14.218259661196637,39,10.121792632284093,dolma3_finemath_3plus,0.38263236303499726,0.3786066303850659,0.010772826341246185,0.40219528587010817
apriori_swarm_142_lhs_type_epoch_ratios_054,lhs_type_epoch_ratios_054,lhs,new,19.585406562961964,39,1.9145480887868165,dolma3_cc/education_and_jobs_high,0.8063801522610329,0.07118229396841701,0.02646313402696905,0.2950182329999008
apriori_swarm_143_lhs_type_epoch_ratios_055,lhs_type_epoch_ratios_055,lhs,new,15.245294004955166,39,4.335746673535082,dolmino_synth_thinking,0.3443261104705858,0.16603077524521948,0.09468977800188925,0.30186992464592877
apriori_swarm_144_lhs_type_epoch_ratios_056,lhs_type_epoch_ratios_056,lhs,new,12.36036476079349,39,2.8961099956026057,dolma3_stack_edu,0.4165053668870394,0.010035354865169967,0.1209670709211898,0.3250248989578157
apriori_swarm_145_lhs_type_epoch_ratios_057,lhs_type_epoch_ratios_057,lhs,new,9.568602134047866,39,5.199150720877225,dolma3_stack_edu,0.17913417698782533,0.046041165628911085,0.1866928338093555,0.49422347299786545
apriori_swarm_146_lhs_type_epoch_ratios_058,lhs_type_epoch_ratios_058,lhs,new,13.062694580334838,39,13.383394099651783,dolma3_finemath_3plus,0.21513757175880838,0.30002561337178496,0.02316229473007834,0.4438949244445744
apriori_swarm_147_lhs_type_epoch_ratios_059,lhs_type_epoch_ratios_059,lhs,new,15.23779279248854,39,2.33600328368964,dolmino_olmocr_pdfs_hq,0.45424803329242613,0.05402690843978599,0.04166435390019743,0.27745796373090015
apriori_swarm_148_lhs_type_epoch_ratios_060,lhs_type_epoch_ratios_060,lhs,new,2.9178720011828863,39,3.66739892728093,dolmino_common_crawl_hq,0.04771198751543433,0.007462086791376696,0.07069819569780117,0.6777610162253948
apriori_swarm_149_lhs_type_epoch_ratios_061,lhs_type_epoch_ratios_061,lhs,new,12.948814445316804,39,4.862292270077561,dolmino_synth_code,0.35467018870365813,0.2992587348524322,0.017702537984318187,0.3315443363817965
apriori_swarm_150_lhs_type_epoch_ratios_062,lhs_type_epoch_ratios_062,lhs,new,20.65659889834615,39,9.514040246614297,dolmino_synth_math,0.4413804409637896,0.2493882062959901,0.09505712298454207,0.35344052044146645
