prefix_candidate_id,continuation_id,bucket,phase_1_count,phase_1_weight,phase_1_materialized_epochs,total_materialized_epochs
proportional_control,cross_fit079_seed0_data0,dolma3_cc/food_and_dining_high,0,0.0,0.0,0.7214449213137721
proportional_control,cross_fit079_seed0_data0,dolma3_cc/food_and_dining_low,0,0.0,0.0,0.7328515879237343
proportional_control,cross_fit079_seed0_data0,dolma3_cc/games_high,0,0.0,0.0,0.7200575477993656
proportional_control,cross_fit079_seed0_data0,dolma3_cc/games_low,0,0.0,0.0,0.7274868079184583
proportional_control,cross_fit079_seed0_data0,dolma3_cc/health_high,0,0.0,0.0,0.7245602939720119
proportional_control,cross_fit079_seed0_data0,dolma3_cc/health_low,0,0.0,0.0,0.7172059804368387
proportional_control,cross_fit079_seed0_data0,dolma3_cc/history_and_geography_high,0,0.0,0.0,0.729773668672805
proportional_control,cross_fit079_seed0_data0,dolma3_cc/history_and_geography_low,0,0.0,0.0,0.7292546125079272
proportional_control,cross_fit079_seed0_data0,dolma3_cc/industrial_high,50,0.0244140625,0.38167418660219815,1.1060377170235034
proportional_control,cross_fit079_seed0_data0,dolma3_cc/industrial_low,24,0.01171875,0.3460130942491666,1.0870625547498527
proportional_control,cross_fit079_seed0_data0,dolma3_cc/literature_high,236,0.115234375,0.5695316403269991,1.2947052588150108
proportional_control,cross_fit079_seed0_data0,dolma3_cc/literature_low,66,0.0322265625,0.5973651670271046,1.3130939877874517
proportional_control,cross_fit079_seed0_data0,dolma3_cc/science_math_and_technology_high,221,0.10791015625,0.5669149856327292,1.2870377878707
proportional_control,cross_fit079_seed0_data0,dolma3_cc/science_math_and_technology_low,121,0.05908203125,0.6799608735443422,1.4131821240339728
proportional_control,cross_fit079_seed0_data0,dolma3_finemath_3plus,55,0.02685546875,1.0084601530292654,1.7334277634142397
proportional_control,cross_fit079_seed0_data0,dolma3_stack_edu,201,0.09814453125,0.934673006641957,1.6517252530023065
proportional_control,cross_fit079_seed0_data0,dolma3_wikipedia,5,0.00244140625,0.849580615953097,1.5214071326870122
proportional_control,cross_fit079_seed0_data0,dolmino_common_crawl_hq,0,0.0,0.0,0.7221534077351844
proportional_control,cross_fit079_seed0_data0,dolmino_olmocr_pdfs_hq,334,0.1630859375,1.0113087316365634,1.7296173731130757
proportional_control,cross_fit079_seed0_data0,dolmino_stack_edu_fim,201,0.09814453125,0.9359853936975682,1.6540444628500954
proportional_control,cross_fit079_seed0_data0,dolmino_stem_heavy_crawl,8,0.00390625,0.9566171930731732,1.9022025569016803
proportional_control,cross_fit079_seed0_data0,dolmino_synth_code,77,0.03759765625,2.5452419917797893,3.3294154803360048
proportional_control,cross_fit079_seed0_data0,dolmino_synth_instruction,16,0.0078125,0.5547769633654523,1.2402509708186473
proportional_control,cross_fit079_seed0_data0,dolmino_synth_math,35,0.01708984375,0.9999865639210959,1.6777839995748394
proportional_control,cross_fit079_seed0_data0,dolmino_synth_qa,283,0.13818359375,0.33469416210718406,1.0594904335450757
proportional_control,cross_fit079_seed0_data0,dolmino_synth_thinking,32,0.015625,0.5000327858134761,1.241432303494083
proportional_control,cross_novel_seed0_data0,dolma3_arxiv,2,0.0009765625,0.04415718440235991,0.7425245159718082
proportional_control,cross_novel_seed0_data0,dolma3_cc/art_and_design_high,46,0.0224609375,0.25119087181043365,0.9636870055897597
proportional_control,cross_novel_seed0_data0,dolma3_cc/art_and_design_low,10,0.0048828125,0.13453619346957638,0.8792505428234094
proportional_control,cross_novel_seed0_data0,dolma3_cc/crime_and_law_high,11,0.00537109375,0.044626107735213597,0.7664502256628859
proportional_control,cross_novel_seed0_data0,dolma3_cc/crime_and_law_low,2,0.0009765625,0.01806262194968775,0.73223548322235
proportional_control,cross_novel_seed0_data0,dolma3_cc/education_and_jobs_high,90,0.0439453125,0.2233141834993608,0.949299887132648
proportional_control,cross_novel_seed0_data0,dolma3_cc/education_and_jobs_low,77,0.03759765625,0.39005430636780697,1.1110943814695107
proportional_control,cross_novel_seed0_data0,dolma3_cc/electronics_and_hardware_high,24,0.01171875,0.11286438909186204,0.8380227374580267
proportional_control,cross_novel_seed0_data0,dolma3_cc/electronics_and_hardware_low,29,0.01416015625,0.29014331529112036,1.0021918990879959
proportional_control,cross_novel_seed0_data0,dolma3_cc/entertainment_high,42,0.0205078125,0.06184208916170843,0.7837455070060807
proportional_control,cross_novel_seed0_data0,dolma3_cc/entertainment_low,22,0.0107421875,0.08901447042332009,0.8089158337390735
proportional_control,cross_novel_seed0_data0,dolma3_cc/finance_and_business_high,54,0.0263671875,0.061890267391027376,0.7824139734260522
proportional_control,cross_novel_seed0_data0,dolma3_cc/finance_and_business_low,66,0.0322265625,0.1587512824684169,0.8815368129521481
proportional_control,cross_novel_seed0_data0,dolma3_cc/food_and_dining_high,32,0.015625,0.11677788459665592,0.8382228059104281
proportional_control,cross_novel_seed0_data0,dolma3_cc/food_and_dining_low,12,0.005859375,0.08896818277394135,0.8218197706976756
proportional_control,cross_novel_seed0_data0,dolma3_cc/games_high,27,0.01318359375,0.0745014087808321,0.7945589565801977
proportional_control,cross_novel_seed0_data0,dolma3_cc/games_low,22,0.0107421875,0.1619143138823849,0.8894011218008432
