candidate_id,model_variant,kl_penalty,continuous_regularized_objective,runtime_regularized_objective,runtime_minus_continuous,runtime_unregularized_prediction,runtime_kl_to_incumbent
shared_bounded_ensemble_kl0,shared_bounded_ensemble,0.0,1.010915933125834,1.0115925671480486,0.0006766340222146283,1.0115925671480486,1.0712128443293407
shared_bounded_ensemble_kl0p05,shared_bounded_ensemble,0.05,1.041513631615335,1.0421023599913524,0.0005887283760173112,1.0250787125636436,0.3404729485541746
shared_bounded_ensemble_kl0p2,shared_bounded_ensemble,0.2,1.0686193503776902,1.0690296543004112,0.00041030392272101146,1.0476799793893918,0.1067483745550971
shared_bounded_ensemble_kl0p5,shared_bounded_ensemble,0.5,1.0886380647618663,1.0888036609733034,0.00016559621143708014,1.067443054489863,0.04272121296688071
