backend,elapsed_seconds,event,gpu_index,gpu_utilization_percent,memory_total_mib,memory_used_mib,memory_utilization_percent,phase,power_watts,sm_clock_mhz,temperature_c,duration_seconds,batch_count,case_count,device_count,tensor_parallel_size,batch_index,batch_seconds,bucket_max_tokens,case_ids,inference_seconds,padded_tokens,padding_seconds,prompt_tokens,real_tokens,batch_row,case_id,golden_probability_gap_to_greedy,greedy_token_id,max_probability_error,rank,top_probability_l1_error,total_seconds,attention_backend,vllm_batch_invariant,vllm_use_flashinfer_sampler,wave_count,request_id,request_kind,request_seconds,response_bytes,wave,wave_seconds
levanter-gpu,6.749371,gpu_sample,4.0,0.0,81559.0,0.0,0.0,imports,72.39,345.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,6.749399,gpu_sample,5.0,0.0,81559.0,0.0,0.0,imports,69.34,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,6.749424,gpu_sample,6.0,0.0,81559.0,0.0,0.0,imports,71.38,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,6.74945,gpu_sample,7.0,0.0,81559.0,0.0,0.0,imports,71.08,345.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,9.120594,gpu_sample,0.0,0.0,81559.0,0.0,0.0,imports,69.76,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,9.120758,gpu_sample,1.0,0.0,81559.0,0.0,0.0,imports,71.53,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,9.120792,gpu_sample,2.0,0.0,81559.0,0.0,0.0,imports,70.37,345.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,9.120823,gpu_sample,3.0,0.0,81559.0,0.0,0.0,imports,70.42,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,9.120852,gpu_sample,4.0,0.0,81559.0,0.0,0.0,imports,72.41,345.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,9.120879,gpu_sample,5.0,0.0,81559.0,0.0,0.0,imports,69.36,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,9.120907,gpu_sample,6.0,0.0,81559.0,0.0,0.0,imports,71.36,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,9.120932,gpu_sample,7.0,0.0,81559.0,0.0,0.0,imports,71.08,345.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,13.682811,gpu_sample,0.0,0.0,81559.0,4.0,0.0,imports,69.77,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,13.683085,gpu_sample,1.0,0.0,81559.0,4.0,0.0,imports,71.54,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,13.683121,gpu_sample,2.0,0.0,81559.0,4.0,0.0,imports,70.41,345.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,13.683149,gpu_sample,3.0,0.0,81559.0,4.0,0.0,imports,70.47,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,13.683176,gpu_sample,4.0,0.0,81559.0,4.0,0.0,imports,72.42,345.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,13.683203,gpu_sample,5.0,0.0,81559.0,4.0,0.0,imports,69.37,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
