variant,best_pred_observed_run,best_pred_observed_pred_bpb,best_pred_observed_actual_bpb,best_pred_observed_actual_rank,pred_top8_mean_actual_bpb,pred_top8_best_actual_bpb,actual_best_bpb,actual_best_run
domain_effective_exposure_penalty_158,baseline_olmix_loglinear_uncheatable_bpb,0.9523438177599965,0.956061840057373,3,0.961867667734623,0.9554399251937866,0.9554399251937866,run_00125
domain_no_phase_penalty_157,baseline_olmix_loglinear_uncheatable_bpb,0.9573098313720692,0.956061840057373,3,0.9693745523691177,0.9554399251937866,0.9554399251937866,run_00125
domain_phase_benefit_penalty_158,run_00125,0.955371578164764,0.9554399251937866,1,0.9625834450125694,0.9554399251937866,0.9554399251937866,run_00125
domain_phase_benefit_penalty_premium_159,baseline_olmix_loglinear_uncheatable_bpb,0.9552968507558282,0.956061840057373,3,0.9636486247181892,0.9554399251937866,0.9554399251937866,run_00125
