variant,description,fit_scale,fit_run_set,fit_row_count,total_param_count,train_rmse,train_spearman,train_pearson,cv_rmse,cv_mae,oof_spearman,oof_pearson,cv_foldmean_regret_at_1,cv_regret_at_1,lower_tail_optimism,raw_predicted_optimum_value,raw_nearest_observed_tv,raw_nearest_observed_run_name,raw_nearest_observed_value,raw_phase0_lt_1e4,raw_phase1_lt_1e4,phase0_max_weight,phase1_max_weight,optimum_success,optimum_message
old_grp_effective_exposure_no_l2,Existing old GRP no-L2 300M fit with family/quality structure.,300m_6b,swarm_like_300m,242,42,0.0101023593550466,0.8291147359423483,,0.0111406225392205,,0.8040415047833632,,0.007788860797882,0.0006219148635864,0.0050188466015847,0.8735908239314258,0.5000000000000001,baseline_stratified,0.9688005447387696,,,0.0256410297796753,0.3939063219078109,True,Optimization terminated successfully.
domain_no_phase_penalty_157,"Raw total exposure, per-domain saturation and penalty, no phase term.",300m_6b,swarm_like_300m,242,157,0.014187460844186813,0.6394880529169477,0.6439798226014073,0.019480101271621746,0.015189054679466263,0.3064667378762689,0.2979795577058017,0.00564682483673089,0.0,0.010248053073817603,0.9211069406483827,0.5000000000000001,baseline_stratified,0.9688005447387696,37.0,28.0,0.9393764766857856,0.13823943897152202,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
domain_phase_benefit_penalty_158,Raw total exposure with global phase-1 benefit premium; penalties see raw exposure only.,300m_6b,swarm_like_300m,242,158,0.005655956132005892,0.9586154516369532,0.9523552951495978,0.00884820792335386,0.006686781326257376,0.899625789730153,0.8817619503667764,0.0002006411552428755,0.012275218963622936,0.0044967138675431366,0.7334386415401064,0.49999999999999994,baseline_stratified,0.9688005447387696,36.0,34.0,0.9567133095611966,0.43697998521494696,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
domain_effective_exposure_penalty_158,Domain-wise analogue of old GRP: phase-1 multiplier enters exposure for both benefit and penalty.,300m_6b,swarm_like_300m,242,158,0.004940524698486106,0.9595493897015337,0.9638592600585348,0.008024103639498688,0.006353162190261091,0.9053640474487954,0.9054508479791693,0.0004976272583007812,0.0006219148635864258,0.004636779553610574,0.8649375754660097,0.5,baseline_stratified,0.9688005447387696,21.0,33.0,0.20354895093460787,0.6948920335558804,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
domain_phase_benefit_penalty_premium_159,Raw total exposure with separate global phase-1 benefit and penalty premia.,300m_6b,swarm_like_300m,242,159,0.007268821567183995,0.9316125333980232,0.9199810559939181,0.010231834893009962,0.007794102635535621,0.8658990254614549,0.8413807382700671,0.0009761810302734153,0.0006219148635864258,0.006073634260572172,0.8064477554318618,0.5,baseline_stratified,0.9688005447387696,33.0,35.0,0.32944047866341886,0.3763279460427724,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
