candidate_id,bucket,phase_0_weight,phase_0_count,phase_0_materialized_epochs
shared_bounded_ensemble_kl0p2,dolma3_cc/games_high,0.01220703125,25,0.2727489346442389
shared_bounded_ensemble_kl0p2,dolma3_cc/games_low,0.001953125,4,0.11639783101792911
shared_bounded_ensemble_kl0p2,dolma3_cc/health_high,0.013671875,28,0.15849748498940266
shared_bounded_ensemble_kl0p2,dolma3_cc/health_low,0.013671875,28,0.37188439634643844
shared_bounded_ensemble_kl0p2,dolma3_cc/history_and_geography_high,0.009765625,20,0.36488665173599466
shared_bounded_ensemble_kl0p2,dolma3_cc/history_and_geography_low,0.02197265625,45,2.983312830955348
shared_bounded_ensemble_kl0p2,dolma3_cc/industrial_high,0.00927734375,19,0.5734541746095766
shared_bounded_ensemble_kl0p2,dolma3_cc/industrial_low,0.01416015625,29,1.6531095076966593
shared_bounded_ensemble_kl0p2,dolma3_cc/literature_high,0.03173828125,65,0.6202139685960264
shared_bounded_ensemble_kl0p2,dolma3_cc/literature_low,0.03173828125,65,2.326117503410993
shared_bounded_ensemble_kl0p2,dolma3_cc/science_math_and_technology_high,0.00732421875,15,0.1521385440563536
shared_bounded_ensemble_kl0p2,dolma3_cc/science_math_and_technology_low,0.04296875,88,1.955255689502775
shared_bounded_ensemble_kl0p2,dolma3_finemath_3plus,0.02734375,56,4.059816586499831
shared_bounded_ensemble_kl0p2,dolma3_stack_edu,0.08984375,184,3.383014033454671
shared_bounded_ensemble_kl0p2,dolma3_wikipedia,0.0068359375,14,9.405566527442497
shared_bounded_ensemble_kl0p2,dolmino_common_crawl_hq,0.06494140625,133,0.2488247543115399
shared_bounded_ensemble_kl0p2,dolmino_olmocr_pdfs_hq,0.0419921875,86,1.0295752042188382
shared_bounded_ensemble_kl0p2,dolmino_stack_edu_fim,0.0654296875,134,2.46717607987392
shared_bounded_ensemble_kl0p2,dolmino_stem_heavy_crawl,0.00439453125,9,4.255132007830464
shared_bounded_ensemble_kl0p2,dolmino_synth_code,0.02734375,56,7.318948897232791
shared_bounded_ensemble_kl0p2,dolmino_synth_instruction,0.0078125,16,2.193515726148062
shared_bounded_ensemble_kl0p2,dolmino_synth_math,0.02294921875,47,5.309410588963353
shared_bounded_ensemble_kl0p2,dolmino_synth_qa,0.1259765625,258,1.2064344803342084
shared_bounded_ensemble_kl0p2,dolmino_synth_thinking,0.00830078125,17,1.0503154577709752
shared_bounded_ensemble_kl0p5,dolma3_arxiv,0.029296875,60,5.237752365639851
shared_bounded_ensemble_kl0p5,dolma3_cc/art_and_design_high,0.0126953125,26,0.5613603093285605
shared_bounded_ensemble_kl0p5,dolma3_cc/art_and_design_low,0.015625,32,1.7022033752599972
shared_bounded_ensemble_kl0p5,dolma3_cc/crime_and_law_high,0.02587890625,53,0.8501479801192837
shared_bounded_ensemble_kl0p5,dolma3_cc/crime_and_law_low,0.00830078125,17,0.607046628297118
shared_bounded_ensemble_kl0p5,dolma3_cc/education_and_jobs_high,0.00927734375,19,0.1864016414355891
shared_bounded_ensemble_kl0p5,dolma3_cc/education_and_jobs_low,0.037109375,76,1.5221949523508225
shared_bounded_ensemble_kl0p5,dolma3_cc/electronics_and_hardware_high,0.04833984375,99,1.8407856554365252
shared_bounded_ensemble_kl0p5,dolma3_cc/electronics_and_hardware_low,0.01025390625,21,0.8307229320439331
shared_bounded_ensemble_kl0p5,dolma3_cc/entertainment_high,0.00927734375,19,0.11061417802467172
shared_bounded_ensemble_kl0p5,dolma3_cc/entertainment_low,0.02099609375,43,0.687905402919545
shared_bounded_ensemble_kl0p5,dolma3_cc/finance_and_business_high,0.060546875,124,0.5619175775939188
shared_bounded_ensemble_kl0p5,dolma3_cc/finance_and_business_low,0.0107421875,22,0.20922728569947116
shared_bounded_ensemble_kl0p5,dolma3_cc/food_and_dining_high,0.0244140625,50,0.7214445602809134
shared_bounded_ensemble_kl0p5,dolma3_cc/food_and_dining_low,0.0068359375,14,0.41039668386227546
shared_bounded_ensemble_kl0p5,dolma3_cc/games_high,0.013671875,28,0.30547880680154754
shared_bounded_ensemble_kl0p5,dolma3_cc/games_low,0.00244140625,5,0.1454972887724114
shared_bounded_ensemble_kl0p5,dolma3_cc/health_high,0.015625,32,0.1811399828450316
shared_bounded_ensemble_kl0p5,dolma3_cc/health_low,0.015625,32,0.42501073868164396
shared_bounded_ensemble_kl0p5,dolma3_cc/history_and_geography_high,0.01025390625,21,0.38313098432279435
shared_bounded_ensemble_kl0p5,dolma3_cc/history_and_geography_low,0.0302734375,62,4.110342122649591
shared_bounded_ensemble_kl0p5,dolma3_cc/industrial_high,0.0078125,16,0.48290877861859083
shared_bounded_ensemble_kl0p5,dolma3_cc/industrial_low,0.0146484375,30,1.7101132838241304
shared_bounded_ensemble_kl0p5,dolma3_cc/literature_high,0.02685546875,55,0.5247964349658685
shared_bounded_ensemble_kl0p5,dolma3_cc/literature_low,0.0322265625,66,2.3619039265403927
shared_bounded_ensemble_kl0p5,dolma3_cc/science_math_and_technology_high,0.005859375,12,0.12171083524508287
shared_bounded_ensemble_kl0p5,dolma3_cc/science_math_and_technology_low,0.0400390625,82,1.8219428015821313
shared_bounded_ensemble_kl0p5,dolma3_finemath_3plus,0.02685546875,55,3.987319861740905
shared_bounded_ensemble_kl0p5,dolma3_stack_edu,0.0830078125,170,3.1256107917787723
shared_bounded_ensemble_kl0p5,dolma3_wikipedia,0.00634765625,13,8.73374034691089
shared_bounded_ensemble_kl0p5,dolmino_common_crawl_hq,0.0673828125,138,0.25817906838340227
shared_bounded_ensemble_kl0p5,dolmino_olmocr_pdfs_hq,0.0322265625,66,0.7901391102144572
shared_bounded_ensemble_kl0p5,dolmino_stack_edu_fim,0.04541015625,93,1.7122938464796609
shared_bounded_ensemble_kl0p5,dolmino_stem_heavy_crawl,0.00439453125,9,4.255132007830464
shared_bounded_ensemble_kl0p5,dolmino_synth_code,0.02490234375,51,6.66547131712272
shared_bounded_ensemble_kl0p5,dolmino_synth_instruction,0.00830078125,17,2.330610459032316
shared_bounded_ensemble_kl0p5,dolmino_synth_math,0.02587890625,53,5.98720768542676
shared_bounded_ensemble_kl0p5,dolmino_synth_qa,0.12353515625,253,1.183053967149437
shared_bounded_ensemble_kl0p5,dolmino_synth_thinking,0.0068359375,14,0.8649656711055089
observed_cap10_best,dolma3_arxiv,0.02685546875,55,4.801273001836531
observed_cap10_best,dolma3_cc/art_and_design_high,0.01416015625,29,0.6261326527126252
observed_cap10_best,dolma3_cc/art_and_design_low,0.02099609375,43,2.287335785505621
observed_cap10_best,dolma3_cc/crime_and_law_high,0.02734375,56,0.8982695638996205
observed_cap10_best,dolma3_cc/crime_and_law_low,0.00830078125,17,0.607046628297118
observed_cap10_best,dolma3_cc/education_and_jobs_high,0.009765625,20,0.19621225414272536
observed_cap10_best,dolma3_cc/education_and_jobs_low,0.04345703125,89,1.782570404726621
observed_cap10_best,dolma3_cc/electronics_and_hardware_high,0.05322265625,109,2.0267236004301137
observed_cap10_best,dolma3_cc/electronics_and_hardware_low,0.01171875,24,0.9493976366216379
observed_cap10_best,dolma3_cc/entertainment_high,0.01025390625,21,0.12225777571147926
observed_cap10_best,dolma3_cc/entertainment_low,0.02392578125,49,0.7838922033269234
observed_cap10_best,dolma3_cc/finance_and_business_high,0.0673828125,138,0.6253598847416194
observed_cap10_best,dolma3_cc/finance_and_business_low,0.01220703125,25,0.2377582792039445
observed_cap10_best,dolma3_cc/food_and_dining_high,0.0283203125,58,0.8368756899258596
observed_cap10_best,dolma3_cc/food_and_dining_low,0.00830078125,17,0.4983388304041916
observed_cap10_best,dolma3_cc/games_high,0.01513671875,31,0.3382086789588562
observed_cap10_best,dolma3_cc/games_low,0.00244140625,5,0.1454972887724114
observed_cap10_best,dolma3_cc/health_high,0.01708984375,35,0.19812185623675332
observed_cap10_best,dolma3_cc/health_low,0.01708984375,35,0.4648554954330481
observed_cap10_best,dolma3_cc/history_and_geography_high,0.01123046875,23,0.41961964949639385
observed_cap10_best,dolma3_cc/history_and_geography_low,0.04052734375,83,5.50255477709542
observed_cap10_best,dolma3_cc/industrial_high,0.00732421875,15,0.4527269799549289
observed_cap10_best,dolma3_cc/industrial_low,0.01611328125,33,1.8811246122065435
observed_cap10_best,dolma3_cc/literature_high,0.0244140625,50,0.47708766815078957
observed_cap10_best,dolma3_cc/literature_low,0.033203125,68,2.4334767727991924
observed_cap10_best,dolma3_cc/science_math_and_technology_high,0.0048828125,10,0.10142569603756907
observed_cap10_best,dolma3_cc/science_math_and_technology_low,0.0380859375,78,1.7330675429683686
observed_cap10_best,dolma3_finemath_3plus,0.02734375,56,4.059816586499831
observed_cap10_best,dolma3_stack_edu,0.06689453125,137,2.5188745792570106
observed_cap10_best,dolma3_wikipedia,0.00439453125,9,6.046435624784462
observed_cap10_best,dolmino_common_crawl_hq,0.0712890625,146,0.2731459708983821
observed_cap10_best,dolmino_olmocr_pdfs_hq,0.0263671875,54,0.6464774538118286
observed_cap10_best,dolmino_stack_edu_fim,0.01806640625,37,0.6812351862338436
observed_cap10_best,dolmino_stem_heavy_crawl,0.00439453125,9,4.255132007830464
observed_cap10_best,dolmino_synth_code,0.01806640625,37,4.835734092814523
observed_cap10_best,dolmino_synth_instruction,0.0087890625,18,2.4677051919165693
observed_cap10_best,dolmino_synth_math,0.03076171875,63,7.1168695128657715
observed_cap10_best,dolmino_synth_qa,0.1240234375,254,1.1877300697863913
observed_cap10_best,dolmino_synth_thinking,0.005859375,12,0.7413991466618648
proportional_control,dolma3_arxiv,0.00390625,8,0.6983669820853136
proportional_control,dolma3_cc/art_and_design_high,0.01611328125,33,0.7124957772247115
proportional_control,dolma3_cc/art_and_design_low,0.0068359375,14,0.7447139766762487
proportional_control,dolma3_cc/crime_and_law_high,0.02197265625,45,0.7218237567050522
proportional_control,dolma3_cc/crime_and_law_low,0.009765625,20,0.7141725038789624
proportional_control,dolma3_cc/education_and_jobs_high,0.0361328125,74,0.7259853403280838
proportional_control,dolma3_cc/education_and_jobs_low,0.017578125,36,0.7210397142714423
proportional_control,dolma3_cc/electronics_and_hardware_high,0.01904296875,39,0.7251579854749948
proportional_control,dolma3_cc/electronics_and_hardware_low,0.0087890625,18,0.7120482274662284
proportional_control,dolma3_cc/entertainment_high,0.060546875,124,0.721903056582068
proportional_control,dolma3_cc/entertainment_low,0.02197265625,45,0.7199010030553379
proportional_control,dolma3_cc/finance_and_business_high,0.07763671875,159,0.7205233454631701
proportional_control,dolma3_cc/finance_and_business_low,0.037109375,76,0.7227851687799912
proportional_control,dolma3_cc/food_and_dining_high,0.0244140625,50,0.7214445602809134
proportional_control,dolma3_cc/food_and_dining_low,0.01220703125,25,0.7328512211826347
proportional_control,dolma3_cc/games_high,0.0322265625,66,0.7200571874607906
proportional_control,dolma3_cc/games_low,0.01220703125,25,0.727486443862057
proportional_control,dolma3_cc/health_high,0.0625,128,0.7245599313801264
proportional_control,dolma3_cc/health_low,0.0263671875,54,0.7172056215252742
proportional_control,dolma3_cc/history_and_geography_high,0.01953125,40,0.7297733034719893
proportional_control,dolma3_cc/history_and_geography_low,0.00537109375,11,0.7292542475668629
proportional_control,dolma3_cc/industrial_high,0.01171875,24,0.7243631679278862
proportional_control,dolma3_cc/industrial_low,0.00634765625,13,0.7410490896571231
proportional_control,dolma3_cc/literature_high,0.037109375,76,0.7251732555892001
proportional_control,dolma3_cc/literature_low,0.009765625,20,0.7157284625879978
