row_id,bucket,phase_1_count,phase_1_weight
p00__fit_maximin_00,dolma3_arxiv,10,0.0048828125
p00__fit_maximin_00,dolma3_cc/art_and_design_high,40,0.01953125
p00__fit_maximin_00,dolma3_cc/art_and_design_low,18,0.0087890625
p00__fit_maximin_00,dolma3_cc/crime_and_law_high,39,0.01904296875
p00__fit_maximin_00,dolma3_cc/crime_and_law_low,21,0.01025390625
p00__fit_maximin_00,dolma3_cc/education_and_jobs_high,80,0.0390625
p00__fit_maximin_00,dolma3_cc/education_and_jobs_low,32,0.015625
p00__fit_maximin_00,dolma3_cc/electronics_and_hardware_high,38,0.0185546875
p00__fit_maximin_00,dolma3_cc/electronics_and_hardware_low,19,0.00927734375
p00__fit_maximin_00,dolma3_cc/entertainment_high,106,0.0517578125
p00__fit_maximin_00,dolma3_cc/entertainment_low,60,0.029296875
p00__fit_maximin_00,dolma3_cc/finance_and_business_high,149,0.07275390625
p00__fit_maximin_00,dolma3_cc/finance_and_business_low,77,0.03759765625
p00__fit_maximin_00,dolma3_cc/food_and_dining_high,54,0.0263671875
p00__fit_maximin_00,dolma3_cc/food_and_dining_low,24,0.01171875
p00__fit_maximin_00,dolma3_cc/games_high,72,0.03515625
p00__fit_maximin_00,dolma3_cc/games_low,24,0.01171875
p00__fit_maximin_00,dolma3_cc/health_high,106,0.0517578125
p00__fit_maximin_00,dolma3_cc/health_low,63,0.03076171875
p00__fit_maximin_00,dolma3_cc/history_and_geography_high,45,0.02197265625
p00__fit_maximin_00,dolma3_cc/history_and_geography_low,6,0.0029296875
p00__fit_maximin_00,dolma3_cc/industrial_high,24,0.01171875
p00__fit_maximin_00,dolma3_cc/industrial_low,17,0.00830078125
p00__fit_maximin_00,dolma3_cc/literature_high,67,0.03271484375
p00__fit_maximin_00,dolma3_cc/literature_low,16,0.0078125
p00__fit_maximin_00,dolma3_cc/science_math_and_technology_high,79,0.03857421875
p00__fit_maximin_00,dolma3_cc/science_math_and_technology_low,29,0.01416015625
p00__fit_maximin_00,dolma3_finemath_3plus,12,0.005859375
p00__fit_maximin_00,dolma3_stack_edu,39,0.01904296875
p00__fit_maximin_00,dolma3_wikipedia,0,0.0
p00__fit_maximin_00,dolmino_common_crawl_hq,402,0.1962890625
p00__fit_maximin_00,dolmino_olmocr_pdfs_hq,55,0.02685546875
p00__fit_maximin_00,dolmino_stack_edu_fim,48,0.0234375
p00__fit_maximin_00,dolmino_stem_heavy_crawl,0,0.0
p00__fit_maximin_00,dolmino_synth_code,4,0.001953125
p00__fit_maximin_00,dolmino_synth_instruction,5,0.00244140625
p00__fit_maximin_00,dolmino_synth_math,6,0.0029296875
p00__fit_maximin_00,dolmino_synth_qa,156,0.076171875
p00__fit_maximin_00,dolmino_synth_thinking,6,0.0029296875
p00__fit_maximin_01,dolma3_arxiv,0,0.0
p00__fit_maximin_01,dolma3_cc/art_and_design_high,26,0.0126953125
p00__fit_maximin_01,dolma3_cc/art_and_design_low,3,0.00146484375
p00__fit_maximin_01,dolma3_cc/crime_and_law_high,57,0.02783203125
p00__fit_maximin_01,dolma3_cc/crime_and_law_low,6,0.0029296875
p00__fit_maximin_01,dolma3_cc/education_and_jobs_high,50,0.0244140625
