variant,best_pred_observed_run,best_pred_observed_pred_bpb,best_pred_observed_actual_bpb,best_pred_observed_actual_rank,pred_top8_mean_actual_bpb,pred_top8_best_actual_bpb,actual_best_bpb,actual_best_run
dsp_no_phase_penalty_nnls,baseline_olmix_loglinear_uncheatable_bpb,0.9573098313720692,0.956061840057373,3,0.9693745523691177,0.9554399251937866,0.9554399251937866,run_00125
dsp_phase_benefit_penalty_nnls,run_00125,0.9549954129447301,0.9554399251937866,1,0.9625834450125694,0.9554399251937866,0.9554399251937866,run_00125
dsp_phase_benefit_exp_retention_penalty_nnls,run_00125,0.9537257914713175,0.9554399251937866,1,0.9626117944717407,0.9554399251937866,0.9554399251937866,run_00125
dsp_phase_benefit_overlap_retention_penalty_nnls,baseline_olmix_loglinear_uncheatable_bpb,0.9552542551661736,0.956061840057373,3,0.9625834450125694,0.9554399251937866,0.9554399251937866,run_00125
dsp_effective_exposure_penalty_nnls,run_00125,0.9539070119442814,0.9554399251937866,1,0.9640469029545784,0.9554399251937866,0.9554399251937866,run_00125
dsp_effective_exposure_exp_retention_penalty_nnls,run_00125,0.9552061112549346,0.9554399251937866,1,0.9621194452047348,0.9554399251937866,0.9554399251937866,run_00125
dsp_phase_benefit_saturation_penalty_nnls,run_00200,0.9530655584889401,0.9556623101234436,2,0.9619656950235367,0.9554399251937866,0.9554399251937866,run_00125
dsp_phase_benefit_saturation_nnls,run_00200,0.9544349552353091,0.9556623101234436,2,0.9627011716365814,0.9554399251937866,0.9554399251937866,run_00125
dsp_phase_benefit_penalty_phase_nnls,run_00125,0.9535542606167462,0.9554399251937866,1,0.9619904980063438,0.9554399251937866,0.9554399251937866,run_00125
dsp_saturation_only_penalty_nnls,run_00125,0.9568308948215924,0.9554399251937866,1,0.9653417617082596,0.9554399251937866,0.9554399251937866,run_00125
dsp_penalty_phase_only_nnls,baseline_olmix_loglinear_uncheatable_bpb,0.9550245434189374,0.956061840057373,3,0.9628600254654884,0.9554399251937866,0.9554399251937866,run_00125
dsp_saturation_penalty_split_nnls,run_00200,0.9538641547274385,0.9556623101234436,2,0.9619656950235367,0.9554399251937866,0.9554399251937866,run_00125
dsp_benefit_effective_exposure_nnls,run_00125,0.9545555321595205,0.9554399251937866,1,0.9621194452047348,0.9554399251937866,0.9554399251937866,run_00125
dsp_phase_benefit_penalty_signed,run_00125,0.9561226894758619,0.9554399251937866,1,0.9639976546168327,0.9554399251937866,0.9554399251937866,run_00125
dsp_phase_benefit_no_penalty_nnls,baseline_olmix_loglinear_uncheatable_bpb,0.9523877278292124,0.956061840057373,3,0.969226747751236,0.9556623101234436,0.9554399251937866,run_00125
dsp_effective_exposure_no_penalty_nnls,run_00200,0.9562214717569342,0.9556623101234436,2,0.9702149629592896,0.9556623101234436,0.9554399251937866,run_00125
