variant,description,phase_mode,penalty_mode,linear_mode,m_dependent_params_per_domain,total_param_count,train_rmse,train_spearman,train_pearson,cv_rmse,cv_mae,oof_spearman,oof_pearson,cv_foldmean_regret_at_1,cv_regret_at_1,lower_tail_optimism,raw_predicted_optimum_value,raw_nearest_observed_tv,raw_nearest_observed_run_name,raw_nearest_observed_value,raw_phase0_support_gt_1e3,raw_phase1_support_gt_1e3,phase0_max_weight,phase1_max_weight,optimum_success,optimum_message
old_grp_no_l2,Existing GRP no-L2 300M fit with family/quality/retention structure.,retention_effective_exposure,family_power_penalty,nnls,,42,0.0101023593550466,0.8291147359423483,,0.0111406225392205,,0.8040415047833632,,0.007788860797882,0.0006219148635864,0.0050188466015847,0.8735908239314258,0.5000000000000001,baseline_stratified,0.9688005447387696,,,0.0256410297796753,0.3939063219078109,True,Optimization terminated successfully.
dsp_no_phase_penalty_nnls,Control: per-domain saturation and penalty with no phase term.,none,log_softplus_squared,nnls,4.0,157,0.014187460844186813,0.6394880529169477,0.6439798226014073,0.019480101271621746,0.015189054679466263,0.3064667378762689,0.2979795577058017,0.00564682483673089,0.0,0.010248053073817603,0.9211069406483827,0.5000000000000001,baseline_stratified,0.9688005447387696,2.0,11.0,0.9393764766857856,0.13823943897152202,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
dsp_phase_benefit_penalty_nnls,Canonical reduced-bias DSP: phase-1 premium only multiplies the benefit signal.,benefit_gain,log_softplus_squared,nnls,4.0,158,0.005628611464721464,0.9593012991730457,0.9528262656066026,0.008834608907415154,0.006675742362668863,0.8984759367005061,0.8822539709203826,0.0002006411552428755,0.012275218963622936,0.004505700091332137,0.7044710886290537,0.5000000000000001,baseline_stratified,0.9688005447387696,1.0,4.0,0.9999999999720701,0.44086593261237994,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
dsp_effective_exposure_penalty_nnls,Empirical comparator: phase-1 multiplier enters exposure for benefit and penalty.,effective_exposure,log_softplus_squared,nnls,4.0,158,0.005012930456592681,0.9575045479735533,0.9627715156009375,0.00710622624626826,0.00561791570753439,0.9196449172558817,0.924731197265555,0.0010215401649475097,0.0006219148635864258,0.004280037782386002,0.8397185149829995,0.5,baseline_stratified,0.9688005447387696,20.0,2.0,0.27177994887104223,0.9321157689316245,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
dsp_phase_benefit_penalty_signed,Tests nonnegative-head assumption by using a signed ridge linear head.,benefit_gain,log_softplus_squared,signed_ridge,4.0,158,0.005763831150384072,0.9579423049811583,0.9504772130646404,0.008946242551159623,0.006690025323543714,0.8955386464502523,0.878006169025636,0.0058739423751830834,0.0,0.0035415274212564477,0.7284871263867229,0.4999999999999999,baseline_stratified,0.9688005447387696,1.0,6.0,0.9999999998972877,0.355368996336646,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
dsp_phase_benefit_no_penalty_nnls,Tests whether explicit overexposure penalties are needed.,benefit_gain,none,nnls,2.0,80,0.01111925633791232,0.8700733814527352,0.80030502621756,0.01416211628069612,0.008731688053484487,0.8324254320733636,0.6773876153920428,0.012057065963745095,0.0006219148635864258,0.004041394714664959,0.7838419502717486,0.49999999999999994,baseline_stratified,0.9688005447387696,4.0,3.0,0.5062285433676869,0.5047561798681444,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
dsp_effective_exposure_no_penalty_nnls,Tests whether the empirical phase multiplier can replace explicit penalties.,effective_exposure,none,nnls,2.0,80,0.011288573495361694,0.8344126964773263,0.7933825844130874,0.013497485450831043,0.008934589654514685,0.8053192133413434,0.7000368152127239,0.01195076704025264,0.00022238492965698242,0.005001807259524768,0.8391376968472676,0.5,baseline_stratified,0.9688005447387696,3.0,8.0,0.5529012742693773,0.3965121648762991,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
