variant,stage,start_id,objective,chosen_rank,success,message
dsp_no_phase_penalty_nnls,coarse,0,0.01637684081590573,,,
dsp_no_phase_penalty_nnls,coarse,1,0.016134468768404384,,,
dsp_no_phase_penalty_nnls,coarse,2,0.016074059396051506,,,
dsp_no_phase_penalty_nnls,coarse,3,0.015993096851142002,,,
dsp_no_phase_penalty_nnls,coarse,4,0.01608671532847845,,,
dsp_no_phase_penalty_nnls,coarse,5,0.016059837820837607,,,
dsp_no_phase_penalty_nnls,coarse,6,0.01622392997398933,,,
dsp_no_phase_penalty_nnls,coarse,7,0.01616572361612199,,,
dsp_no_phase_penalty_nnls,refine,3,0.015993068260935644,0.0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
dsp_no_phase_penalty_nnls,refine,5,0.016059798829975987,1.0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
dsp_no_phase_penalty_nnls,refine,2,0.016074026331150713,2.0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
dsp_phase_benefit_penalty_nnls,coarse,0,0.013753067567770432,,,
dsp_phase_benefit_penalty_nnls,coarse,1,0.013811856184952767,,,
dsp_phase_benefit_penalty_nnls,coarse,2,0.012845456547889008,,,
dsp_phase_benefit_penalty_nnls,coarse,3,0.011631332715643245,,,
dsp_phase_benefit_penalty_nnls,coarse,4,0.011843678188091596,,,
dsp_phase_benefit_penalty_nnls,coarse,5,0.011363725111742528,,,
dsp_phase_benefit_penalty_nnls,coarse,6,0.01157557045327727,,,
dsp_phase_benefit_penalty_nnls,coarse,7,0.014708169109876355,,,
dsp_phase_benefit_penalty_nnls,refine,5,0.0069417472885877065,0.0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
dsp_phase_benefit_penalty_nnls,refine,6,0.00661487443979103,1.0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
dsp_phase_benefit_penalty_nnls,refine,3,0.006628599033226416,2.0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
dsp_phase_benefit_exp_retention_penalty_nnls,coarse,0,0.009467169518855826,,,
dsp_phase_benefit_exp_retention_penalty_nnls,coarse,1,0.009717632697737356,,,
