sts_prefix,bucket,owners,reasons,sources,artifact_kinds,priority_max,normalized_glob
gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-16B-bs1024-0edbf1/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1004,,0,gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-16B-bs1024-0edbf1/**
gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-16B-bs256-73cab5/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1005,,0,gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-16B-bs256-73cab5/**
gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-16B-bs512-630b48/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1006,,0,gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-16B-bs512-630b48/**
gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-1B-bs1024-e47a49/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1007,,0,gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-1B-bs1024-e47a49/**
gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-1B-bs256-cedde0/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1008,,0,gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-1B-bs256-cedde0/**
gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-1B-bs512-897aae/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1009,,0,gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-1B-bs512-897aae/**
gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-2B-bs1024-1d1451/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1010,,0,gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-2B-bs1024-1d1451/**
gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-2B-bs256-51ab6a/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1011,,0,gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-2B-bs256-51ab6a/**
gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-2B-bs512-28f1b7/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1012,,0,gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-2B-bs512-28f1b7/**
gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-32B-bs1024-1fb821/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1013,,0,gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-32B-bs1024-1fb821/**
gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-32B-bs256-23eec9/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1014,,0,gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-32B-bs256-23eec9/**
gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-32B-bs512-dca09f/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1015,,0,gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-32B-bs512-dca09f/**
gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-4B-bs1024-e05969/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1016,,0,gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-4B-bs1024-e05969/**
gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-4B-bs256-62c36d/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1017,,0,gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-4B-bs256-62c36d/**
gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-4B-bs512-c0b47c/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1018,,0,gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-4B-bs512-c0b47c/**
gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-64B-bs1024-bdb9c0/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1019,,0,gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-64B-bs1024-bdb9c0/**
gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-64B-bs256-149b94/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1020,,0,gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-64B-bs256-149b94/**
gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-64B-bs512-4a9506/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1021,,0,gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-64B-bs512-4a9506/**
gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-8B-bs1024-05e0c4/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1022,,0,gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-8B-bs1024-05e0c4/**
gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-8B-bs256-e13212/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1023,,0,gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-8B-bs256-e13212/**
gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-8B-bs512-139bbd/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1024,,0,gs://marin-eu-west4/checkpoints/muonh-lr2.83e-2-8B-bs512-139bbd/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-128B-bb1c62/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1025,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-128B-bb1c62/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-128B-bs1024-scalebeta-69db5c/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1026,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-128B-bs1024-scalebeta-69db5c/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-128B-bs128-scalebeta-29337a/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1027,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-128B-bs128-scalebeta-29337a/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-128B-bs256-scalebeta-14facc/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1028,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-128B-bs256-scalebeta-14facc/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-128B-bs512-scalebeta-70991e/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1029,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-128B-bs512-scalebeta-70991e/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-128B-decay0.4-c040d7/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1030,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-128B-decay0.4-c040d7/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-16B-bs1024-scalebeta-0d4371/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1031,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-16B-bs1024-scalebeta-0d4371/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-16B-bs128-scalebeta-01ee65/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1032,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-16B-bs128-scalebeta-01ee65/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-16B-bs512-scalebeta-366b4a/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1033,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-16B-bs512-scalebeta-366b4a/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-16B-decay0.4-5499c7/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1034,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-16B-decay0.4-5499c7/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-1B-bs1024-scalebeta-faddfa/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1035,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-1B-bs1024-scalebeta-faddfa/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-1B-bs128-scalebeta-a0a3b9/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1036,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-1B-bs128-scalebeta-a0a3b9/**
