seed,predicted_optimum_bpb,observed_regret_at_1,chosen_run_name
0,2.1647361692767517,0.07864738656205095,run_00173
1,2.1672156164160974,0.1591279989617651,baseline_unimax
2,2.155351781172541,0.061096323137010966,run_00097
3,2.1794028923187225,0.1591279989617651,baseline_unimax
4,2.1403436303594634,0.07864738656205095,run_00173
5,2.1468136909814923,0.0748807110548011,run_00080
6,2.154798263599868,0.0748807110548011,run_00080
7,2.1329336586646623,0.07864738656205095,run_00173
